cpx_gene,pls_metabolite,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000032216-P,"(2,5-Dimethoxyphenyl)acetone",0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.7714285714285715,0.0723965014577259,6,0.3012263813854889,0.341372294714219,12,3,True,+,0.5603408893468494
ENSMUSG00000025979-P,"(2,5-Dimethoxyphenyl)acetone",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.0857142857142857,0.8717434402332361,6,-0.5674264393540605,0.0543240056759698,12,3,True,-,0.3186788906929176
ENSMUSG00000068921-P,"(2,5-Dimethoxyphenyl)acetone",0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.1428571428571428,0.7871720116618075,6,0.3747816605610153,0.2300029800062526,12,3,True,+,0.4799173875063448
ENSMUSG00000049670-P,"(2,5-Dimethoxyphenyl)acetone",-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.1428571428571428,0.7871720116618075,6,-0.0350263234169173,0.9139432528752413,12,3,True,-,0.9388072159580816
ENSMUSG00000044224-P,"(2,5-Dimethoxyphenyl)acetone",1.0,0.0,3,0.5,0.6666666666666667,3,0.6571428571428573,0.1561749271137023,6,0.1085816025924436,0.7369437083547932,12,3,True,+,0.8205787885489951
ENSMUSG00000030216-P,"(2,5-Dimethoxyphenyl)acetone",0.5,0.6666666666666667,3,1.0,0.0,3,0.8285714285714287,0.0415626822157433,6,0.2802105873353385,0.3776981560766677,12,3,True,+,0.5853856909294295
ENSMUSG00000025477-P,"(2,5-Dimethoxyphenyl)acetone",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.0857142857142857,0.8717434402332361,6,-0.0525394851253759,0.8711783093619829,12,3,True,-,0.9108023530877702
ENSMUSG00000030060-P,"(2,5-Dimethoxyphenyl)acetone",-1.0,0.0,3,-1.0,0.0,3,-0.4285714285714286,0.3965014577259474,6,-0.2626974256268798,0.4094281948783638,12,3,True,-,0.6062995132646848
ENSMUSG00000024941-P,"(2,5-Dimethoxyphenyl)acetone",-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.8285714285714287,0.0415626822157433,6,-0.7740817475138726,0.0031266563739204,12,3,True,-,0.1760551462064087
ENSMUSG00000070348-P,"(2,5-Dimethoxyphenyl)acetone",0.5,0.6666666666666667,3,1.0,0.0,3,0.4285714285714286,0.3965014577259474,6,0.0735552791755263,0.8202845257024424,12,3,True,+,0.8773876346566137
