cpx_gene,csf_metabolite,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000038644-P,"2,4-Di-tert-butylphenol",-1.0,0.0,3,-1.0,0.0,3,,,1,-0.991031208965115,1.4561252916128956e-05,7,2,True,-,0.03400223864773948
ENSMUSG00000047371-P,"2,4-Di-tert-butylphenol",-1.0,0.0,3,-1.0,0.0,3,,,1,-0.991031208965115,1.4561252916128956e-05,7,2,True,-,0.03400223864773948
ENSMUSG00000017286-P,"2-Cyclohexen-1-one, 3-methyl-",0.5,0.6666666666666667,3,1.0,0.0,3,0.942857142857143,0.004804664723032,6,0.9317002028900008,1.0429359329413027e-05,12,3,True,+,0.03400223864773948
ENSMUSG00000001964-P,3-Heptanol,0.5,0.6666666666666667,3,1.0,0.0,3,0.9856107606091624,0.0003090856678496,6,0.9508830463894928,2.0726186103980265e-06,12,3,True,+,0.020569185244242616
ENSMUSG00000034349-P,3-Heptanol,-1.0,0.0,3,-1.0,0.0,3,-0.9276336570439174,0.0076658441874731,6,-0.91930390462748,2.350657612000038e-05,12,3,True,-,0.042915496793773523
ENSMUSG00000038780-P,4-Methoxyphenol,1.0,0.0,3,,,1,1.0,0.0,4,0.9940297973880048,5.296153515644831e-07,8,2,True,+,0.019419060333795105
ENSMUSG00000030605-P,Azelaic acid,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.7247137945655605,0.1032428046237076,6,-0.9298302852148176,1.1899236539794012e-05,12,3,True,-,0.03400223864773948
ENSMUSG00000037012-P,Azelaic acid,-1.0,0.0,3,-1.0,0.0,3,-0.753702346348183,0.0835232813732598,6,-0.9543918399186052,1.4393331974339894e-06,12,3,True,-,0.019419060333795105
ENSMUSG00000032763-P,Azelaic acid,-1.0,0.0,3,-1.0,0.0,3,-0.550782483869826,0.2573693316225745,6,-0.943865459331268,3.993282329955494e-06,12,3,True,-,0.02642022144204054
ENSMUSG00000066357-P,Glycine,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.753702346348183,0.0835232813732598,6,-0.91930390462748,2.350657612000038e-05,12,3,True,-,0.042915496793773523
ENSMUSG00000066357-P,"Glycine, tert.-butyldimethylsilyl ester",-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.8406680016960504,0.0360575728451591,6,-0.9314716462190888,1.060088718594014e-05,12,3,True,-,0.03400223864773948
ENSMUSG00000031637-P,Hypoxanthine,-1.0,0.0,3,-1.0,0.0,3,-0.942857142857143,0.004804664723032,6,-0.9225580879172384,1.9241344070227968e-05,12,3,True,-,0.04020124397662314
ENSMUSG00000027706-P,Lignoceric acid,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.8406680016960504,0.0360575728451591,6,-0.9368478722730428,7.110855652108287e-06,12,3,True,-,0.032011002102453716
ENSMUSG00000054720-P,Lignoceric acid,-1.0,0.0,3,-1.0,0.0,3,-0.753702346348183,0.0835232813732598,6,-0.9473742528603804,2.90913480347351e-06,12,3,True,-,0.023096784858697587
ENSMUSG00000034786-P,L-Tyrosine,1.0,0.0,3,,,2,0.9746794344808964,0.0048182304681985,5,0.9509918346667656,2.378368464778239e-05,10,2,True,+,0.042915496793773523
ENSMUSG00000045098-P,N-Acetyl-L-alanine,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.942857142857143,0.004804664723032,6,-0.9368478722730428,7.110855652108287e-06,12,3,True,-,0.032011002102453716
ENSMUSG00000006777-P,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,-1.0,0.0,3,-1.0,0.0,3,-1.0,0.0,4,-0.9757575757575756,1.4675461874042197e-06,10,3,True,-,0.019419060333795105
ENSMUSG00000041720-P,Nonanoic acid,1.0,0.0,3,1.0,0.0,3,0.9746794344808964,0.0048182304681985,5,0.9428139787760988,1.3780779092338691e-05,11,3,True,+,0.03400223864773948
ENSMUSG00000036202-P,Oleamide,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.8285714285714287,0.0415626822157433,6,-0.9225580879172384,1.9241344070227968e-05,12,3,True,-,0.04020124397662314
ENSMUSG00000047371-P,"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",-1.0,0.0,3,-0.5,0.6666666666666667,3,-1.0,0.0,6,-0.9352028352316925,8.063834068683708e-06,12,3,True,-,0.032011002102453716
ENSMUSG00000032288-P,Propylene glycol,-1.0,0.0,3,-1.0,0.0,3,-0.9856107606091624,0.0003090856678496,6,-0.9279566588748658,1.3531501140840265e-05,12,3,True,-,0.03400223864773948
ENSMUSG00000029438-P,Salsoline,-1.0,0.0,3,-1.0,0.0,3,-0.7999999999999999,0.2,4,-0.9636363636363636,7.320974809529922e-06,10,3,True,-,0.032011002102453716
