,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,DSS_73_090224
"(2,5-Dimethoxyphenyl)acetone",13.680380960955166,15.736334829163317,16.187086656125253,15.655497714002951,16.561133842701924
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",19.231684460146965,21.15106074647022,19.486404411228158,19.231684460146965,18.44364753101585
(4-Fluorophenyl)phenylmethanol,,,,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",27.781612179109697,27.537929114448303,28.352281155821693,28.240250418618064,25.428438411905955
"3,4,5-Trimethoxyamphetamine",6.418765756154883,23.90203943735288,24.201209259268033,23.673252246258656,22.05237239045625
Oxypeucedanin,,,,,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",24.06832500895921,26.881317460824317,26.150631170402228,26.018220251600923,
"1-(2,4-Dimethoxyphenyl)-propan-2-one",18.264760353035605,18.645062264835627,18.966124779778433,18.016036798181368,16.751898739533118
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",24.984574316554497,24.461469164765127,25.661376626707472,24.89564830732322,25.46576478857199
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",21.57610029885488,20.241468570248152,21.15106074647022,22.05237239045625,17.032517792139746
1-(Cyclohexylmethyl)-4-piperidinylamine,14.92826490816076,16.078521338137325,,7.519992267316956,
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,18.704118339747176,19.016398589112107,19.411099823967515,18.264760353035605,19.08459707800094
"1,2,4-Butanetriol, (S)",,,,,
"1,2-Benzenedicarboxylic acid, butyl octyl ester",,,,,
"1,2-Bis(trimethylsiloxy)cyclohexene",,20.06409663854958,,17.141426024893484,
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,12.074472592639612,12.769349172245516,12.304265137946075
"1,2-Cyclohexanediol, (Z)",16.413617179699088,17.43876252190187,17.376631978072023,16.561133842701924,17.376631978072023
"1,3-Butanediamine",,,,,
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",28.115326655776578,28.115326655776578,28.828859940472153,27.843879568150907,27.99603156129418
"1,3-Propanediol",,,,,
10-Undecynoic acid,,,,,
"13-Docosenamide, (Z)",,,,,
1-Butanol,,,27.99603156129418,27.153116097982878,26.881317460824317
"1-Heptanol, 2-propyl-",,,,,
1-Hexacosanol,,,,,
1-Octadecanol,,10.491064376645616,,3.5347127996733065,12.769349172245516
"1-Octanol, 2-butyl-",25.730898198181798,26.018220251600923,26.240171828633777,25.847108480024986,26.080491346336323
"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",,,,33.35215679615844,
"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",,,,,
"2(5H)-Furanone, 4-(hydroxymethyl)",18.966124779778433,18.966124779778433,19.189198505254556,19.18226128957594,18.704118339747176
"2-(Ethylamino)ethanol, N-acetyl",31.95920462271812,31.717126881927804,31.95920462271812,31.524058860721276,31.95920462271812
2-(Methylamino)ethanol,26.435149607625153,26.150631170402228,27.048287217015407,25.803968799907153,26.240171828633777
"2,2'-Bipyridine",21.519624795553614,21.420164172062925,21.670960523698007,20.962955602028387,21.670960523698007
"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",18.093337241236462,17.853699848028608,18.05034168384075,17.853699848028608,15.736334829163317
"2,3-Dihydroxybutanoic acid",,33.35215679615844,33.35215679615844,31.717126881927804,30.623277298382185
"2',3'-Di-O-acetyladenosine",,,6.266131158562355,6.2432529526650975e-06,
"2,4,4'-Trihydroxybenzophenone",20.15362153223412,20.15362153223412,20.29980452335389,18.342710623574344,20.720381211879527
"2,4,6-Cycloheptatrien-1-one",,24.89564830732322,,24.06832500895921,22.27430702450264
"2,4-Dihydroxyacetophenone",,,,,
"2,4-Dimethoxybenzaldoxime",,,,,
"2,4-Di-tert-butylphenol",23.163248814021422,23.087744266007967,23.641897217270277,22.932268496378803,23.53950244846534
"2,4-Imidazolidinedione, 5,5-dimethyl",20.962955602028387,20.44253760695687,21.420164172062925,18.645062264835627,22.768523653319022
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",20.483443453466823,19.699781717052282,18.718155278555177,,21.57610029885488
"2,5-Dimethoxybenzhydrazide",24.461469164765127,25.428438411905955,25.46576478857199,25.525182045378976,22.677151991974444
"2,5-Dimethoxybenzonitrile",19.742703568860655,20.569060632327876,21.275014812672758,20.720381211879527,19.231684460146965
"2,5-Dimethoxyphenol",23.087744266007967,23.989679440076806,24.36961804375653,24.123804190090038,22.64742502873396
"2',5'-Dimethoxypropiophenone",25.14804121471868,25.730898198181798,26.369078203868884,26.493306583380473,24.629459984367752
"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",22.098647400383946,,,20.44253760695687,21.420164172062925
"2-Allyl-1,4-dimethoxybenzene",25.628227583587186,25.661376626707472,26.080491346336323,25.661376626707472,25.628227583587186
2-Amino-4-methylbenzophenone,18.539084966592487,18.05034168384075,18.093337241236462,19.376402770603345,16.957019522403222
2-Aminoquinolin-8-ol,,,,24.253083460603026,
2-Butanol,,,,,
2-Buten-1-ol,17.43876252190187,21.275014812672758,20.806385817243616,,
"2-Butene-1,4-diol",,20.720381211879527,16.518744351671067,,
2-Butenedioic acid,25.803968799907153,24.719372529194573,25.428438411905955,25.296517960379166,23.087744266007967
"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",26.369078203868884,26.369078203868884,26.541536707150975,26.99902557858128,24.984574316554497
2-Butoxyethanol,12.769349172245516,14.04903832194788,15.736334829163317,11.222904631471797,16.078521338137325
2-Cyanobenzaldehyde,,,,,
"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",19.889103414629925,19.984495317940894,19.08459707800094,19.56328653685096,19.486404411228158
"2-Cyclohexen-1-one, 3-methyl-",20.720381211879527,21.60572902000185,22.174953146856996,21.420164172062925,19.18226128957594
2-Decanol,18.906679592658044,18.906679592658044,19.376402770603345,18.093337241236462,19.411099823967515
2-Ethyl-1-butanol,20.06409663854958,20.962955602028387,,20.483443453466823,
2-Ethylhexanoic acid,26.618176057480902,26.618176057480902,26.618176057480902,26.106203025933098,26.541536707150975
2-Ethylhexanol,,,,,
"2-Furancarbodithioic acid, methyl ester",,,,,
2-Furoic acid,16.32380468100019,17.141426024893484,17.25734641178498,15.879789950515795,17.43876252190187
2-Hexanol,26.320090962869966,25.803968799907153,25.847108480024986,26.541536707150975,24.36961804375653
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",7.519992267316956,,12.769349172245516,4.075295904524149,14.04903832194788
"2-Hydroxy-2',4',6'-trimethoxychalcone",,,,,
2-Hydroxy-3-methylbutyric acid,5.521747493514037,8.655162300329328,10.491064376645616,3.2128436770041544,13.261661022690058
"2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",,,,,
2-Isopropyl-5-methyl-1-heptanol,28.828859940472153,,,,
"2-Methyl-1,3-butanediol",23.02597125904264,22.932268496378803,23.163248814021422,22.370275784180816,23.641897217270277
2-Methyl-3-pentanol,15.958388995838067,16.671054678164104,18.220814837915416,,
"2-Methylcyclohexanol, (Z)",16.751898739533118,17.032517792139746,17.032517792139746,15.736334829163317,18.05034168384075
