,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224
"(2,5-Dimethoxyphenyl)acetone",16.649394651426014,16.38716185479659,17.504940337930993
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",20.349076790547738,19.511528355008892,19.977070348849676
(4-Fluorophenyl)phenylmethanol,,,17.313901308851932
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",30.573336989554633,28.328763097489578,26.50296267227539
"3,4,5-Trimethoxyamphetamine",,17.044039991717742,14.44344997303848
Oxypeucedanin,,,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",23.484143310267747,,23.99000942053065
"1-(2,4-Dimethoxyphenyl)-propan-2-one",15.79492488769024,18.964499198463745,16.894290018224726
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",25.248245599251963,25.491807134917025,25.741137750046672
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",,21.278227382097494,22.176682287677355
1-(Cyclohexylmethyl)-4-piperidinylamine,,15.79492488769024,13.17498269461429
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,18.92945649510279,18.76637914203081,18.87000098295748
"1,2,4-Butanetriol, (S)",,,
"1,2-Benzenedicarboxylic acid, butyl octyl ester",,26.06651650878252,
"1,2-Bis(trimethylsiloxy)cyclohexene",,,17.605330159289814
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,
"1,2-Cyclohexanediol, (Z)",18.994720196960333,19.12715709241501,
"1,3-Butanediamine",26.023750424771674,,
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",27.78907181958203,27.439594575526513,28.139723574834868
"1,3-Propanediol",,,
10-Undecynoic acid,,,
"13-Docosenamide, (Z)",,,
1-Butanol,26.567254262059528,,27.084943944408092
"1-Heptanol, 2-propyl-",,,
1-Hexacosanol,,,
1-Octadecanol,,11.73344589311528,
"1-Octanol, 2-butyl-",24.491789288861316,23.53191592986123,25.313618060977973
"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",,36.98883560312424,
"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",,,
"2(5H)-Furanone, 4-(hydroxymethyl)",19.977070348849676,19.55840932952848,19.90628699179653
"2-(Ethylamino)ethanol, N-acetyl",31.668951186609984,32.65987336076064,32.65987336076064
2-(Methylamino)ethanol,26.387010738920857,25.792817913981175,26.567254262059528
"2,2'-Bipyridine",21.63965483051689,21.42405899916408,21.36156896985457
"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",18.40008695193352,18.92945649510279,18.090663406345644
"2,3-Dihydroxybutanoic acid",,26.567254262059528,32.00781944442083
"2',3'-Di-O-acetyladenosine",,6.033603261326803,5.7610837394771846
"2,4,4'-Trihydroxybenzophenone",19.236639097669983,19.044780457273152,18.964499198463745
"2,4,6-Cycloheptatrien-1-one",23.82958488643099,25.140663431027427,23.920579189958964
"2,4-Dihydroxyacetophenone",,,26.45236086775373
"2,4-Dimethoxybenzaldoxime",,,19.236639097669983
"2,4-Di-tert-butylphenol",22.991190162689342,23.072538359028545,22.76118107855382
"2,4-Imidazolidinedione, 5,5-dimethyl",18.007855678299716,19.82917893481498,13.487298878543296
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",17.96713333278627,20.53009211757007,
"2,5-Dimethoxybenzhydrazide",25.140663431027427,,25.404802973180967
"2,5-Dimethoxybenzonitrile",20.53009211757007,20.060474603176942,21.03415127487163
"2,5-Dimethoxyphenol",23.584213588252027,22.336032499821258,24.41996340567163
"2',5'-Dimethoxypropiophenone",25.491807134917025,25.58298494600797,26.341187662588105
"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",21.811268708817973,21.151328125650927,20.437043584347983
"2-Allyl-1,4-dimethoxybenzene",25.741137750046672,25.96252317418443,25.58298494600797
2-Amino-4-methylbenzophenone,18.697253042531315,18.47862430573336,19.044780457273152
2-Aminoquinolin-8-ol,,22.430766960994436,
2-Butanol,,,
2-Buten-1-ol,21.36156896985457,,20.349076790547738
"2-Butene-1,4-diol",,,
2-Butenedioic acid,25.6563659490016,25.050447238005177,
"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",26.124112340107267,26.124112340107267,25.96252317418443
2-Butoxyethanol,16.78619280811605,15.925482683255618,11.432133533201071
2-Cyanobenzaldehyde,,,27.004989997162102
"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",19.41868971884918,20.239280036683237,19.626871308510992
"2-Cyclohexen-1-one, 3-methyl-",20.159049269761585,20.349076790547738,20.239280036683237
2-Decanol,18.964499198463745,,18.572420897099427
2-Ethyl-1-butanol,,,
2-Ethylhexanoic acid,26.45236086775373,26.50296267227539,26.023750424771674
2-Ethylhexanol,,,
"2-Furancarbodithioic acid, methyl ester",,,
2-Furoic acid,17.420656950089175,17.73101607564761,17.917954706335404
2-Hexanol,26.269939079141064,26.387010738920857,25.89217197325309
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",13.019379474962212,11.999708944648896,13.019379474962212
"2-Hydroxy-2',4',6'-trimethoxychalcone",,,
2-Hydroxy-3-methylbutyric acid,12.73466395698144,,8.203468926465137
"2-Hydroxymethyl-17alpha-methylandrosta-1,4-diene-11alpha,17beta-diol-3-one",,,
2-Isopropyl-5-methyl-1-heptanol,,28.139723574834868,27.78907181958203
"2-Methyl-1,3-butanediol",23.222075930761207,22.92787490413422,22.60513085670781
2-Methyl-3-pentanol,,,
"2-Methylcyclohexanol, (Z)",17.044039991717742,17.79122014145856,17.73101607564761
