,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
"(2,5-Dimethoxyphenyl)acetone",61487.77617,44579.29945,51871.51156,56614.44142,106182.1573,60441.87655,34634.09876,124928.2394,47464.74921,45739.8119,67751.53899,88453.17167,51671.13438,69324.48248
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",252750.0188,677206.091,1708404.271,494893.0969,794283.0008,1064662.302,419060.8465,706911.482,282575.8162,309258.5477,461736.8571,286696.5322,681447.7673,1333647.17
(4-Fluorophenyl)phenylmethanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107810.3666,0.0,0.0,568377.7956,0.0,0.0,0.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",53866317.1,264784357.0,175183451.2,169333569.8,368473982.0,1240395978.0,214897209.6,68566428.78,159943413.7,254984932.1,207162826.3,87943612.81,12582882.56,183394553.3
"3,4,5-Trimethoxyamphetamine",5909994.755,975.6771408,15581800.12,13227482.43,14653038.19,0.0,90918.76324,8040.871983,23232741.84,37837710.62,23306348.67,177169.7685,1637.594377,21178771.4
Oxypeucedanin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",0.0,19602601.68,129495271.3,44605423.09,78104380.87,11389516.68,0.0,14172806.26,0.0,19200180.56,23218700.82,0.0,111767297.1,204357331.3
"1-(2,4-Dimethoxyphenyl)-propan-2-one",63388.67546,391833.3827,348470.9877,358091.9145,432460.9807,26845.74725,300870.5884,72048.31749,351903.1393,0.0,420154.0421,371220.7074,253058.2954,360185.3063
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",55059994.34,36091294.59,23480879.28,32609387.23,34310033.6,33162341.68,28860951.41,53327118.06,50073791.47,49876542.21,72723256.76,66394700.25,35390239.57,43321339.69
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",93851.66009,3357345.768,1185189.113,1636636.548,5602007.572,0.0,1579541.3,5038706.03,580335.8191,4305368.927,2496239.232,259208.1698,2982324.005,4842917.045
1-(Cyclohexylmethyl)-4-piperidinylamine,0.0,57788.18134,56883.60679,0.0,15684.77874,0.0,23807.43308,3836.636799,42121.03284,634.7571202,7030.459844,0.0,9589.231297,13901.03462
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,532286.6882,510805.3636,541186.7858,468134.5384,525629.1227,370803.134,272026.3681,328079.5744,387439.6497,327699.3982,556240.93,756366.1193,280680.2997,379619.1449
"1,2,4-Butanetriol, (S)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170263.2118,0.0,0.0,0.0,0.0
"1,2-Benzenedicarboxylic acid, butyl octyl ester",0.0,0.0,0.0,0.0,0.0,0.0,52851077.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Bis(trimethylsiloxy)cyclohexene",0.0,0.0,902467.912,0.0,248785.297,0.0,0.0,127760.3524,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",235.3502939,0.0,0.0,1615.212975,39883.96214,0.0,0.0,0.0,0.0,0.0,0.0,1541.699673,0.0,0.0
"1,2-Cyclohexanediol, (Z)",167745.3671,116728.4608,140949.9702,121502.2842,181449.2043,376422.0486,330940.0542,0.0,150040.502,151516.7469,225082.0427,155482.0958,106983.5913,138545.5562
"1,3-Butanediamine",0.0,0.0,0.0,0.0,0.0,65718504.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",380391039.3,305289426.5,321853568.0,236845231.5,267873356.0,244159530.5,103847109.5,216737593.4,248030429.3,175323437.6,306232478.2,742889541.0,299722359.9,307814908.3
"1,3-Propanediol",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10-Undecynoic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111254.8366,0.0,0.0,0.0,0.0,0.0
"13-Docosenamide, (Z)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81236.56312,0.0,0.0,0.0,83381.46217,164393.2642
1-Butanol,161347664.8,0.0,0.0,135338568.1,131718427.9,106875256.1,0.0,98955214.82,107456564.6,71637526.91,0.0,0.0,0.0,0.0
"1-Heptanol, 2-propyl-",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2080960.988,1464070.627,1635868.062,2056022.595,1164532.482,1456199.616
1-Hexacosanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1-Octadecanol,375.9386047,0.0,1328.753757,0.0,842.8895487,0.0,487.2821111,0.0,873.8762341,2037.286933,685.1476175,2467.048508,876.2535424,0.0
"1-Octanol, 2-butyl-",99999839.94,58871974.36,63778066.18,53756073.29,75778582.15,19917960.86,9440684.004,32865035.58,35757536.36,38164165.76,54411176.27,132649624.8,45539347.15,35652465.62
"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",0.0,0.0,0.0,0.0,19924236131.0,0.0,168223000000.0,0.0,0.0,0.0,0.0,81082210871.0,139710000000.0,0.0
"2(1H)-Quinolinone, 3-[3-(4-methoxyphenyl)-1-oxo-2-propen-1-yl]-4-phenyl",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.71977391,0.0
"2(5H)-Furanone, 4-(hydroxymethyl)",349232.563,583069.3757,508492.4497,399558.0947,759249.4902,716584.5951,426858.1281,662394.8042,423280.4101,533107.4982,582670.3476,324897.4899,508082.5367,816362.1085
