n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000000326-C,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",,,2,-0.5,0.6666666666666667,3,-0.8660254037844387,0.3333333333333332,3,-0.6347419188140272,0.0908904363891588,8,2,True,-,0.5366427583514639
ENSMUSG00000000326-C,"1-(2,4-Dimethoxyphenyl)-propan-2-one",,,2,0.5,0.6666666666666667,3,,,2,0.2702812388086677,0.5577307488053698,7,1,True,+,0.801628601604417
ENSMUSG00000000326-C,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",,,1,-1.0,0.0,3,-1.0,0.0,3,-0.5225437283634242,0.2288778775760949,7,2,True,-,0.6166533443468096
ENSMUSG00000000326-C,1-(Cyclohexylmethyl)-4-piperidinylamine,,,1,,,2,0.5,0.6666666666666667,3,0.6571428571428573,0.1561749271137023,6,1,True,+,0.5765887123466416
ENSMUSG00000000326-C,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",,,2,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.530158961983068,0.1765098301165558,8,2,True,+,0.6005484511647976
ENSMUSG00000000326-C,"1-Heptanol, 2-propyl-",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000000326-C,"2(5H)-Furanone, 4-(hydroxymethyl)",,,2,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.4523809523809524,0.260404767436885,8,2,True,-,0.6435788927554966
ENSMUSG00000000326-C,"2,4-Imidazolidinedione, 5,5-dimethyl",,,2,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.1666666666666667,0.693238811728395,8,2,True,+,0.8549587713532723
ENSMUSG00000000326-C,"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",,,1,,,2,0.5,0.6666666666666667,3,0.6571428571428573,0.1561749271137023,6,1,True,+,0.5765887123466416
ENSMUSG00000000326-C,2-Amino-4-methylbenzophenone,,,2,-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.1904761904761905,0.6514014957024814,8,2,True,-,0.8339939825132504
ENSMUSG00000000326-C,2-Butenedioic acid,,,1,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.8468812149338255,0.0161971274678716,7,2,True,-,0.3681559838431966
ENSMUSG00000000326-C,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",,,2,-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.4431217169079058,0.2715023869225746,8,2,True,-,0.6473793562572965
ENSMUSG00000000326-C,"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",,,2,0.5,0.6666666666666667,3,,,2,0.7567874686642696,0.0489050991347263,7,1,True,+,0.45460374985539365
ENSMUSG00000000326-C,2-Decanol,,,2,0.5,0.6666666666666667,3,,,2,0.0900937462695559,0.8476720796198265,7,1,True,+,0.9226781335518794
ENSMUSG00000000326-C,2-Ethyl-1-butanol,,,0,,,2,-1.0,0.0,3,-0.7,0.1881204043741872,5,1,True,-,0.6012505483381132
ENSMUSG00000000326-C,2-Hexanol,,,2,-1.0,0.0,3,,,2,-0.6071428571428572,0.1482311614811614,7,1,True,-,0.5691953677069239
ENSMUSG00000000326-C,2-Methyl-3-pentanol,,,0,,,2,-1.0,0.0,3,-0.6,0.2847569798652937,5,1,True,-,0.653608370747936
ENSMUSG00000000326-C,2-Naphthol,,,2,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.3095238095238095,0.4556448907375822,8,2,True,+,0.7522295296942315
ENSMUSG00000000326-C,2-Propyl-1-pentanol,,,1,1.0,0.0,3,0.5,0.6666666666666667,3,0.8214285714285715,0.0234488083456915,7,2,True,+,0.40144149006709573
ENSMUSG00000000326-C,"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",,,2,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.261904761904762,0.530922861565801,8,2,True,-,0.7925066949061662
ENSMUSG00000000326-C,"3,4-Methylenedioxyamphetamine",,,2,,,1,-0.5,0.6666666666666667,3,-0.5428571428571429,0.2657026239067055,6,1,True,-,0.6457731857626853
ENSMUSG00000000326-C,3-Amino-5-methylisoxazole,,,2,0.5,0.6666666666666667,3,1.0,0.0,3,0.523809523809524,0.1827207505397148,8,2,True,+,0.6005484511647976
ENSMUSG00000000326-C,3-Aminobenzoic acid,,,1,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.4865062298556019,0.268248562317831,7,2,True,+,0.6465560238127078
ENSMUSG00000000326-C,3-Hydroxymethyl-2-trimethylsilyloxypentane,,,0,,,1,-0.5,0.6666666666666667,3,-0.7999999999999999,0.2,4,1,True,-,0.6012505483381132
ENSMUSG00000000326-C,"4-[2-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)ethenyl]-2-methoxyphenol",,,2,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.5988131309566295,0.1167535440579677,8,2,True,+,0.5538163169831376
ENSMUSG00000000326-C,4-Methylvaleric acid,,,2,1.0,0.0,3,,,2,0.2142857142857143,0.6445115810207203,7,1,True,+,0.8339939825132504
ENSMUSG00000000326-C,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",,,2,0.8660254037844387,0.3333333333333332,3,,,2,0.2182178902359924,0.638298871640929,7,1,True,+,0.8339939825132504
ENSMUSG00000000326-C,6-Methyluracil,,,2,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.1666666666666667,0.693238811728395,8,2,True,+,0.8549587713532723
ENSMUSG00000000326-C,Acetic acid,,,2,,,3,-0.8660254037844387,0.3333333333333332,3,-0.2474358296526967,0.554646423221937,8,1,True,-,0.8000520738754486
