n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent
ENSMUSG00000000326-C,"(2,5-Dimethoxyphenyl)acetone",,,2,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.0718575757147955,0.8657301238340008,8,2,False
ENSMUSG00000000326-C,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",,,2,1.0,0.0,3,-0.5,0.6666666666666667,3,0.1428571428571428,0.735764859879812,8,2,False
ENSMUSG00000000326-C,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",,,2,-0.5,0.6666666666666667,3,-0.8660254037844387,0.3333333333333332,3,-0.6347419188140272,0.0908904363891588,8,2,True
ENSMUSG00000000326-C,"3,4,5-Trimethoxyamphetamine",,,1,0.5,0.6666666666666667,3,-1.0,0.0,3,-0.7857142857142859,0.0362384626798271,7,2,False
ENSMUSG00000000326-C,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene",,,2,1.0,0.0,3,-0.5,0.6666666666666667,3,0.1428571428571428,0.735764859879812,8,2,False
ENSMUSG00000000326-C,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",,,2,-0.5,0.6666666666666667,3,-1.0,0.0,3,0.0714285714285714,0.8665262706759088,8,2,False
ENSMUSG00000000326-C,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",,,1,-1.0,0.0,3,-1.0,0.0,3,-0.5225437283634242,0.2288778775760949,7,2,True
ENSMUSG00000000326-C,1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,,,2,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.0952380952380952,0.8225054302036114,8,2,False
ENSMUSG00000000326-C,"1,2-Cyclohexanediol, (Z)",,,1,1.0,0.0,3,-0.5,0.6666666666666667,3,-0.1091089451179962,0.8158714843641037,7,2,False
ENSMUSG00000000326-C,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",,,2,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.530158961983068,0.1765098301165558,8,2,True
ENSMUSG00000000326-C,"1-Octanol, 2-butyl-",,,2,0.5,0.6666666666666667,3,-0.8660254037844387,0.3333333333333332,3,0.3952166664313755,0.3325171079338276,8,2,False
ENSMUSG00000000326-C,"2(5H)-Furanone, 4-(hydroxymethyl)",,,2,-0.5,0.6666666666666667,3,-1.0,0.0,3,-0.4523809523809524,0.260404767436885,8,2,True
ENSMUSG00000000326-C,"2-(Ethylamino)ethanol, N-acetyl",,,2,0.5,0.6666666666666667,3,-0.8660254037844387,0.3333333333333332,3,0.2223747949983303,0.596589034476579,8,2,False
ENSMUSG00000000326-C,2-(Methylamino)ethanol,,,2,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.0476190476190476,0.9108491685195836,8,2,False
ENSMUSG00000000326-C,"2,2'-Bipyridine",,,2,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.3233590907165799,0.4346394485508573,8,2,False
ENSMUSG00000000326-C,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",,,2,0.0,1.0,3,-1.0,0.0,3,-0.4391550328268399,0.2763268401337456,8,2,False
ENSMUSG00000000326-C,"2,4,4'-Trihydroxybenzophenone",,,2,0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.0120490673177969,0.9774101852887366,8,2,False
ENSMUSG00000000326-C,"2,4-Imidazolidinedione, 5,5-dimethyl",,,2,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.1666666666666667,0.693238811728395,8,2,True
ENSMUSG00000000326-C,"2,5-Dimethoxybenzhydrazide",,,2,-1.0,0.0,3,-0.5,0.6666666666666667,3,0.143715151429591,0.7342214747617433,8,2,False
ENSMUSG00000000326-C,"2,5-Dimethoxybenzonitrile",,,2,-0.5,0.6666666666666667,3,-1.0,0.0,3,0.143715151429591,0.7342214747617433,8,2,False
ENSMUSG00000000326-C,"2,5-Dimethoxyphenol",,,2,-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.4761904761904762,0.2329355346500979,8,2,False
ENSMUSG00000000326-C,"2',5'-Dimethoxypropiophenone",,,2,-1.0,0.0,3,-0.5,0.6666666666666667,3,0.1556914140487236,0.7127617079991629,8,2,False
ENSMUSG00000000326-C,"2-Allyl-1,4-dimethoxybenzene",,,2,0.0,1.0,3,-1.0,0.0,3,-0.5855400437691199,0.1272465898637207,8,2,False
ENSMUSG00000000326-C,2-Amino-4-methylbenzophenone,,,2,-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.1904761904761905,0.6514014957024814,8,2,True
ENSMUSG00000000326-C,2-Butenedioic acid,,,1,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.8468812149338255,0.0161971274678716,7,2,True
