n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000000093-B,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",1.0,0.0,3,1.0,0.0,3,0.0579771035652448,0.9131317851623264,6,0.2653782657245169,0.4044869871097198,12,3,True,+,0.6939185144340897
ENSMUSG00000000093-B,"3,4,5-Trimethoxyamphetamine",,,2,0.5,0.6666666666666667,3,0.0285714285714285,0.9571545189504372,6,0.1552511415525114,0.6485248633928989,11,2,True,+,0.8048809618863683
ENSMUSG00000000093-B,1-(Cyclohexylmethyl)-4-piperidinylamine,,,2,,,2,-0.1999999999999999,0.747060078104662,5,-0.3179944153271747,0.4043225359679229,9,1,True,-,0.6939185144340897
ENSMUSG00000000093-B,1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.3946648814672956,0.4387392515170167,6,0.1660818860008183,0.6059462070517465,12,3,True,+,0.8048809618863683
ENSMUSG00000000093-B,"13-Docosenamide, (Z)",,,0,,,0,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,1,True,-,0.8048809618863683
ENSMUSG00000000093-B,"1-Heptanol, 2-propyl-",,,0,,,0,0.8406680016960503,0.0360575728451592,6,0.8406680016960503,0.0360575728451592,6,1,True,+,0.3293054324827121
ENSMUSG00000000093-B,1-Octadecanol,,,1,,,2,0.8999999999999998,0.0373860734684987,5,0.0238095238095238,0.9553740118158808,8,1,True,+,0.9678730334349546
ENSMUSG00000000093-B,"2,2'-Bipyridine",1.0,0.0,3,0.5,0.6666666666666667,3,0.8986451052612952,0.0148886220055803,6,0.3961292162420904,0.2023949037878346,12,3,True,+,0.5588253810057621
ENSMUSG00000000093-B,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",0.5,0.6666666666666667,3,0.8660254037844387,0.3333333333333332,3,0.4616902584383193,0.4337661561690278,5,0.1562115358179154,0.6464729786766026,11,3,True,+,0.8048809618863683
ENSMUSG00000000093-B,"2',3'-Di-O-acetyladenosine",,,2,,,2,0.5,0.6666666666666667,3,0.2363636363636363,0.6098509057989792,7,1,True,+,0.8048809618863683
ENSMUSG00000000093-B,"2,4,4'-Trihydroxybenzophenone",1.0,0.0,3,0.5,0.6666666666666667,3,0.6,0.2079999999999998,6,0.469245012903616,0.1238043316010465,12,3,True,+,0.4897714626914164
