n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000000093-B,L-Val-L-Leu,,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000000093-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000000384-B,Isosorbide,1.0,0.0,3,,,0,,,0,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000000555-B,"13-Docosenamide, (Z)",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000000555-B,"3,4-Dihydroxybenzaldehyde",-1.0,0.0,3,,,0,,,0,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000000555-B,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",0.8660254037844387,0.3333333333333332,3,0.8660254037844387,0.3333333333333332,3,0.632455532033676,0.367544467966324,4,0.9221228546165696,0.0001463669002885,10,3,True,+,0.004815345919576873
ENSMUSG00000000555-B,L-(+)-Threose,,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000000555-B,Yangonin,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.4558823529411764,0.3635491934663138,6,0.8318597100170123,0.0007922436323422,12,3,True,+,0.024240891809313162
ENSMUSG00000000562-B,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene",,,2,0.5,0.6666666666666667,3,1.0,0.0,4,0.9,0.0009430623223403,9,2,True,+,0.028249303433091694
ENSMUSG00000000562-B,"13-Docosenamide, (Z)",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000000562-B,3-(4-Methoxyphenyl)coumarin,,,1,,,0,-1.0,0.0,3,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000000562-B,Isosorbide,-1.0,0.0,3,,,0,,,0,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000000562-B,L-(+)-Threose,,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000000627-B,L-Val-L-Leu,,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000000627-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000001021-B,4-tert-Butyldimethylsiloxy-3-penten-2-one,,,0,,,0,-1.0,0.0,4,-1.0,0.0,4,1,True,-,0.0
ENSMUSG00000001029-B,Isosorbide,-1.0,0.0,3,,,0,,,0,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000001029-B,L-(+)-Threose,,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000001029-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000001418-B,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-1.0,0.0,3,-0.5,0.6666666666666667,3,-0.9276336570439176,0.0076658441874731,6,-0.90526873051103,5.115463807565403e-05,12,3,True,-,0.001703325543951622
ENSMUSG00000001418-B,L-(+)-Threose,,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000001555-B,"13-Docosenamide, (Z)",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000001555-B,6-Nitroveratryl alcohol,,,1,,,1,1.0,0.0,3,1.0,1.4042654220543672e-24,5,1,True,+,4.712553149582973e-23
ENSMUSG00000001555-B,Isosorbide,1.0,0.0,3,,,0,,,0,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000001767-B,5-Azacytosine,1.0,0.0,3,0.5,0.6666666666666667,3,0.6377481392176932,0.1730711102412597,6,0.8014171144828385,0.0017239982115435,12,3,True,+,0.048974272441868937
ENSMUSG00000001767-B,Isosorbide,1.0,0.0,3,,,0,,,0,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000001767-B,L-Val-L-Leu,,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000001767-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,-1.0,0.0,3,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000001767-B,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,,0,,,0,1.0,0.0,4,1.0,0.0,4,1,True,+,0.0
ENSMUSG00000001864-B,"3,4-Dihydroxybenzaldehyde",-1.0,0.0,3,,,0,,,0,-1.0,0.0,3,1,True,-,0.0
ENSMUSG00000001864-B,4-tert-Butyldimethylsiloxy-3-penten-2-one,,,0,,,0,1.0,0.0,4,1.0,0.0,4,1,True,+,0.0
ENSMUSG00000001864-B,L-Val-L-Leu,,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
ENSMUSG00000001864-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,,0,,,0,1.0,0.0,3,1.0,0.0,3,1,True,+,0.0
