n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count
ENSMUSG00000000093-B,"(2,5-Dimethoxyphenyl)acetone",-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.3142857142857143,0.5440932944606414,6,-0.1508771929824561,0.6397419041226463,12,3
ENSMUSG00000000093-B,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,0.0289885517826224,0.9565293523898406,6,-0.2017543859649123,0.5294737349457318,12,3
ENSMUSG00000000093-B,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",1.0,0.0,3,1.0,0.0,3,0.0579771035652448,0.9131317851623264,6,0.2653782657245169,0.4044869871097198,12,3
ENSMUSG00000000093-B,"3,4,5-Trimethoxyamphetamine",,,2,0.5,0.6666666666666667,3,0.0285714285714285,0.9571545189504372,6,0.1552511415525114,0.6485248633928989,11,2
ENSMUSG00000000093-B,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene",,,2,-0.5,0.6666666666666667,3,-0.3999999999999999,0.6,4,0.1171558372258012,0.7640451166486228,9,2
ENSMUSG00000000093-B,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.3354101966249684,0.5810906728217108,5,0.243683956088475,0.4702442753622949,11,3
ENSMUSG00000000093-B,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",-1.0,0.0,3,1.0,0.0,3,0.2029198624783569,0.6997979681570189,6,-0.1481502218759098,0.6458725476129654,12,3
ENSMUSG00000000093-B,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",,,2,0.5,0.6666666666666667,3,0.2,0.704,6,-0.0136986301369863,0.9681137011643256,11,2
ENSMUSG00000000093-B,1-(Cyclohexylmethyl)-4-piperidinylamine,,,2,,,2,-0.1999999999999999,0.747060078104662,5,-0.3179944153271747,0.4043225359679229,9,1
ENSMUSG00000000093-B,1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.3946648814672956,0.4387392515170167,6,0.1660818860008183,0.6059462070517465,12,3
ENSMUSG00000000093-B,"1,2-Cyclohexanediol, (Z)",,,2,-0.5,0.6666666666666667,3,0.6377481392176932,0.1730711102412597,6,0.0366141350981009,0.9148878166551396,11,2
ENSMUSG00000000093-B,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,-0.2353959545345998,0.6534278608778468,6,0.1236780002133753,0.701758835019592,12,3
ENSMUSG00000000093-B,"13-Docosenamide, (Z)",,,0,,,0,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,1
ENSMUSG00000000093-B,"1-Heptanol, 2-propyl-",,,0,,,0,0.8406680016960503,0.0360575728451592,6,0.8406680016960503,0.0360575728451592,6,1
ENSMUSG00000000093-B,1-Octadecanol,,,1,,,2,0.8999999999999998,0.0373860734684987,5,0.0238095238095238,0.9553740118158808,8,1
ENSMUSG00000000093-B,"1-Octanol, 2-butyl-",-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.6767633692869747,0.1398366873478105,6,0.6742999547587584,0.0161752776086824,12,3
ENSMUSG00000000093-B,"2(5H)-Furanone, 4-(hydroxymethyl)",0.5,0.6666666666666667,3,1.0,0.0,3,0.4058397249567139,0.4246625075613645,6,-0.1473684210526316,0.6476339110732001,12,3
ENSMUSG00000000093-B,"2-(Ethylamino)ethanol, N-acetyl",-0.8660254037844387,0.3333333333333332,3,0.5,0.6666666666666667,3,0.3946648814672956,0.4387392515170167,6,0.1429246931902958,0.6576767487448749,12,3
ENSMUSG00000000093-B,2-(Methylamino)ethanol,-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.8116794499134279,0.0498575851013403,6,0.4585602105682922,0.1337791310712032,12,3
ENSMUSG00000000093-B,"2,2'-Bipyridine",1.0,0.0,3,0.5,0.6666666666666667,3,0.8986451052612952,0.0148886220055803,6,0.3961292162420904,0.2023949037878346,12,3
ENSMUSG00000000093-B,"2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",0.5,0.6666666666666667,3,0.8660254037844387,0.3333333333333332,3,0.4616902584383193,0.4337661561690278,5,0.1562115358179154,0.6464729786766026,11,3
ENSMUSG00000000093-B,"2,3-Dihydroxybutanoic acid",,,2,0.0,1.0,3,0.0,1.0,4,0.3445499807945673,0.3638713652659553,9,2
ENSMUSG00000000093-B,"2',3'-Di-O-acetyladenosine",,,2,,,2,0.5,0.6666666666666667,3,0.2363636363636363,0.6098509057989792,7,1
ENSMUSG00000000093-B,"2,4,4'-Trihydroxybenzophenone",1.0,0.0,3,0.5,0.6666666666666667,3,0.6,0.2079999999999998,6,0.469245012903616,0.1238043316010465,12,3
ENSMUSG00000000093-B,"2,4,6-Cycloheptatrien-1-one",-0.5,0.6666666666666667,3,,,2,-0.5,0.6666666666666667,3,0.1197626261913258,0.7775830437712571,8,2
ENSMUSG00000000093-B,"2,4-Di-tert-butylphenol",0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,,,1,0.198206241793023,0.6700850339168266,7,2
ENSMUSG00000000093-B,"2,4-Imidazolidinedione, 5,5-dimethyl",0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.1159542071304896,0.826848213385815,6,0.3585242795218639,0.2524597922819323,12,3
ENSMUSG00000000093-B,"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",,,2,,,2,0.0857142857142857,0.8717434402332361,6,-0.0666666666666666,0.8548130882487426,10,1
ENSMUSG00000000093-B,"2,5-Dimethoxybenzhydrazide",,,2,0.5,0.6666666666666667,3,-0.0857142857142857,0.8717434402332361,6,-0.047945205479452,0.888672370983753,11,2
ENSMUSG00000000093-B,"2,5-Dimethoxybenzonitrile",-0.5,0.6666666666666667,3,1.0,0.0,3,0.4857142857142857,0.3287230320699709,6,0.4385964912280701,0.1537815347659389,12,3
ENSMUSG00000000093-B,"2,5-Dimethoxyphenol",-0.5,0.6666666666666667,3,1.0,0.0,3,-0.4285714285714286,0.3965014577259474,6,-0.0105263157894736,0.9740992214437104,12,3
ENSMUSG00000000093-B,"2',5'-Dimethoxypropiophenone",-1.0,0.0,3,0.5,0.6666666666666667,3,-0.0857142857142857,0.8717434402332361,6,0.2263157894736842,0.4793750649582449,12,3
ENSMUSG00000000093-B,"2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",1.0,0.0,3,,,1,0.3999999999999999,0.6,4,0.261904761904762,0.530922861565801,8,2
ENSMUSG00000000093-B,"2-Allyl-1,4-dimethoxybenzene",0.5,0.6666666666666667,3,0.8660254037844387,0.3333333333333332,3,0.2571428571428572,0.6227871720116618,6,0.1975336291678797,0.5383011034188991,12,3
ENSMUSG00000000093-B,2-Amino-4-methylbenzophenone,-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,-0.0999999999999999,0.8728885715695383,5,-0.2186793828375385,0.5182719982142276,11,3
ENSMUSG00000000093-B,"2-Butene-1,4-diol",,,0,,,2,0.7999999999999999,0.2,4,-0.1159542071304896,0.826848213385815,6,1
ENSMUSG00000000093-B,2-Butenedioic acid,,,2,1.0,0.0,3,0.1428571428571428,0.7871720116618075,6,0.1138955118945513,0.7388017086822056,11,2
ENSMUSG00000000093-B,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",0.8660254037844387,0.3333333333333332,3,0.5,0.6666666666666667,3,-0.0285714285714285,0.9571545189504372,6,0.4240388578744298,0.1695079020571552,12,3
ENSMUSG00000000093-B,2-Butoxyethanol,1.0,0.0,3,0.5,0.6666666666666667,3,0.7714285714285715,0.0723965014577259,6,0.3228070175438596,0.3061183670683401,12,3
ENSMUSG00000000093-B,2-Cyanobenzaldehyde,,,1,,,0,0.3999999999999999,0.5046315754686911,5,-0.1449427589131121,0.7841083696021082,6,1
ENSMUSG00000000093-B,"2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",-0.5,0.6666666666666667,3,-1.0,0.0,3,0.3,0.6238376647810728,5,-0.1689497716894977,0.6194710755806052,11,3
ENSMUSG00000000093-B,"2-Cyclohexen-1-one, 3-methyl-",-0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.3714285714285715,0.4684781341107871,6,0.5017543859649123,0.0964949345318362,12,3
ENSMUSG00000000093-B,2-Decanol,,,2,0.5,0.6666666666666667,3,0.7,0.1881204043741872,5,0.3363930102862497,0.3419089740135692,10,2
