n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000000290-S,"3,4,5-Trimethoxyamphetamine",,,1,0.5,0.6666666666666667,3,0.0999999999999999,0.8728885715695383,5,0.3333333333333333,0.3807131816768634,9,2,True,+,0.7041910902141681
ENSMUSG00000000290-S,"1-(2,4-Dimethoxyphenyl)-propan-2-one",,,1,0.5,0.6666666666666667,3,0.948683298050514,0.0513167019494861,4,0.7185757571479554,0.0446226100244191,8,2,True,+,0.3884122474673482
ENSMUSG00000000290-S,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",,,1,-0.5,0.6666666666666667,3,-0.3,0.6238376647810728,5,-0.2833333333333333,0.4600303289657199,9,2,True,-,0.7496950140437487
ENSMUSG00000000290-S,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",,,1,-1.0,0.0,3,-0.8999999999999998,0.0373860734684987,5,-0.7666666666666667,0.015944016578974,9,2,True,-,0.28118397959745806
ENSMUSG00000000290-S,1-(Cyclohexylmethyl)-4-piperidinylamine,,,1,,,2,0.3999999999999999,0.6,4,0.5357142857142858,0.2152174556780127,7,1,True,+,0.5914161569369962
ENSMUSG00000000290-S,1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,,,1,0.5,0.6666666666666667,3,0.4616902584383193,0.4337661561690278,5,0.2343116744516024,0.5439670667628356,9,2,True,+,0.794449375693944
ENSMUSG00000000290-S,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",,,1,0.5,0.6666666666666667,3,0.6668859288553501,0.2188939813132316,5,0.2605134001129655,0.4983922968952549,9,2,True,+,0.7715670700254732
ENSMUSG00000000290-S,"1-Heptanol, 2-propyl-",,,0,,,0,-0.4616902584383193,0.4337661561690278,5,-0.4616902584383193,0.4337661561690278,5,1,True,-,0.7291530825114028
ENSMUSG00000000290-S,"1-Octanol, 2-butyl-",,,1,0.5,0.6666666666666667,3,0.2051956704170308,0.7405819415910722,5,0.3613572969308877,0.3393210245115939,9,2,True,+,0.6748237299941348
ENSMUSG00000000290-S,"2(5H)-Furanone, 4-(hydroxymethyl)",,,1,-0.5,0.6666666666666667,3,-0.9746794344808964,0.0048182304681985,5,-0.8200908605806085,0.0067875328192439,9,2,True,-,0.18095401739917155
ENSMUSG00000000290-S,2-(Methylamino)ethanol,,,1,0.5,0.6666666666666667,3,0.1538967528127731,0.8048288166080632,5,0.0508547627715607,0.896622545113034,9,2,True,+,0.9344364245988308
ENSMUSG00000000290-S,"2,2'-Bipyridine",,,1,0.5,0.6666666666666667,3,0.0512989176042577,0.934712848108234,5,0.0253184841770916,0.9484491521855708,9,2,True,+,0.9636347986568098
ENSMUSG00000000290-S,"2,4-Imidazolidinedione, 5,5-dimethyl",,,1,0.5,0.6666666666666667,3,0.9746794344808964,0.0048182304681985,5,0.8284591346681658,0.0057953731994397,9,2,True,+,0.1652379132526535
ENSMUSG00000000290-S,"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",,,0,,,2,0.8999999999999998,0.0373860734684987,5,0.8571428571428573,0.0136973266153256,7,1,True,+,0.2644272625188231
ENSMUSG00000000290-S,"2,5-Dimethoxybenzhydrazide",,,1,-1.0,0.0,3,-0.8999999999999998,0.0373860734684987,5,-0.8117225864930513,0.0078892976878294,9,2,True,-,0.1925481011122657
ENSMUSG00000000290-S,"2,5-Dimethoxybenzonitrile",,,1,-0.5,0.6666666666666667,3,-0.7999999999999999,0.1040880386618278,5,-0.7166666666666667,0.0298180356958452,9,2,True,-,0.3619882321848614
ENSMUSG00000000290-S,"2,5-Dimethoxyphenol",,,1,-0.5,0.6666666666666667,3,-0.4999999999999999,0.3910022189557705,5,-0.728039845617479,0.0261536207531622,9,2,True,-,0.3432828826524759
ENSMUSG00000000290-S,"2',5'-Dimethoxypropiophenone",,,1,-1.0,0.0,3,-0.8999999999999998,0.0373860734684987,5,-0.8619322310183947,0.0028059289678377,9,2,True,-,0.1035533551675895
ENSMUSG00000000290-S,2-Amino-4-methylbenzophenone,,,1,-1.0,0.0,3,-0.7999999999999999,0.2,4,-0.8333333333333335,0.0101755401234567,8,2,True,-,0.22608156660537063
ENSMUSG00000000290-S,"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",,,1,-1.0,0.0,3,-0.7999999999999999,0.1040880386618278,5,-0.4100454302903042,0.2730297471437723,9,2,True,-,0.6364796000479556
ENSMUSG00000000290-S,2-Cyanobenzaldehyde,,,1,,,0,-0.1999999999999999,0.8,4,-0.6,0.2847569798652937,5,1,True,-,0.6383191426076389
