n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent
ENSMUSG00000000290-S,"(2,5-Dimethoxyphenyl)acetone",,,1,0.5,0.6666666666666667,3,-0.3999999999999999,0.5046315754686911,5,-0.4435185266405332,0.2317840652993742,9,2,False
ENSMUSG00000000290-S,"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",,,1,1.0,0.0,3,-0.8999999999999998,0.0373860734684987,5,-0.45,0.2242161074923366,9,2,False
ENSMUSG00000000290-S,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",,,1,-0.5,0.6666666666666667,3,0.0999999999999999,0.8728885715695383,5,-0.1333333333333333,0.7323675052362975,9,2,False
ENSMUSG00000000290-S,"3,4,5-Trimethoxyamphetamine",,,1,0.5,0.6666666666666667,3,0.0999999999999999,0.8728885715695383,5,0.3333333333333333,0.3807131816768634,9,2,True
ENSMUSG00000000290-S,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene",,,1,1.0,0.0,3,-1.0,0.0,3,0.0714285714285714,0.8790481931481541,7,2,False
ENSMUSG00000000290-S,"1-(2,4-Dimethoxyphenyl)-propan-2-one",,,1,0.5,0.6666666666666667,3,0.948683298050514,0.0513167019494861,4,0.7185757571479554,0.0446226100244191,8,2,True
ENSMUSG00000000290-S,"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",,,1,-0.5,0.6666666666666667,3,-0.3,0.6238376647810728,5,-0.2833333333333333,0.4600303289657199,9,2,True
ENSMUSG00000000290-S,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",,,1,-1.0,0.0,3,-0.8999999999999998,0.0373860734684987,5,-0.7666666666666667,0.015944016578974,9,2,True
ENSMUSG00000000290-S,1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,,,1,0.5,0.6666666666666667,3,0.4616902584383193,0.4337661561690278,5,0.2343116744516024,0.5439670667628356,9,2,True
ENSMUSG00000000290-S,"1,2-Cyclohexanediol, (Z)",,,0,1.0,0.0,3,-0.6668859288553501,0.2188939813132316,5,0.2048341444025489,0.6265435481779082,8,2,False
ENSMUSG00000000290-S,"1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",,,1,0.5,0.6666666666666667,3,0.6668859288553501,0.2188939813132316,5,0.2605134001129655,0.4983922968952549,9,2,True
ENSMUSG00000000290-S,"1-Octanol, 2-butyl-",,,1,0.5,0.6666666666666667,3,0.2051956704170308,0.7405819415910722,5,0.3613572969308877,0.3393210245115939,9,2,True
