ID,896_DSS,T0.7_DSS,T0.8_DSS,3297_VECPAC,3679_VECPAC,3681_VECPAC,935_LPS,936_LPS,937_LPS,941_LPS,942_LPS,943_LPS
ENSMUSG00000027374-P,6.50496586674294,5.910311749663849,6.885563890964352,6.649287211316158,6.559474122283782,6.6174685627395045,6.615488087556025,6.359462826882996,6.731443787784425,6.825285165053963,6.575085749865443,6.844618859895456
ENSMUSG00000042626-P,4.232267354256176,3.5312132431986103,4.737738392123119,4.847138132682166,5.03847880351046,5.709962718837696,5.307449543185963,4.942038178517604,5.701403726240479,4.977680582447654,4.298104939536926,4.252640047634348
ENSMUSG00000055681-P,7.675039560506247,7.911320963527596,7.865703314104701,7.6876608556954285,7.846269615260247,7.437713922998197,7.813033015219128,8.098378958470615,7.988953557785727,7.597582104243076,7.881908069644026,7.838328791566402
ENSMUSG00000028412-P,6.303022613945795,6.948476592165153,6.326896664973563,6.342392431618777,6.488108530361115,4.923132308808885,6.348901173749178,5.896719670711514,6.316120126028523,6.241576125946,6.560138125621913,6.534500861155465
ENSMUSG00000054484-P,4.47147194203123,5.324676047276037,4.961030935308618,4.999484889422392,5.254586462582506,4.1295756828041315,5.043665381412245,5.024242728639026,4.943465455302347,4.451172027377437,5.0631190143554665,4.700947400377628
ENSMUSG00000024425-P,9.880247139238056,10.251128278311183,9.69995942305578,9.724923307080068,10.083702297772543,9.520601257603044,10.20318773482849,9.934885311451852,10.085541281076145,9.764368204662478,9.939278230770716,9.770732416319294
ENSMUSG00000032216-P,10.7248211386656,10.527861009187651,10.298482809513397,10.53440873619768,9.786851520330211,9.942335790465384,9.469733113266724,9.086207746032446,9.999748644781958,10.017771273042875,10.416836928576156,10.344391847531782
ENSMUSG00000025979-P,7.384442664679167,7.554069914600203,7.965747383223005,7.570896812323954,7.504367489962307,7.075341491119768,7.599934293538317,7.798938682665896,7.672961357874305,7.874260836503107,7.35876785617645,7.238929229176315
ENSMUSG00000051343-P,5.547148967576114,5.749688705337369,5.710445808937475,5.263034636753109,6.360712035010066,5.304083292016831,5.043665381412245,5.024242728639026,5.671619863072131,5.417812516162077,5.0631190143554665,5.0424752552067345
ENSMUSG00000035443-P,8.61025890516807,8.711569294317053,8.46236903904721,7.915452845223526,8.469843004370246,8.653154603177404,8.624707318395737,8.486953234967084,8.476206920526254,8.234914748730626,8.208615782460724,8.324456786242296
ENSMUSG00000028991-P,5.974033007845808,6.206954718790918,5.989310299083667,6.16039032864299,6.463513340827871,6.180215210348189,6.2267499791404335,6.632728042457236,6.064363292374095,5.85806032627422,6.2040681132011395,6.445306768518016
ENSMUSG00000036948-P,5.258688447768312,5.120836548556326,6.244311273730956,5.61723153645693,6.278499046512376,6.534285623980695,6.798145964744758,6.001904191842039,6.774113126984875,6.441387448538115,6.279013089628651,6.13893452079274
ENSMUSG00000033900-P,6.596240018032795,6.054829852279387,6.965074548233909,7.060727042973199,6.7029596052207445,5.942819859974084,6.3874232372913085,6.851166333688574,6.595297338780084,7.343187726400538,7.350103907851755,7.198560098846078
ENSMUSG00000041936-P,4.356821614027285,2.875129551690155,4.320598421947695,3.896410477907952,5.1035962704463325,5.807659781039243,5.753228359186448,5.345294605051995,5.814746626998824,5.214466084194152,4.676324781005206,5.159263134006526
ENSMUSG00000034584-P,2.793193551827114,1.0399210909765384,2.7187049314574803,1.6494513886902091,0.0,3.0591668457024253,3.588413176024308,4.028615856195515,1.644524637198008,3.410658846623913,4.3684340633204695,3.222863846480197
ENSMUSG00000068921-P,5.2902722705515055,6.186180275763554,5.581822928035971,6.001030361990174,6.176259726847314,6.446011476171514,5.782429735667016,5.852400307614175,6.513712606035222,6.301543691787303,5.975307404046377,5.749456405487739
ENSMUSG00000049670-P,4.938197499381258,2.385282137693864,4.320598421947695,5.263034636753109,5.608734042719881,4.5238588630139445,5.181577911249507,5.783258962668004,5.173383165887978,4.8629553682010584,5.434918702122314,4.915393872976637
ENSMUSG00000044224-P,6.012414969129594,6.677889559275795,6.087331193886346,5.648301312529237,5.071404898451995,5.807659781039243,4.891162234118836,5.939718030230672,4.543972575687705,5.837951504031949,6.062746991028016,6.248448553326723
ENSMUSG00000030216-P,7.675039560506247,8.117394690981925,7.357712407761936,7.264965529527214,6.400125900474279,6.562549541177046,6.329247423936927,6.50970779403364,6.354117710036407,6.751954012747458,6.940898759950688,6.945642350481263
ENSMUSG00000071072-P,7.221979697164291,7.227974387724399,7.524474121970149,7.587022258759978,7.127635657207253,7.3267379546406755,7.378780750422187,7.612211160859154,7.237588588812777,7.492159127041547,7.458869182813468,7.341363895940468
ENSMUSG00000021243-P,6.303022613945795,5.910311749663849,7.146563278657072,6.915043026500959,6.033172581451193,6.818357173451681,7.462354266180769,7.302045855505167,6.041257694906058,7.579529040479794,6.905856790644351,7.128661778450114
ENSMUSG00000016495-P,5.59851402558366,4.244427258259998,5.2420913129651465,4.950468643575782,4.784197321922532,2.7007023697212773,4.994600610353493,4.762084009432767,5.545926290761863,5.471009825516781,5.297472671066822,5.26730081503223
ENSMUSG00000026803-P,6.206999609854352,5.163973699473649,5.512938895848565,5.553009586529424,4.61585078838867,7.188484979036001,5.723423689788241,5.874730167948002,5.512714021628471,6.271871465536351,6.041378893527714,6.7359850352559345
ENSMUSG00000036188-P,5.648113003991458,6.553639072446206,5.937683736208367,5.0927875684481885,5.630992092682936,5.759638078590581,6.4433437939658145,6.001904191842039,5.512714021628471,6.162931855610215,5.882224354039638,5.9246719765045155
ENSMUSG00000068284-P,6.012414969129594,6.537327466754477,6.772237174073755,6.46960716842231,4.425232634826587,6.696115676779869,5.091116240655791,6.022051183825807,5.255985743248763,6.616861689478417,6.384600669736601,6.490593004100329
ENSMUSG00000033237-P,5.914474767210485,7.521270076509977,5.963727936145781,5.48579504648697,6.278499046512376,5.807659781039243,5.459827368535989,6.099938259092898,6.462451201305003,6.301543691787303,5.782718799196082,6.13893452079274
ENSMUSG00000063894-P,5.089482198528558,6.7784696542164165,4.611634412683991,4.483585706841648,4.702478185292994,4.1295756828041315,4.132832161798551,4.4414684486850105,4.083073932513149,4.451172027377437,4.3684340633204695,4.776027546772013
ENSMUSG00000027536-P,2.6050793803100993,1.0399210909765384,3.604739428120841,2.8897518575227275,3.629979818096817,3.346054709805881,3.449675285104147,0.0,3.0776820435059644,3.297408618726716,3.883488798682337,3.222863846480197
ENSMUSG00000069727-P,3.4813634719760502,1.0399210909765384,3.312157763979618,1.6494513886902091,0.0,0.0,2.4360270815356015,3.037322543347878,1.0449005473594477,3.5156624624613326,1.5682857555401204,2.99040787202365
ENSMUSG00000042118-P,3.8637402043734568,3.3930092982402096,4.544192630379789,3.0840644739229504,2.657829414999577,1.5027011960393286,2.1072261594039285,3.562485519943336,3.4017693127773,4.022756145667588,3.147646225708344,3.4230107876057687
ENSMUSG00000094002-P,0.8854767201948464,0.0,0.0,0.0,3.336894247939065,2.222636313675174,1.680660685039108,0.9269160351229908,0.0,0.8502888279616356,0.9875105484522038,0.0
ENSMUSG00000039253-P,7.309355775937218,7.345055888559737,7.327943704132036,7.55458908751013,6.7545569739422415,5.759638078590581,6.998087917929735,6.949117315711156,7.316692394232792,7.069047583252809,7.296998287804286,7.252138427119792
ENSMUSG00000031916-P,5.351438341732733,4.660532175221,6.179113860938536,6.2028656845377625,6.713427764125837,6.6174685627395045,6.247840314815037,6.8169802460896545,6.335244011574411,6.2568033162489805,5.560401671877235,6.248448553326723
ENSMUSG00000025477-P,6.633656368408126,6.750440818180258,6.9779104999035555,6.452106128462053,7.318010957827736,6.670373422567839,6.348901173749178,7.079803952557726,6.882088528746082,6.519217707550713,6.350256337756722,6.5979543869599
ENSMUSG00000036371-P,9.854067486572312,9.49650763815482,10.009088636847252,9.577353529069862,9.396514531352729,9.328236753847111,9.656783473764458,9.810092013446708,9.872983320660614,9.873351437015607,9.927678814663365,9.912668294219024
ENSMUSG00000094595-P,3.4813634719760502,2.875129551690155,4.676063785822748,2.39897591795433,3.224285379172325,2.7007023697212773,0.0,1.4866706657115965,1.644524637198008,3.410658846623913,2.5640862732757217,2.713165506010181
ENSMUSG00000041126-P,8.06567523409639,8.373143799393395,7.83781021354696,7.6876608556954285,7.592072132597041,7.582764427074931,7.820090992093833,7.80476518079776,8.22256673335395,7.960490298244009,8.093944134067621,7.793857961333414
