Individual_Pval,FDR,Total_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
1.0,1.0,212,8147,5692,2455,2.3185336048879837,0.3642582491281409,0.2630276478049995
1.0,0.3,212,2899,2272,627,3.623604465709729,0.1296163820084056,0.4376038102401673
1.0,0.25,212,2645,2077,568,3.6566901408450705,0.11825985871411965,0.44099500292364335
1.0,0.2,211,2479,1953,526,3.7129277566539924,0.11189347777025502,0.44498379308250763
1.0,0.15,211,2385,1882,503,3.7415506958250497,0.10765064319566689,0.44659921466980573
1.0,0.1,211,2301,1808,493,3.667342799188641,0.1038591740013541,0.4403049756239054
1.0,0.05,211,2260,1774,486,3.6502057613168724,0.10200857594222523,0.4382289677186241
1.0,0.01,211,2249,1764,485,3.6371134020618556,0.10151207402392237,0.43665071908639425
0.3,1.0,207,1204,922,282,3.269503546099291,0.05647014680362084,0.4624331677494072
0.3,0.3,204,957,768,189,4.063492063492063,0.046218487394957986,0.5349580307147714
0.3,0.25,204,843,687,156,4.403846153846154,0.04071283685888148,0.5611770725116006
0.3,0.2,200,769,638,131,4.870229007633588,0.03864321608040201,0.5889334630193902
0.3,0.15,198,722,609,113,5.389380530973451,0.03701994564938727,0.6136862374699219
0.3,0.1,198,682,576,106,5.433962264150943,0.03496897913141568,0.6169440951995042
0.3,0.05,198,660,561,99,5.666666666666667,0.0338409475465313,0.6265129585606458
0.3,0.01,198,653,554,99,5.595959595959596,0.03348202840588627,0.6230806065450575
0.25,1.0,204,982,772,210,3.676190476190476,0.047425866898483535,0.5039769988604081
0.25,0.3,201,818,672,146,4.602739726027397,0.040696517412935326,0.5706967210868082
0.25,0.25,200,725,600,125,4.8,0.0364321608040201,0.588454692377053
0.25,0.2,194,665,555,110,5.045454545454546,0.03552160675177608,0.6047215183860062
0.25,0.15,192,623,527,96,5.489583333333333,0.03397687609075044,0.6259834246716688
0.25,0.1,192,583,494,89,5.550561797752809,0.03179537521815009,0.630638221343444
0.25,0.05,192,561,479,82,5.841463414634147,0.030595549738219895,0.6424327322053337
0.25,0.01,192,554,472,82,5.7560975609756095,0.030213787085514834,0.6385881700200157
0.2,1.0,202,849,676,173,3.907514450867052,0.04182059997044481,0.5291593314192915
0.2,0.3,199,731,603,128,4.7109375,0.037104715496675295,0.5828335071576161
0.2,0.25,196,657,547,110,4.972727272727273,0.03437990580847724,0.6024594066754473
0.2,0.2,191,603,505,98,5.153061224489796,0.033232295398181316,0.6159498654583453
0.2,0.15,188,564,478,86,5.558139534883721,0.03208556149732621,0.63557221349553
0.2,0.1,188,524,445,79,5.632911392405063,0.029809989759927182,0.6414830875653763
0.2,0.05,188,502,430,72,5.972222222222222,0.02855842530435772,0.6551390789008397
0.2,0.01,188,495,423,72,5.875,0.028160200250312892,0.6510159616810463
0.15,1.0,184,440,368,72,5.111111111111111,0.02613447374673319,0.6209289867249214
0.15,0.3,182,434,366,68,5.382352941176471,0.02634934126646834,0.6336403493196764
0.15,0.25,180,430,364,66,5.515151515151516,0.02669149596523898,0.6397485003820068
0.15,0.2,177,409,347,62,5.596774193548387,0.02625834617360041,0.6472006461809313
0.15,0.15,173,377,323,54,5.981481481481482,0.02533942734238473,0.6656814115023996
0.15,0.1,171,347,298,49,6.081632653061225,0.023873409012727897,0.6735298934805599
0.15,0.05,168,325,283,42,6.738095238095238,0.0231679498146564,0.6967924700360573
0.15,0.01,168,318,276,42,6.571428571428571,0.022668947818648418,0.6912913087597956
0.1,1.0,170,349,286,63,4.5396825396825395,0.024295161851722938,0.6021883073327975
0.1,0.3,169,345,285,60,4.75,0.02430262045646661,0.6146698140731808
0.1,0.25,168,342,284,58,4.896551724137931,0.024379811804961505,0.6226485931143471
0.1,0.2,167,336,281,55,5.109090909090909,0.024240675275954117,0.6336923586696932
0.1,0.15,163,309,261,48,5.4375,0.02340377187002954,0.652726447569049
0.1,0.1,161,281,238,43,5.534883720930233,0.021816770186335405,0.6624536411591777
0.1,0.05,156,260,224,36,6.222222222222222,0.021505376344086023,0.691398390235084
0.1,0.01,156,253,217,36,6.027777777777778,0.020926385442514475,0.6843346438143014
0.05,1.0,139,197,176,21,8.380952380952381,0.020540089667396517,0.7572741956327107
0.05,0.3,139,197,176,21,8.380952380952381,0.020540089667396517,0.7572741956327107
0.05,0.25,139,197,176,21,8.380952380952381,0.020540089667396517,0.7572741956327107
0.05,0.2,139,197,176,21,8.380952380952381,0.020540089667396517,0.7572741956327107
0.05,0.15,139,197,176,21,8.380952380952381,0.020540089667396517,0.7572741956327107
0.05,0.1,137,186,166,20,8.3,0.01996565049377415,0.7596076604675277
0.05,0.05,135,171,154,17,9.058823529411764,0.01890547263681592,0.7775726288830386
0.05,0.01,134,164,147,17,8.647058823529411,0.01840421950398384,0.7703536766030243
0.01,1.0,110,104,90,14,6.428571428571429,0.017347789824854045,0.7255624876969068
0.01,0.3,110,104,90,14,6.428571428571429,0.017347789824854045,0.7255624876969068
0.01,0.25,110,104,90,14,6.428571428571429,0.017347789824854045,0.7255624876969068
0.01,0.2,110,104,90,14,6.428571428571429,0.017347789824854045,0.7255624876969068
0.01,0.15,110,104,90,14,6.428571428571429,0.017347789824854045,0.7255624876969068
0.01,0.1,110,104,90,14,6.428571428571429,0.017347789824854045,0.7255624876969068
0.01,0.05,108,103,89,14,6.357142857142857,0.017826237452405677,0.7231438765630817
0.01,0.01,107,101,87,14,6.214285714285714,0.01780991006877094,0.7185534104115443
