n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
"(2,5-Dimethoxyphenyl)acetone","(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.5,0.6666666666666667,3,-0.3,0.6238376647810728,5,-0.7826908981308054,0.065703848071589,6,-0.1102536502528318,0.7074992167971075,14,3,True,-,0.7771337796774364
"(2,5-Dimethoxyphenyl)acetone","1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",,,0,0.7999999999999999,0.2,4,0.7999999999999999,0.2,4,0.1580554413568168,0.6627622972444478,10,2,True,+,0.74364211738732
"(2,5-Dimethoxyphenyl)acetone","1-(2,4-Dimethoxyphenyl)-propan-2-one",-0.5,0.6666666666666667,3,-0.0999999999999999,0.8728885715695383,5,-0.1118033988749894,0.8579446176050993,5,-0.3513223708310498,0.2391655720400957,13,3,True,-,0.40274775237760213
"(2,5-Dimethoxyphenyl)acetone",1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,0.5,0.6666666666666667,3,0.7999999999999999,0.1040880386618278,5,0.0910765111078374,0.8637629700202579,6,0.5554446611797638,0.0391995032180768,14,3,True,+,0.15236518788743392
"(2,5-Dimethoxyphenyl)acetone",1-Octadecanol,,,0,1.0,0.0,3,0.4999999999999999,0.3910022189557705,5,0.7196715715299219,0.0288191846014358,9,2,True,+,0.12997686743538064
"(2,5-Dimethoxyphenyl)acetone","2,3-Dihydroxybutanoic acid",,,0,-0.316227766016838,0.683772233983162,4,-0.3999999999999999,0.6,4,-0.3292744139923163,0.3528578492857881,10,2,True,-,0.5024862099753793
"(2,5-Dimethoxyphenyl)acetone","2,4,6-Cycloheptatrien-1-one",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.3,0.4328453267094823,9,3,True,-,0.5678754464412444
"(2,5-Dimethoxyphenyl)acetone","2,6-di-tert-Butyl-4-(dimethylaminomethyl)phenol",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.3999999999999999,0.6,4,-0.3109756097560976,0.3817966906092799,10,3,True,-,0.5267180418432806
"(2,5-Dimethoxyphenyl)acetone","2-Cyclohexen-1-one, 3-methyl-6-(1-methylethyl)",-0.5,0.6666666666666667,3,-0.6,0.2847569798652937,5,-0.0999999999999999,0.8728885715695383,5,-0.0165062054364218,0.9573175528802488,13,3,True,-,0.9653056002576068
"(2,5-Dimethoxyphenyl)acetone",2-Decanol,,,0,0.8207826816681233,0.0885870053135438,5,0.0999999999999999,0.8728885715695383,5,0.3936785825529733,0.2054558356756089,12,2,True,+,0.3699640123667426
