n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,edge_dir,Pooled FDR
"(2,5-Dimethoxyphenyl)acetone","2'-Hydroxy-2,4,4',5-tetramethoxychalcone",0.866025404,0.333333333,3,0.8,0.2,4,0.463816829,0.354164298,6,0.795860968,0.001137289,13,3,TRUE,+,1,0.021880083
"(2,5-Dimethoxyphenyl)acetone",2-Naphthol,0.866025404,0.333333333,3,0.9,0.037386073,5,0.323669437,0.531449957,6,0.734230525,0.002789089,14,3,TRUE,+,1,0.03668279
"(2,5-Dimethoxyphenyl)acetone",2-Propyl-1-pentanol,,,0,0.8,0.2,4,0.771428571,0.072396501,6,0.859649123,0.000337237,12,2,TRUE,+,1,0.010822359
"(2,5-Dimethoxyphenyl)acetone",3-Buten-2-one,0.5,0.666666667,3,0.9,0.037386073,5,0.6,0.208,6,0.740088106,0.002474323,14,3,TRUE,+,1,0.035078956
"(2,5-Dimethoxyphenyl)acetone","6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",0.866025404,0.333333333,3,0.974679434,0.00481823,5,1,0,4,0.754011827,0.004612687,12,3,TRUE,+,1,0.048208808
"(2,5-Dimethoxyphenyl)acetone","Cytosine, N-(tert-butyldimethylsilyl)-",0.866025404,0.333333333,3,0.9,0.037386073,5,0.542857143,0.265702624,6,0.830024097,0.000238858,14,3,TRUE,+,1,0.009054949
"(2,5-Dimethoxyphenyl)acetone","Dodecanoic acid, 1-methylethyl ester",0.5,0.666666667,3,0.9,0.037386073,5,0.542857143,0.265702624,6,0.804851647,0.000516167,14,3,TRUE,+,1,0.013671342
"(2,5-Dimethoxyphenyl)acetone","D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",0.5,0.666666667,3,0.8,0.2,4,0.550782484,0.257369332,6,0.841380111,0.000311669,13,3,TRUE,+,1,0.010378361
"(2,5-Dimethoxyphenyl)acetone",Frangulin,0.5,0.666666667,3,0.8,0.2,4,0.948683298,0.051316702,4,0.828767123,0.001616356,11,3,TRUE,+,1,0.02729453
"(2,5-Dimethoxyphenyl)acetone",Hexacosanoic acid,,,0,0.8,0.2,4,0.872081599,0.053854218,5,0.883036813,0.000315698,11,2,TRUE,+,1,0.010389823
"(2,5-Dimethoxyphenyl)acetone",L-Glutamine,0.5,0.666666667,3,0.9,0.037386073,5,0.695725243,0.124789337,6,0.802214352,0.000556048,14,3,TRUE,+,1,0.014431119
"(2,5-Dimethoxyphenyl)acetone",m-Toluic acid,0.5,0.666666667,3,0.9,0.037386073,5,0.173931311,0.741733928,6,0.740592882,0.002448572,14,3,TRUE,+,1,0.034994811
"(2,5-Dimethoxyphenyl)acetone",N-Caffeoyl-O-methyltyramine,,,0,1,1.40E-24,5,0.550782484,0.257369332,6,0.831284236,0.000805069,12,2,TRUE,+,1,0.01795392
"(2,5-Dimethoxyphenyl)acetone",Triethyl citrate,,,3,0.9,0.037386073,5,0.8,0.2,4,0.922558088,1.92E-05,12,2,TRUE,+,1,0.002016147
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2(5H)-Furanone, 4-(hydroxymethyl)",1,0,3,0.5,0.391002219,5,0.808823529,0.051329063,6,0.732891832,0.002865273,14,3,TRUE,+,1,0.037203596
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",Diethylamine,0.5,0.666666667,3,0.718184846,0.171795305,5,0.970588235,0.001284857,6,0.804635762,0.000519342,14,3,TRUE,+,1,0.013708504
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","Hymexazole, tert-butyldimethylsilyl ether",-0.5,0.666666667,3,-0.410391341,0.492535782,5,-0.927633657,0.007665844,6,-0.73759692,0.00260456,14,3,TRUE,-,-1,0.035886347
