n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent
"(2,5-Dimethoxyphenyl)acetone","(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",0.5,0.6666666666666667,3,-0.1538967528127731,0.8048288166080632,5,0.6087595874350709,0.1996601894603625,6,0.5126794736756681,0.0608491894993815,14,3,False
"(2,5-Dimethoxyphenyl)acetone","(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.5,0.6666666666666667,3,-0.3,0.6238376647810728,5,-0.7826908981308054,0.065703848071589,6,-0.1102536502528318,0.7074992167971075,14,3,True
"(2,5-Dimethoxyphenyl)acetone","3,4,5-Trimethoxyamphetamine",,,0,0.3999999999999999,0.5046315754686911,5,-0.7142857142857143,0.1107871720116617,6,-0.349862258953168,0.2412589772757277,13,2,False
"(2,5-Dimethoxyphenyl)acetone","1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",,,0,0.7999999999999999,0.2,4,0.7999999999999999,0.2,4,0.1580554413568168,0.6627622972444478,10,2,True
"(2,5-Dimethoxyphenyl)acetone","1-(2,4-Dimethoxyphenyl)-propan-2-one",-0.5,0.6666666666666667,3,-0.0999999999999999,0.8728885715695383,5,-0.1118033988749894,0.8579446176050993,5,-0.3513223708310498,0.2391655720400957,13,3,True
"(2,5-Dimethoxyphenyl)acetone","1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",0.5,0.6666666666666667,3,0.4999999999999999,0.3910022189557705,5,-0.4928053803045811,0.3206325828658273,6,0.1769928830933258,0.5449706576826083,14,3,False
"(2,5-Dimethoxyphenyl)acetone","1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",,,0,-0.7999999999999999,0.1040880386618278,5,0.0857142857142857,0.8717434402332361,6,0.0385674931129476,0.9004520331933507,13,2,False
"(2,5-Dimethoxyphenyl)acetone",1-(Cyclohexylmethyl)-4-piperidinylamine,,,0,0.5,0.6666666666666667,3,-0.0999999999999999,0.8728885715695383,5,0.1337392196096141,0.7126222235089889,10,2,False
"(2,5-Dimethoxyphenyl)acetone",1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,0.5,0.6666666666666667,3,0.7999999999999999,0.1040880386618278,5,0.0910765111078374,0.8637629700202579,6,0.5554446611797638,0.0391995032180768,14,3,True
"(2,5-Dimethoxyphenyl)acetone","1,2-Cyclohexanediol, (Z)",,,0,0.6668859288553501,0.2188939813132316,5,-0.1449427589131121,0.7841083696021083,6,0.6283091444475025,0.0214612091337202,13,2,False
"(2,5-Dimethoxyphenyl)acetone","1,3-Oxazolidine, 2,5-diphenyl-4-methyl-, trans-",1.0,0.0,3,0.1025978352085154,0.8695979205185651,5,0.0882734829504749,0.8679336982351336,6,-0.0710343302944374,0.8093152287266062,14,3,False
"(2,5-Dimethoxyphenyl)acetone",1-Octadecanol,,,0,1.0,0.0,3,0.4999999999999999,0.3910022189557705,5,0.7196715715299219,0.0288191846014358,9,2,True
"(2,5-Dimethoxyphenyl)acetone","1-Octanol, 2-butyl-",1.0,0.0,3,0.8999999999999998,0.0373860734684987,5,0.5590653920196746,0.2487710057017009,6,-0.0816779032060063,0.781334194356834,14,3,False
"(2,5-Dimethoxyphenyl)acetone","2(5H)-Furanone, 4-(hydroxymethyl)",0.5,0.6666666666666667,3,-0.2051956704170308,0.7405819415910722,5,0.2898855178262242,0.5773517870348748,6,0.5545758607717443,0.0395726073601468,14,3,False
"(2,5-Dimethoxyphenyl)acetone","2-(Ethylamino)ethanol, N-acetyl",0.0,1.0,3,0.3354101966249684,0.5810906728217108,5,-0.5161002296110789,0.2945837414624608,6,-0.0427755097780663,0.8845577082533291,14,3,False
"(2,5-Dimethoxyphenyl)acetone",2-(Methylamino)ethanol,1.0,0.0,3,0.1999999999999999,0.747060078104662,5,-0.1449427589131121,0.7841083696021083,6,0.0575226870053309,0.8451396227078058,14,3,False
"(2,5-Dimethoxyphenyl)acetone","2,2'-Bipyridine",-0.5,0.6666666666666667,3,0.6668859288553501,0.2188939813132316,5,0.1159542071304896,0.826848213385815,6,0.4933528242002894,0.0730204097239389,14,3,False
"(2,5-Dimethoxyphenyl)acetone","2,3-Butanediol, O-(trimethylsilyl)-, monoacetate",-1.0,0.0,3,-0.6668859288553501,0.2188939813132316,5,0.6668859288553501,0.2188939813132316,5,0.288725675613565,0.3387123182511597,13,3,False
"(2,5-Dimethoxyphenyl)acetone","2,3-Dihydroxybutanoic acid",,,0,-0.316227766016838,0.683772233983162,4,-0.3999999999999999,0.6,4,-0.3292744139923163,0.3528578492857881,10,2,True
"(2,5-Dimethoxyphenyl)acetone","2,4,4'-Trihydroxybenzophenone",-0.5,0.6666666666666667,3,0.8207826816681233,0.0885870053135438,5,0.7714285714285715,0.0723965014577259,6,0.1216826071266615,0.6785872864834159,14,3,False
"(2,5-Dimethoxyphenyl)acetone","2,4,6-Cycloheptatrien-1-one",-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.5,0.6666666666666667,3,-0.3,0.4328453267094823,9,3,True
"(2,5-Dimethoxyphenyl)acetone","2,4-Di-tert-butylphenol",-1.0,0.0,3,0.6,0.2847569798652937,5,,,0,-0.0168073161363203,0.9657684758679854,9,2,False
"(2,5-Dimethoxyphenyl)acetone","2,4-Imidazolidinedione, 5,5-dimethyl",-1.0,0.0,3,0.7,0.1881204043741872,5,-0.2898855178262242,0.5773517870348748,6,-0.2814576394261029,0.3296432564058397,14,3,False
