SampleID,CSF Composition,Pooled,ul for the pool,Total ul (Were already normalized),original class,used in training,class after prediction,correctly predicted: 5/27 total,original class,used in training,predicted TP VECPAC,CTRL VS 2.5H,CTRL VS 24H,2.5H VS 24H,predicted TP LPS,T0 VS T1,T0 VS T3,T0 VS T5,T1 VS T3,T1 VS T5,T3 VS T5,predicted TP DSS,FINAL class,Action,Switch,,
DSS_7177T0.5_090224,71+77+T0.5,TRUE,3+2.5+3.5,9,DSS,YES,DSS,,T0,YES,,,,,,,,,,,,,T0,Confirmed,,,
DSS_7274T0.8.2_090224,72+74+T0.8.2,TRUE,6+1.5+1.5,9,DSS,YES,DSS,,T0,YES,,,,,,,,,,,,,T0,Confirmed,,,
DSS_76_090224,76,FALSE,10,10,DSS,YES,DSS,,T0,YES,,,,,,,,,,,,,T0,Confirmed,,,
DSS_B896_090224,896,FALSE,9,9,DSS,YES,DSS,,T0,YES,,,,,,,,,,,,,T0,Confirmed,,,
DSS_T0.5B897_090224,T0.5+897,TRUE,2+8,10,DSS,YES,DSS,,T0,YES,,,,,,,,,,,,,T0,Confirmed,,,
DSS_T0.7_090224,T0.7,FALSE,10,10,DSS,NO,DSS,,T0,YES,,,,,,,,,,,,,T0,Confirmed,,,
DSS_T0.8_090224,T0.8,FALSE,9,9,DSS,YES,DSS,,T0,YES,,,,,,,,,,,,,T0,Confirmed,,,
DSS_73_090224,73,FALSE,10,10,DSS,NO,VECPAC,,T0,NO,100% CTRL,,,,,100% T0,100% T0,100% T0,86% T3,100% T1,100% T3,T0,T0,Confirmed,,,
DSS_7911180902_090224,79+111+80+902,TRUE,6+1+1+2,10,DSS,YES,DSS,,T1,YES,,,,,,71% T0,83% T3,100% T0,86% T1,100% T1,71% T3,T1,T1,Confirmed,,,
DSS_T1.5T1.7902_090224,T1.5+T1.7+902,TRUE,2+4+4,10,DSS,NO,VECPAC,,T1,NO,100% CTRL,,,,,71% T0,83% T3,100% T0,100% T3,83% T1,100% T3,T1,T1,Confirmed,,The classification in T0 could be due to a delay in the biological effect,
CSF_115_116_121_122_21122021,115+116+121+122,TRUE,,,DSS,YES,DSS,,T3,NO,,,,,,100% T1,100% T3,100% T5,86% T1,100% T5,100% T5,T3,T3,Confirmed,,,952 RNA seq CP DSS CTRL (Dropped) 
CSF_88_118_21122021,88+118,TRUE,,,DSS,YES,DSS,,T3,NO,,,,,,100% T1,100% T3,100% T5,86% T1,100% T1,66% T5,T3,T3,Confirmed,,,
DSS_117_120224,117,FALSE,10,10,DSS,NO,LPS,,T3,NO,,86% ctrl,100% CTRL,100% 24H,LPS CTRL,100% T0,100% T3,100% T0,86% T3,100% T1,86% T3,T3,T3,Confirmed,,,
