,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
"(2,5-Dimethoxyphenyl)acetone",14.22183651652919,15.39656988471546,14.77794148459306,15.794924887690241,16.10708189958663,15.684213392506413
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",17.848056725654924,18.697253042531315,18.145516841146943,17.917954706335404,19.90628699179653,19.90628699179653
(4-Fluorophenyl)phenylmethanol,,,18.572420897099427,,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",27.60464096162688,28.139723574834868,27.21934825959647,25.491807134917025,24.059471680211118,27.21934825959647
"3,4,5-Trimethoxyamphetamine",24.69908251133796,25.404802973180967,23.99000942053065,17.044039991717742,11.432133533201073,24.361767611067528
Oxypeucedanin,,,,,,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",,24.491789288861316,23.920579189958964,,27.084943944408092,27.60464096162688
"1-(2,4-Dimethoxyphenyl)-propan-2-one",18.145516841146943,,18.090663406345644,18.299161313868307,18.090663406345644,18.090663406345644
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",25.96252317418443,25.6563659490016,25.313618060977973,25.050447238005177,25.491807134917025,25.491807134917025
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",18.994720196960333,22.336032499821254,20.060474603176946,17.67570612907752,21.9535073039897,22.176682287677355
1-(Cyclohexylmethyl)-4-piperidinylamine,14.021419364841742,8.64390924178897,10.101353297214947,,12.73466395698144,11.053448878828174
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,18.40008695193352,18.76637914203081,18.527065735233002,18.964499198463745,18.40008695193352,18.40008695193352
"1,2,4-Butanetriol, (S)",,17.420656950089175,,,,
"1,2-Benzenedicarboxylic acid, butyl octyl ester",,,,,,
"1,2-Bis(trimethylsiloxy)cyclohexene",,,,,,
