cpx_gene,csf_metabolite,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,edge_dir,Pooled FDR
ENSMUSG00000038644-P,"2,4-Di-tert-butylphenol",-1,0,3,-1,0,3,,,1,-0.991031209,1.46E-05,7,2,TRUE,-,-1,0.034002239
ENSMUSG00000047371-P,"2,4-Di-tert-butylphenol",-1,0,3,-1,0,3,,,1,-0.991031209,1.46E-05,7,2,TRUE,-,-1,0.034002239
ENSMUSG00000017286-P,"2-Cyclohexen-1-one, 3-methyl-",0.5,0.666666667,3,1,0,3,0.942857143,0.004804665,6,0.931700203,1.04E-05,12,3,TRUE,+,1,0.034002239
ENSMUSG00000001964-P,3-Heptanol,0.5,0.666666667,3,1,0,3,0.985610761,0.000309086,6,0.950883046,2.07E-06,12,3,TRUE,+,1,0.020569185
ENSMUSG00000034349-P,3-Heptanol,-1,0,3,-1,0,3,-0.927633657,0.007665844,6,-0.919303905,2.35E-05,12,3,TRUE,-,-1,0.042915497
ENSMUSG00000038780-P,4-Methoxyphenol,1,0,3,,,1,1,0,4,0.994029797,5.30E-07,8,2,TRUE,+,1,0.01941906
ENSMUSG00000030605-P,Azelaic acid,-0.5,0.666666667,3,-1,0,3,-0.724713795,0.103242805,6,-0.929830285,1.19E-05,12,3,TRUE,-,-1,0.034002239
ENSMUSG00000037012-P,Azelaic acid,-1,0,3,-1,0,3,-0.753702346,0.083523281,6,-0.95439184,1.44E-06,12,3,TRUE,-,-1,0.01941906
ENSMUSG00000032763-P,Azelaic acid,-1,0,3,-1,0,3,-0.550782484,0.257369332,6,-0.943865459,3.99E-06,12,3,TRUE,-,-1,0.026420221
ENSMUSG00000066357-P,Glycine,-0.5,0.666666667,3,-1,0,3,-0.753702346,0.083523281,6,-0.919303905,2.35E-05,12,3,TRUE,-,-1,0.042915497
ENSMUSG00000066357-P,"Glycine, tert.-butyldimethylsilyl ester",-0.5,0.666666667,3,-1,0,3,-0.840668002,0.036057573,6,-0.931471646,1.06E-05,12,3,TRUE,-,-1,0.034002239
ENSMUSG00000031637-P,Hypoxanthine,-1,0,3,-1,0,3,-0.942857143,0.004804665,6,-0.922558088,1.92E-05,12,3,TRUE,-,-1,0.040201244
ENSMUSG00000027706-P,Lignoceric acid,-0.5,0.666666667,3,-1,0,3,-0.840668002,0.036057573,6,-0.936847872,7.11E-06,12,3,TRUE,-,-1,0.032011002
ENSMUSG00000054720-P,Lignoceric acid,-1,0,3,-1,0,3,-0.753702346,0.083523281,6,-0.947374253,2.91E-06,12,3,TRUE,-,-1,0.023096785
ENSMUSG00000034786-P,L-Tyrosine,1,0,3,,,2,0.974679434,0.00481823,5,0.950991835,2.38E-05,10,2,TRUE,+,1,0.042915497
ENSMUSG00000045098-P,N-Acetyl-L-alanine,-0.5,0.666666667,3,-1,0,3,-0.942857143,0.004804665,6,-0.936847872,7.11E-06,12,3,TRUE,-,-1,0.032011002
ENSMUSG00000006777-P,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,-1,0,3,-1,0,3,-1,0,4,-0.975757576,1.47E-06,10,3,TRUE,-,-1,0.01941906
ENSMUSG00000041720-P,Nonanoic acid,1,0,3,1,0,3,0.974679434,0.00481823,5,0.942813979,1.38E-05,11,3,TRUE,+,1,0.034002239
ENSMUSG00000036202-P,Oleamide,-0.5,0.666666667,3,-1,0,3,-0.828571429,0.041562682,6,-0.922558088,1.92E-05,12,3,TRUE,-,-1,0.040201244
ENSMUSG00000047371-P,"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",-1,0,3,-0.5,0.666666667,3,-1,0,6,-0.935202835,8.06E-06,12,3,TRUE,-,-1,0.032011002
ENSMUSG00000032288-P,Propylene glycol,-1,0,3,-1,0,3,-0.985610761,0.000309086,6,-0.927956659,1.35E-05,12,3,TRUE,-,-1,0.034002239
ENSMUSG00000029438-P,Salsoline,-1,0,3,-1,0,3,-0.8,0.2,4,-0.963636364,7.32E-06,10,3,TRUE,-,-1,0.032011002
