n1,n2,csf_dir,brain_dir,predicted_sign
ENSMUSG00000003418-C,Durapan,1.0,1.0,1
ENSMUSG00000005089-C,2-Butenedioic acid,,-1.0,
ENSMUSG00000016833-C,Heptylamine,1.0,-1.0,-1
ENSMUSG00000020592-C,Durapan,1.0,-1.0,-1
ENSMUSG00000021188-C,N-Acetyl-L-alanine,1.0,-1.0,-1
ENSMUSG00000026017-C,Adenine,,-1.0,
ENSMUSG00000026197-C,Glycine,-1.0,1.0,-1
ENSMUSG00000029513-C,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1.0,-1.0,1
ENSMUSG00000031574-C,Leucylglycine,,-1.0,
ENSMUSG00000032418-C,Urea,,-1.0,
ENSMUSG00000041058-C,N-Acetyl-L-alanine,1.0,-1.0,-1
ENSMUSG00000050315-C,3-Aminobenzoic acid,1.0,-1.0,-1
ENSMUSG00000057440-C,2-Propyl-1-pentanol,1.0,-1.0,-1
ENSMUSG00000062352-C,"Propanoic acid, dimethyl(isopropyl)silyl ester",,1.0,
ENSMUSG00000087516-C,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",,-1.0,
