n1,n2,csf_dir,brain_dir,predicted_sign
ENSMUSG00000000093-B,"3-Hydroxy-7,3',4',5'-tetramethoxyflavone",,-1.0,
ENSMUSG00000000093-B,L-Val-L-Leu,,-1.0,
ENSMUSG00000000093-B,"N-[(3,4,5-Trimethoxyphenyl)methylidene]hydroxylamine",,-1.0,
ENSMUSG00000000093-B,Tyr-Val,,-1.0,
ENSMUSG00000000384-B,2-Aminoquinolin-8-ol,,1.0,
ENSMUSG00000000384-B,2-Norbornanemethanol,,1.0,
ENSMUSG00000000384-B,Isosorbide,,1.0,
ENSMUSG00000000384-B,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,1.0,
ENSMUSG00000000555-B,"1,2-Bis(trimethylsiloxy)cyclohexene",,1.0,
ENSMUSG00000000555-B,"13-Docosenamide, (Z)",,1.0,
ENSMUSG00000000555-B,"3,4-Dihydroxybenzaldehyde",,1.0,
ENSMUSG00000000555-B,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",1.0,1.0,1
ENSMUSG00000000555-B,L-(+)-Threose,,1.0,
ENSMUSG00000000555-B,Yangonin,1.0,1.0,1
ENSMUSG00000000562-B,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene",,1.0,
ENSMUSG00000000562-B,"13-Docosenamide, (Z)",,1.0,
ENSMUSG00000000562-B,"2,4-Dimethoxybenzaldoxime",,1.0,
ENSMUSG00000000562-B,3-(4-Methoxyphenyl)coumarin,,1.0,
ENSMUSG00000000562-B,Isosorbide,,1.0,
ENSMUSG00000000562-B,L-(+)-Threose,,1.0,
ENSMUSG00000000562-B,L-Ornithine,,1.0,
ENSMUSG00000000562-B,Octadecanoic acid,,1.0,
ENSMUSG00000000627-B,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,1.0,
ENSMUSG00000000627-B,2-Norbornanemethanol,,1.0,
