n1,n2,csf_dir,brain_dir,predicted_sign
ENSMUSG00000000290-S,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-1.0,
ENSMUSG00000000290-S,7-Hydroxy-4-(methoxymethyl)coumarin,,-1.0,
ENSMUSG00000000290-S,L-(+)-Threose,,-1.0,
ENSMUSG00000000290-S,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-1.0,
ENSMUSG00000000308-S,3-(4-Methoxyphenyl)coumarin,,1.0,
ENSMUSG00000000308-S,7-Hydroxy-4-(methoxymethyl)coumarin,,1.0,
ENSMUSG00000000308-S,L-(+)-Threose,,1.0,
ENSMUSG00000000530-S,L-Threonine,1.0,-1.0,-1
ENSMUSG00000000732-S,L-(+)-Threose,,1.0,
ENSMUSG00000000732-S,L-Val-L-Leu,,1.0,
ENSMUSG00000000732-S,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,1.0,
ENSMUSG00000000782-S,L-Val-L-Leu,,-1.0,
ENSMUSG00000000792-S,3-(4-Methoxyphenyl)coumarin,,1.0,
ENSMUSG00000000792-S,L-(+)-Threose,,1.0,
ENSMUSG00000000792-S,L-Val-L-Leu,,1.0,
ENSMUSG00000000823-S,7-Hydroxy-4-(methoxymethyl)coumarin,,-1.0,
ENSMUSG00000000826-S,3-(4-Methoxyphenyl)coumarin,,1.0,
ENSMUSG00000000826-S,7-Hydroxy-4-(methoxymethyl)coumarin,,1.0,
ENSMUSG00000000826-S,L-(+)-Threose,,1.0,
ENSMUSG00000001016-S,3-(4-Methoxyphenyl)coumarin,,-1.0,
ENSMUSG00000001016-S,6-Methyluracil,1.0,-1.0,-1
ENSMUSG00000001016-S,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-1.0,
ENSMUSG00000001089-S,3-(4-Methoxyphenyl)coumarin,,1.0,
ENSMUSG00000001098-S,7-Hydroxy-4-(methoxymethyl)coumarin,,1.0,
ENSMUSG00000001098-S,L-Val-L-Leu,,1.0,
ENSMUSG00000001270-S,7-Hydroxy-4-(methoxymethyl)coumarin,,-1.0,
ENSMUSG00000001300-S,3-(4-Methoxyphenyl)coumarin,,-1.0,
ENSMUSG00000001300-S,"9Z-Octadecenoic acid, (2S)-3-[(hydroxymercaptophosphinyl)oxy]-2-methoxypropyl ester",,-1.0,
ENSMUSG00000001552-S,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1.0,-1.0,1
ENSMUSG00000001552-S,"2(5H)-Furanone, 4-(hydroxymethyl)",,-1.0,
ENSMUSG00000001552-S,3-(4-Methoxyphenyl)coumarin,,-1.0,
ENSMUSG00000001552-S,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-1.0,
ENSMUSG00000001642-S,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-1.0,
ENSMUSG00000001642-S,L-(+)-Threose,,-1.0,
ENSMUSG00000001763-S,3-(4-Methoxyphenyl)coumarin,,1.0,
ENSMUSG00000001763-S,L-(+)-Threose,,1.0,
ENSMUSG00000001763-S,L-Val-L-Leu,,1.0,
ENSMUSG00000001946-S,"2-Butene-1,4-diol",,-1.0,
ENSMUSG00000001946-S,L-Threonine,1.0,-1.0,-1
ENSMUSG00000001946-S,Propanoic acid,,-1.0,
ENSMUSG00000001964-S,3-(4-Methoxyphenyl)coumarin,,1.0,
ENSMUSG00000001964-S,Octanoic acid,,1.0,
ENSMUSG00000001964-S,Sulindac,,1.0,
ENSMUSG00000001964-S,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,1.0,
ENSMUSG00000002012-S,3-(4-Methoxyphenyl)coumarin,,1.0,
ENSMUSG00000002012-S,L-(+)-Threose,,1.0,
ENSMUSG00000002031-S,4-tert-Butyldimethylsiloxy-3-penten-2-one,,1.0,
ENSMUSG00000002031-S,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,1.0,
ENSMUSG00000002109-S,3-(4-Methoxyphenyl)coumarin,,-1.0,
ENSMUSG00000002109-S,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-1.0,
ENSMUSG00000002210-S,L-(+)-Threose,,-1.0,
ENSMUSG00000002210-S,L-Val-L-Leu,,-1.0,
ENSMUSG00000002266-S,4-tert-Butyldimethylsiloxy-3-penten-2-one,,1.0,
ENSMUSG00000002266-S,7-Hydroxy-4-(methoxymethyl)coumarin,,1.0,
ENSMUSG00000002459-S,"2-Methylcyclohexylamine, tert.-butyldimethylsilyl ether",,-1.0,
ENSMUSG00000002459-S,3-(4-Methoxyphenyl)coumarin,,-1.0,
ENSMUSG00000002459-S,7-Hydroxy-4-(methoxymethyl)coumarin,,-1.0,
ENSMUSG00000002459-S,Adipoyl-L-carnitine,,-1.0,
ENSMUSG00000002459-S,L-(+)-Threose,,-1.0,
ENSMUSG00000002500-S,Benzeneacetic acid,,-1.0,
ENSMUSG00000002797-S,4-tert-Butyldimethylsiloxy-3-penten-2-one,,1.0,
ENSMUSG00000002797-S,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,1.0,
ENSMUSG00000002968-S,3-(4-Methoxyphenyl)coumarin,,-1.0,
ENSMUSG00000002968-S,L-(+)-Threose,,-1.0,
ENSMUSG00000002996-S,4-tert-Butyldimethylsiloxy-3-penten-2-one,,-1.0,
ENSMUSG00000002996-S,7-Hydroxy-4-(methoxymethyl)coumarin,,-1.0,
