n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
"(2,5-Dimethoxyphenyl)acetone","2'-Hydroxy-2,4,4',5-tetramethoxychalcone",0.8660254037844387,0.3333333333333332,3,0.7999999999999999,0.2,4,0.4638168285219587,0.3541642984362303,6,0.7958609678744926,0.0011372890473652,13,3,True,+,0.021880083314234966
"(2,5-Dimethoxyphenyl)acetone",2-Naphthol,0.8660254037844387,0.3333333333333332,3,0.8999999999999998,0.0373860734684987,5,0.3236694374850748,0.5314499571644632,6,0.7342305247451372,0.0027890891602259,14,3,True,+,0.03668278953265882
"(2,5-Dimethoxyphenyl)acetone",2-Propyl-1-pentanol,,,0,0.7999999999999999,0.2,4,0.7714285714285715,0.0723965014577259,6,0.8596491228070177,0.0003372366811379,12,2,True,+,0.010822358887637006
"(2,5-Dimethoxyphenyl)acetone",3-Buten-2-one,0.5,0.6666666666666667,3,0.8999999999999998,0.0373860734684987,5,0.6,0.2079999999999998,6,0.7400881057268722,0.0024743225764046,14,3,True,+,0.0350789564397579
"(2,5-Dimethoxyphenyl)acetone","6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",0.8660254037844387,0.3333333333333332,3,0.9746794344808964,0.0048182304681985,5,1.0,0.0,4,0.7540118265560999,0.0046126865610137,12,3,True,+,0.04820880792281076
"(2,5-Dimethoxyphenyl)acetone","Cytosine, N-(tert-butyldimethylsilyl)-",0.8660254037844387,0.3333333333333332,3,0.8999999999999998,0.0373860734684987,5,0.5428571428571429,0.2657026239067055,6,0.8300240974448212,0.0002388581575354,14,3,True,+,0.009054949402228703
"(2,5-Dimethoxyphenyl)acetone","Dodecanoic acid, 1-methylethyl ester",0.5,0.6666666666666667,3,0.8999999999999998,0.0373860734684987,5,0.5428571428571429,0.2657026239067055,6,0.8048516468456727,0.0005161665131039,14,3,True,+,0.013671341823101242
"(2,5-Dimethoxyphenyl)acetone","D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",0.5,0.6666666666666667,3,0.7999999999999999,0.2,4,0.5507824838698261,0.2573693316225744,6,0.841380110706788,0.0003116685697049,13,3,True,+,0.010378361194744577
"(2,5-Dimethoxyphenyl)acetone",Frangulin,0.5,0.6666666666666667,3,0.7999999999999999,0.2,4,0.948683298050514,0.0513167019494861,4,0.8287671232876713,0.0016163556505104,11,3,True,+,0.027294529696610115
"(2,5-Dimethoxyphenyl)acetone",Hexacosanoic acid,,,0,0.7999999999999999,0.2,4,0.8720815992723809,0.0538542177275421,5,0.8830368134148922,0.0003156979984278,11,2,True,+,0.010389822637619598
"(2,5-Dimethoxyphenyl)acetone",L-Glutamine,0.5,0.6666666666666667,3,0.8999999999999998,0.0373860734684987,5,0.6957252427829382,0.1247893374402868,6,0.8022143524001136,0.0005560477530492,14,3,True,+,0.01443111853047823
"(2,5-Dimethoxyphenyl)acetone",m-Toluic acid,0.5,0.6666666666666667,3,0.8999999999999998,0.0373860734684987,5,0.1739313106957345,0.7417339277316277,6,0.7405928815730184,0.0024485721168021,14,3,True,+,0.03499481052829034
"(2,5-Dimethoxyphenyl)acetone",N-Caffeoyl-O-methyltyramine,,,0,1.0,1.4042654220543672e-24,5,0.5507824838698261,0.2573693316225744,6,0.8312842363423608,0.0008050693413034,12,2,True,+,0.017953920146851148
"(2,5-Dimethoxyphenyl)acetone",Triethyl citrate,,,3,0.8999999999999998,0.0373860734684987,5,0.7999999999999999,0.2,4,0.9225580879172384,1.9241344070227968e-05,12,2,True,+,0.0020161473923314705
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","2(5H)-Furanone, 4-(hydroxymethyl)",1.0,0.0,3,0.5000000000000001,0.3910022189557705,5,0.8088235294117647,0.0513290631996743,6,0.7328918322295805,0.0028652730828876,14,3,True,+,0.03720359647888303
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",Diethylamine,0.5,0.6666666666666667,3,0.7181848464596079,0.1717953049079889,5,0.9705882352941178,0.0012848565031548,6,0.804635761589404,0.0005193420670012,14,3,True,+,0.013708503570605053
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester","Hymexazole, tert-butyldimethylsilyl ether",-0.5,0.6666666666666667,3,-0.4103913408340617,0.4925357817027974,5,-0.9276336570439174,0.0076658441874731,6,-0.7375969201914452,0.0026045595528626,14,3,True,-,0.03588634734830751
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",Methylthiouracil,,,0,-0.5642880936468347,0.3217233358243002,5,-0.9276336570439174,0.0076658441874731,6,-0.7503455413516272,0.0031292339742582,13,2,True,-,0.03909773110971392
