n1,n2,edge_dir
Pold1,"2,4-Di-tert-butylphenol",-1
Zfp768,"2,4-Di-tert-butylphenol",-1
Zfp768,"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",-1
Glod4,"2-Cyclohexen-1-one, 3-methyl-",1
Emd,3-Heptanol,1
Smc4,3-Heptanol,-1
Smurf1,4-Methoxyphenol,1
Mfge8,Azelaic acid,-1
Hk1,Azelaic acid,-1
Ilvbl,Azelaic acid,-1
Wdr6,Glycine,-1
Wdr6,"Glycine, tert.-butyldimethylsilyl ester",-1
Lrp2bp,Hypoxanthine,-1
Sec62,Lignoceric acid,-1
Lrrc8c,Lignoceric acid,-1
Gpsm3,L-Tyrosine,1
Kmt5b,N-Acetyl-L-alanine,-1
Krt23,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,-1
Pi4ka,Nonanoic acid,1
Rif1,Oleamide,-1
Imp3,Propylene glycol,-1
Bcl7a,Salsoline,-1
