node,node_dir
Pold1,1.0
"2,4-Di-tert-butylphenol",-1.0
Zfp768,1.0
Glod4,-1.0
"2-Cyclohexen-1-one, 3-methyl-",-1.0
Emd,1.0
3-Heptanol,1.0
Smc4,-1.0
Smurf1,1.0
4-Methoxyphenol,1.0
Mfge8,1.0
Azelaic acid,-1.0
Hk1,1.0
Ilvbl,1.0
Wdr6,1.0
Glycine,-1.0
"Glycine, tert.-butyldimethylsilyl ester",-1.0
Lrp2bp,-1.0
Hypoxanthine,1.0
Sec62,-1.0
Lignoceric acid,1.0
Lrrc8c,-1.0
Gpsm3,-1.0
L-Tyrosine,-1.0
Kmt5b,-1.0
N-Acetyl-L-alanine,1.0
Krt23,-1.0
N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,1.0
Pi4ka,1.0
Nonanoic acid,1.0
Rif1,-1.0
Oleamide,1.0
"Phenol, 2,4-bis(1-methyl-1-phenylethyl)-",-1.0
Imp3,1.0
Propylene glycol,-1.0
Bcl7a,-1.0
Salsoline,1.0
"(2,5-Dimethoxyphenyl)acetone",1.0
2-Propyl-1-pentanol,1.0
Hexacosanoic acid,1.0
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",-1.0
"Erythrono-1,4-lactone",-1.0
Mevalonolactone,-1.0
"1-(2,4-Dimethoxyphenyl)-propan-2-one",1.0
Butyric Acid,1.0
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",-1.0
"2,4-Imidazolidinedione, 5,5-dimethyl",1.0
"2,5-Dimethoxybenzhydrazide",-1.0
"2',5'-Dimethoxypropiophenone",-1.0
2-Amino-4-methylbenzophenone,-1.0
6-Methyluracil,1.0
Aconitic acid,-1.0
"Hymexazole, tert-butyldimethylsilyl ether",1.0
"Kojic acid, bis(tert-butyldimethylsilyl) ether",1.0
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,1.0
Vanillylmandelic acid,-1.0
Yangonin,1.0
1-Octadecanol,-1.0
"2,2'-Bipyridine",-1.0
2-Decanol,-1.0
2-Pentadecanone,-1.0
3-Buten-2-one,-1.0
"5-Nonanol, tert-butyldimethylsilyl ether",-1.0
Citramalic acid,-1.0
Diacetyl monoxime,-1.0
Malic acid,1.0
Thymol,-1.0
"l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",1.0
"2,3-Dihydroxybutanoic acid",-1.0
N-Acetylaminoethanol,-1.0
"2,4,6-Cycloheptatrien-1-one",1.0
Isobutanol,-1.0
3-Aminobenzoic acid,1.0
Durapan,1.0
Methanesulfonic acid,1.0
Methylthiouracil,1.0
Pinosylvin,1.0
"2,5-Bis((tert-butyldimethylsilyl)oxy)-4,4-dimethyl-4H-imidazole",1.0
"3-(4,7-Dimethoxy-2H-1,3-benzodioxol-5-yl)-2-methylprop-2-enal",1.0
"Cyclohexanone, 3,3,5-trimethyl",-1.0
Cyclooctylamine,-1.0
"2,5-Dimethoxyphenol",-1.0
Ketamine,1.0
2-Methyl-3-pentanol,-1.0
Diethylamine,1.0
"3,4-Methylenedioxyamphetamine",1.0
Trimethylolpropane,1.0
"2-Allyl-1,4-dimethoxybenzene",-1.0
"2-Butenoic acid, 3-[(tert-butyldimethylsilyl)oxy]",-1.0
2-Butoxyethanol,1.0
Benzophenone,1.0
Iminodiacetic acid,1.0
Hydracrylic acid,-1.0
2-Ethylhexanoic acid,-1.0
N-Acetylaspartic acid,-1.0
Pentanoic acid,-1.0
2-Hexanol,-1.0
"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",1.0
2-Hydroxy-3-methylbutyric acid,1.0
Butachlor ESA,1.0
L-Tryptophan,1.0
Suberic acid,1.0
DL-p-Hydroxyphenyllactic acid,1.0
Frangulin,1.0
8-Methylnonanoic acid,-1.0
"Benzene, 1,4-dimethoxy",-1.0
Myristic acid,1.0
2-Naphthol,1.0
Heptylamine,1.0
Uracil,1.0
Benzenepropanoic acid,-1.0
4-Oxohexanoic acid,1.0
5-Azacytosine,1.0
5-Oxohexanoic Acid,-1.0
"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",1.0
Tetrahydro-solasodine triacetate,1.0
"6-Methoxy-1-methyl-1,2,3,4-tetrahydroisoquinolin-7-ol ",-1.0
Phenoxyethanol,1.0
Niacin,1.0
Norketamine,1.0
Aniline,1.0
Benzyl alcohol,1.0
Dodecanoic acid,1.0
Isopropylamine,-1.0
Hexanoic acid,1.0
Cholesterol,1.0
"N,N-Dimethyl-2-aminoethanol",1.0
Curcumin,1.0
L-Threonine,1.0
Formamide,1.0
Glycerol,1.0
Guanosine,-1.0
N-Caffeoyl-O-methyltyramine,1.0
Pipecolic acid,1.0
Xylazine,-1.0
"Naringenin 4',7-dimethylether",1.0
