n1,n2,VECPAC_r,LPS_r,DSS_r,pooled_r,predicted_sign,model_agreement_pooled_sign,model_agreement_pred_sign,pooled_pred_agreement_sign,all_sign_agreement
ENSMUSG00000000290-S,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000290-S,4-tert-Butyldimethylsiloxy-3-penten-2-one,,1.0,,1.0,,1,-1,-1,-1
ENSMUSG00000000290-S,5-Nitroso-8-quinolinol,,,,1.0,,1,-1,-1,-1
ENSMUSG00000000290-S,7-Hydroxy-4-(methoxymethyl)coumarin,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000000290-S,L-(+)-Threose,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000000290-S,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000290-S,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000000308-S,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000308-S,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",,,,1.0,,1,-1,-1,-1
ENSMUSG00000000308-S,3-(4-Methoxyphenyl)coumarin,,1.0,,1.0,,1,-1,-1,-1
ENSMUSG00000000308-S,7-Hydroxy-4-(methoxymethyl)coumarin,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000000308-S,Diclofenac,,,,1.0,,1,-1,-1,-1
ENSMUSG00000000308-S,L-(+)-Threose,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000000308-S,L-Pyroglutamic acid,,,,1.0,,1,-1,-1,-1
ENSMUSG00000000308-S,L-Serine,,,,1.0,,1,-1,-1,-1
ENSMUSG00000000308-S,Phenol,,-0.6000000000000001,-0.5,-0.9285714285714288,,1,-1,-1,-1
ENSMUSG00000000530-S,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000530-S,2-Ethyl-1-butanol,,,,1.0,,1,-1,-1,-1
ENSMUSG00000000530-S,2-Norbornanemethanol,,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000530-S,5-Nitroso-8-quinolinol,,,,1.0,,1,-1,-1,-1
ENSMUSG00000000530-S,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000530-S,L-Threonine,,1.0,,1.0,-1.0,1,-1,-1,-1
ENSMUSG00000000732-S,2-Norbornanemethanol,,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000732-S,L-(+)-Threose,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000000732-S,L-Ornithine,,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000732-S,L-Val-L-Leu,,1.0,,1.0,,1,-1,-1,-1
ENSMUSG00000000732-S,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,1.0,,1.0,,1,-1,-1,-1
ENSMUSG00000000782-S,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",,,,1.0,,1,-1,-1,-1
ENSMUSG00000000782-S,2-Buten-1-ol,,,,1.0,,1,-1,-1,-1
ENSMUSG00000000782-S,"Benzene, 1-ethyl-3,5-dimethyl",,,,1.0,,1,-1,-1,-1
ENSMUSG00000000782-S,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000782-S,L-Ornithine,,,,1.0,,1,-1,-1,-1
ENSMUSG00000000782-S,L-Val-L-Leu,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000000792-S,2-Buten-1-ol,,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000792-S,3-(4-Methoxyphenyl)coumarin,,1.0,,1.0,,1,-1,-1,-1
ENSMUSG00000000792-S,5-Nitroso-8-quinolinol,,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000792-S,L-(+)-Threose,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000000792-S,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,,1.0,,1,-1,-1,-1
ENSMUSG00000000792-S,L-Val-L-Leu,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000000823-S,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000823-S,5-Nitroso-8-quinolinol,,,,1.0,,1,-1,-1,-1
ENSMUSG00000000823-S,7-Hydroxy-4-(methoxymethyl)coumarin,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000000823-S,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000826-S,"1,2-Bis(trimethylsiloxy)cyclohexene",,,,-1.0,,1,-1,-1,-1
ENSMUSG00000000826-S,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",,,,1.0,,1,-1,-1,-1
ENSMUSG00000000826-S,3-(4-Methoxyphenyl)coumarin,,1.0,,1.0,,1,-1,-1,-1
ENSMUSG00000000826-S,7-Hydroxy-4-(methoxymethyl)coumarin,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000000826-S,L-(+)-Threose,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000001016-S,"1,2-Cinnolinedicarboxylic acid, 1,2,3,5,6,7,8,8a-octahydro-4-trimethylsilyloxy-, diethyl ester",,,,-1.0,,1,-1,-1,-1
ENSMUSG00000001016-S,"2,4-Imidazolidinedione, 5,5-dimethyl",,0.8720815992723809,1.0,0.8954053273686237,-1.0,1,-1,-1,-1
ENSMUSG00000001016-S,3-(4-Methoxyphenyl)coumarin,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000001016-S,5-Nitroso-8-quinolinol,,,,1.0,,1,-1,-1,-1
ENSMUSG00000001016-S,6-Methyluracil,,0.8720815992723809,1.0,0.9244023874976196,-1.0,1,-1,-1,-1
ENSMUSG00000001016-S,"l-Leucine, n-butoxycarbonyl-N-methyl-, hexadecyl ester",,,,-1.0,,1,-1,-1,-1
ENSMUSG00000001016-S,L-Ornithine,,,,1.0,,1,-1,-1,-1
ENSMUSG00000001016-S,tert-butyl(dimethyl)silyl-2-([tert-butyl(dimethyl)silyl]oxy)hex-2-enoate,,-1.0,,-1.0,,1,-1,-1,-1
ENSMUSG00000001089-S,"1-Pentene, 1,3-diphenyl-1-(trimethylsilyloxy)-",,,,1.0,,1,-1,-1,-1
ENSMUSG00000001089-S,"2,4-Dimethoxybenzaldoxime",,,,-1.0,,1,-1,-1,-1
ENSMUSG00000001089-S,3-(4-Methoxyphenyl)coumarin,,1.0,,1.0,,1,-1,-1,-1
ENSMUSG00000001089-S,L-Glutamic acid,,,,-1.0,,1,-1,-1,-1
