ID,100_DSS,101_DSS,102_DSS,896_DSS,897_DSS,T0.5_DSS,T0.6_DSS,T0.7_DSS,T0.8_DSS,3297_VECPAC,3329_VECPAC,3353_VECPAC,3354_VECPAC,3675_VECPAC,3678_VECPAC,3679_VECPAC,3680_VECPAC,3681_VECPAC,3687_VECPAC,934_LPS,935_LPS,938_LPS,940_LPS,941_LPS,943_LPS
ENSMUSG00000027374-P,6.561515769,7.274832037,6.737699619,6.504965867,6.307489071,6.854571443,6.798146916,5.91031175,6.885563891,6.649287211,6.110649065,5.873986384,5.992616829,6.281489013,6.582214216,6.559474122,6.808103964,6.617468563,7.023919268,6.405062709,6.615488088,6.659604391,6.442986421,6.825285165,6.84461886
ENSMUSG00000042626-P,5.359346681,4.55450128,5.359163222,4.232267354,6.288869696,5.310039971,4.224009986,3.531213243,4.737738392,4.847138133,4.901669451,4.644986814,5.133946502,4.696628289,4.803404268,5.038478804,5.094371298,5.709962719,4.918348882,3.852060335,5.307449543,5.23775682,3.810514594,4.977680582,4.252640048
ENSMUSG00000055681-P,7.999952591,8.287025392,7.81542533,7.675039561,7.622169892,7.631001682,7.736410672,7.911320964,7.865703314,7.687660856,7.428662214,7.614997995,7.82213471,7.495903722,7.960950616,7.846269615,7.341528491,7.437713923,7.429400884,7.848775387,7.813033015,7.199808504,7.434671401,7.597582104,7.838328792
ENSMUSG00000028412-P,6.770006974,6.21532534,6.671229012,6.303022614,7.161765386,6.338453073,6.185685765,6.948476592,6.326896665,6.342392432,6.552529844,6.171887649,6.514752937,6.439025026,5.648595572,6.48810853,6.605918848,4.923132309,5.97102009,6.84207731,6.348901174,6.236194607,6.958346789,6.241576126,6.534500861
ENSMUSG00000054484-P,5.405518275,3.167255925,5.301733307,4.471471942,4.480793706,4.997174802,3.96035093,5.324676047,4.961030935,4.999484889,4.901669451,4.193307478,4.324810064,4.640050867,3.200706385,5.254586463,5.061429081,4.129575683,4.664824941,6.155926447,5.043665381,4.467377559,5.124320178,4.451172027,4.7009474
ENSMUSG00000024425-P,10.36195361,9.974670133,9.918424952,9.880247139,10.09247178,9.906979693,9.706390515,10.25112828,9.699959423,9.724923307,9.860558431,9.407933717,10.00836269,9.727359605,10.00834915,10.0837023,9.672774979,9.520601258,9.785023298,10.35866313,10.20318773,10.3809928,10.38487074,9.764368205,9.770732416
ENSMUSG00000032216-P,10.16128882,9.743820093,10.49370379,10.72482114,10.50112554,10.40629985,10.05573979,10.52786101,10.29848281,10.53440874,10.6516012,10.3821573,10.10089826,9.785574034,9.996825365,9.78685152,9.383963928,9.94233579,10.04889172,10.32766012,9.469733113,9.977857888,10.28895606,10.01777127,10.34439185
ENSMUSG00000025979-P,7.857738246,7.191326628,7.332558101,7.384442665,7.770461077,7.911480808,8.123084087,7.554069915,7.965747383,7.570896812,7.454353563,7.520021124,7.827183331,8.051333262,7.772998121,7.50436749,7.745726219,7.075341491,7.502302794,7.092123368,7.599934294,7.866268451,8.021682253,7.874260837,7.238929229
ENSMUSG00000051343-P,5.046177926,5.16335788,5.662684335,5.547148968,5.803327522,5.486327531,5.009590167,5.749688705,5.710445809,5.263034637,5.503643927,5.301271559,5.579139356,5.353684723,6.268433545,6.360712035,5.219096911,5.304083292,5.659474472,6.217355565,5.043665381,5.607418062,5.731258769,5.417812516,5.042475255
ENSMUSG00000035443-P,8.437851645,8.601979005,8.136071921,8.610258905,8.622227109,8.001315411,8.405760288,8.711569294,8.462369039,7.915452845,7.981680752,7.98690118,7.749533703,8.308931342,8.605975249,8.469843004,8.291636198,8.653154603,8.259213056,8.333338212,8.624707318,8.729105437,8.305345064,8.234914749,8.324456786
