plasma_metabolite,feci_metabolite,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Pooled r,Pooled p-values,Pooled n,Consistent,Sign,Pooled FDR
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P","1,5-Anhydroglucitol-F",-0.467460224566209,0.0678855687179467,16,-0.0731925054711399,0.863253392920131,8,-0.5,0.6666666666666667,3,-0.100611738410297,0.6175496068420265,27,True,-,0.7363491105699094
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P","1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F",-0.5813666716915195,0.0181749439415159,16,-0.2927700218845599,0.4816178143121546,8,-1.0,0.0,3,-0.2926608925794962,0.1384973037839029,27,True,-,0.3396139190825578
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",1-Octadecanol-F,0.3810239221814746,0.1453745258804014,16,0.5611425419454067,0.1478601222689398,8,0.5,0.6666666666666667,3,0.0722044164930034,0.7204184665829642,27,True,+,0.8108044785364646
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P","2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone-F",0.3261866440406616,0.2175832153086444,16,0.2086242948113717,0.6200314745733677,8,0.5,0.6666666666666667,3,0.2087477126322111,0.2960569272301188,27,True,+,0.49599450535164114
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",2'-Desoxyuridine-F,-0.1523683643364542,0.5732028470473367,16,-0.3190724508879803,0.4411038468894216,8,-0.5,0.6666666666666667,3,-0.0097874385409974,0.9613563743465908,27,True,-,0.9723984780839312
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",3-Pyridylcarbinol-F,0.572069740617705,0.02058489944891,16,0.4391550328268399,0.2763268401337456,8,0.5,0.6666666666666667,3,0.2602052295873731,0.1899242610933389,27,True,+,0.3905580949745605
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",4-Methyl-5-thiazoleethanol-F,-0.666426680908472,0.0048166470517098,16,-0.0243975018237133,0.9542728337420904,8,-1.0,0.0,3,-0.4102451278948738,0.0335531754211883,27,True,-,0.15816862737349516
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",4-Pyridinol-F,0.5824172553058804,0.0179170272192001,16,0.0975900072948533,0.818177202735276,8,0.5,0.6666666666666667,3,0.1718394113138704,0.3914149656962895,27,True,+,0.5691848269974771
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",9-Octadecenoic acid-F,-0.1079097960338306,0.690784573509076,16,-0.4879500364742666,0.2199438192418187,8,-1.0,0.0,3,-0.228100001494924,0.2524896394901678,27,True,-,0.452513482566467
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P","Azetidine, 1-acetyl-2-methyl-F",0.2705135982765891,0.3108993448383885,16,0.1219875091185666,0.7735324033272464,8,1.0,0.0,3,0.1602203763851745,0.4246891091160792,27,True,+,0.5943970019623334
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P","Benzaldehyde, 2,5-dimethoxy-F",0.1087288813468872,0.6885467288416108,16,0.6343350474165467,0.0911626639202738,8,1.0,0.0,3,0.0958716717070763,0.6342954921916475,27,True,+,0.7500067944379547
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",Butyl Succinate-F,0.1404305564823823,0.603942516028735,16,0.0975900072948533,0.818177202735276,8,0.8660254037844387,0.3333333333333332,3,0.062997015539578,0.7549167403102578,27,True,+,0.8320130650964025
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",D-(-)-Fructofuranose-F,0.0739108192012538,0.785596707921842,16,0.4391550328268399,0.2763268401337456,8,0.5,0.6666666666666667,3,0.1204710463659518,0.5494718782709818,27,True,+,0.6839445042178613
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",D-(+)-Talofuranose-F,-0.5251531003829247,0.0367207750106565,16,-0.7075275528876865,0.0496282607348612,8,-0.5,0.6666666666666667,3,-0.6425083963526871,0.0003018732217339,27,True,-,0.014585965213778893
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",Dihydrouracil-F,-0.326685820869542,0.2168386541644966,16,-0.0243975018237133,0.9542728337420904,8,-0.5,0.6666666666666667,3,-0.1476840492252658,0.4622648032651392,27,True,-,0.6231927531653049
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",DL-Phenylalanine-F,0.3306245575650244,0.2110208289733348,16,0.3903600291794133,0.3390301832455655,8,0.5,0.6666666666666667,3,0.259786236411998,0.1906642295343377,27,True,+,0.3912665559749054
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",Hydracrylic acid-F,-0.4615430065337254,0.0719227480860291,16,-0.4391550328268399,0.2763268401337456,8,-0.5,0.6666666666666667,3,-0.2455660363023359,0.2169675664636108,27,True,-,0.41744167086120954
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",L-Isoleucine-F,0.2468621361321879,0.356670457893192,16,0.163525246763654,0.6988122486284192,8,0.5,0.6666666666666667,3,0.0921053019669562,0.6477284227382964,27,True,+,0.7582988032718162
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",L-Leucine-F,0.0628704415951388,0.8170740077896553,16,0.2439750182371333,0.560375584963329,8,0.5,0.6666666666666667,3,0.2068809757889542,0.3004946851397936,27,True,+,0.499102891099376
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",L-Proline-F,0.2453839197481628,0.3596500828504292,16,0.3171675237082733,0.4439892416323509,8,1.0,0.0,3,0.2858894120613324,0.1482879827146473,27,True,+,0.34817829966004943
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",L-Threonine-F,0.0466324437185507,0.8638377291496209,16,0.1707825127659933,0.6859547529411325,8,0.5,0.6666666666666667,3,0.0836520137800875,0.6782670305482532,27,True,+,0.7807231764729758
