Individual_Pval,FDR,Total_Nodes,Total_Edges,Positive_Edges,Negative_Edges,Pos_to_Neg,Density,Mean_Corr_Coeff
1,1,697,40109,20673,19436,1.063644783,0.165359752,0.01555452
1,0.3,697,11940,6420,5520,1.163043478,0.049225746,0.037109324
1,0.25,697,9804,5276,4528,1.165194346,0.040419532,0.037176577
1,0.2,694,7639,4122,3517,1.172021609,0.031766824,0.039014418
1,0.15,688,5456,2969,2487,1.193807801,0.023086558,0.042651235
1,0.1,665,3443,1871,1572,1.190203562,0.01559471,0.040201006
1,0.05,518,1467,802,665,1.206015038,0.010955692,0.038986344
1,0.01,183,203,99,104,0.951923077,0.012189996,-0.030482739
0.3,1,693,3609,1804,1805,0.999445983,0.015051423,0.004274914
0.3,0.3,674,1817,922,895,1.030167598,0.008011429,0.016403491
0.3,0.25,669,1589,823,766,1.074412533,0.007111338,0.032554305
0.3,0.2,641,1318,673,645,1.043410853,0.006425507,0.022786818
0.3,0.15,606,1030,525,505,1.03960396,0.005618744,0.022266344
0.3,0.1,525,705,363,342,1.061403509,0.005125409,0.026248045
0.3,0.05,344,332,166,166,1,0.0056275,0.005574627
0.3,0.01,93,62,24,38,0.631578947,0.014492754,-0.1555339
0.25,1,686,2630,1326,1304,1.016871166,0.011193633,0.008419671
0.25,0.3,649,1391,710,681,1.042584435,0.006615115,0.01836069
0.25,0.25,637,1221,629,592,1.0625,0.006027665,0.027347555
0.25,0.2,603,1033,533,500,1.066,0.005691366,0.028584205
0.25,0.15,562,826,425,401,1.059850374,0.005239754,0.027023006
0.25,0.1,489,572,300,272,1.102941176,0.004793992,0.038438797
0.25,0.05,313,280,146,134,1.089552239,0.005734415,0.029921851
0.25,0.01,84,54,21,33,0.636363636,0.015490534,-0.165029278
0.2,1,675,2088,1047,1041,1.005763689,0.009179031,0.003960772
0.2,0.3,620,1119,582,537,1.083798883,0.005831466,0.030996557
0.2,0.25,606,989,520,469,1.108742004,0.005395085,0.042195184
0.2,0.2,571,848,448,400,1.12,0.005210926,0.045035613
0.2,0.15,531,685,365,320,1.140625,0.004867996,0.051092784
0.2,0.1,456,475,256,219,1.168949772,0.004578755,0.057292369
0.2,0.05,276,229,121,108,1.12037037,0.006034256,0.03787124
0.2,0.01,77,49,20,29,0.689655172,0.016746411,-0.150980729
0.15,1,595,960,477,483,0.98757764,0.005432476,0.001755006
0.15,0.3,484,547,270,277,0.974729242,0.004679773,-0.004791084
0.15,0.25,460,489,244,245,0.995918367,0.004631998,0.007319016
0.15,0.2,416,417,205,212,0.966981132,0.004830862,-0.001542337
0.15,0.15,375,348,172,176,0.977272727,0.004962567,0.000428503
0.15,0.1,310,254,125,129,0.968992248,0.005303268,-0.006571662
0.15,0.05,167,121,59,62,0.951612903,0.008729529,-0.019266353
0.15,0.01,48,29,11,18,0.611111111,0.02570922,-0.221977844
0.1,1,507,589,290,299,0.969899666,0.004591841,-0.005250222
0.1,0.3,383,335,164,171,0.959064327,0.004579443,-0.007796305
0.1,0.25,361,305,153,152,1.006578947,0.004693752,0.01355093
0.1,0.2,323,264,132,132,1,0.00507663,0.013408661
0.1,0.15,284,220,110,110,1,0.005474543,0.009724407
0.1,0.1,226,165,79,86,0.918604651,0.006489676,-0.028153203
0.1,0.05,130,84,38,46,0.826086957,0.010017889,-0.075996344
0.1,0.01,38,22,7,15,0.466666667,0.031294452,-0.319255771
0.05,1,369,329,168,161,1.043478261,0.004845646,0.026105261
0.05,0.3,269,193,98,95,1.031578947,0.00535427,0.027083366
0.05,0.25,259,181,93,88,1.056818182,0.005417378,0.037945679
0.05,0.2,229,155,79,76,1.039473684,0.005937332,0.034063069
0.05,0.15,199,128,65,63,1.031746032,0.006497132,0.025194652
0.05,0.1,156,97,49,48,1.020833333,0.00802316,0.015788247
0.05,0.05,82,47,23,24,0.958333333,0.014152364,-0.010913841
0.05,0.01,21,12,5,7,0.714285714,0.057142857,-0.169373828
0.01,1,180,129,65,64,1.015625,0.008007449,0.009200461
0.01,0.3,106,63,32,31,1.032258065,0.011320755,0.024588312
0.01,0.25,99,59,31,28,1.107142857,0.012162441,0.056665865
0.01,0.2,77,45,25,20,1.25,0.015379357,0.108470296
0.01,0.15,57,32,15,17,0.882352941,0.020050125,-0.062710145
0.01,0.1,47,26,13,13,1,0.024051804,-0.007184446
0.01,0.05,31,17,8,9,0.888888889,0.03655914,-0.069112457
0.01,0.01,13,8,2,6,0.333333333,0.102564103,-0.500899327
