,Feci_LPS_CTRL_934_23022024,Feci_LPS_CTRL_935_23022024,Feci_LPS_CTRL_938_26022024,Feci_LPS_CTRL_940_26022024,Feci_LPS_CTRL_943_26022024,Feci_LPS-CTRL_941REP_01032024
,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
10-Heptadecenoic acid,3.889895291349025e-05,4.307102512362269e-05,8.608358890077261e-06,3.2908986494800884e-05,3.685888207214996e-05,3.916438176610061e-06
3-Aminobutanoic acid,3.317049166967187e-09,6.854197017085001e-05,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
3-Hydroxypicolinic acid,2.6787585419746015e-05,2.6213841546508234e-05,1.603110529073754e-05,2.080604252632017e-05,2.0930048338659614e-05,3.698001652892968e-07
4-Pentenoic acid,2.9092428362042667e-05,5.729262896743729e-05,7.094423427928346e-05,4.7459063005086846e-05,5.908290250103023e-05,1.1350290953525683e-05
Acetohydroxamic acid,9.107782903386053e-06,6.973314190749594e-06,7.975342044517285e-07,7.166386589034193e-06,5.393937924956675e-06,4.305619201828444e-06
Argininosuccinic acid,2.9528927461757194e-05,2.288712591576638e-09,1.9795645477592118e-05,1.5018670435401597e-09,1.5680182502759232e-05,1.7390712391228288e-05
Butyl caprylate,6.854197017085001e-05,6.350101381471725e-05,0.0,1.5018670435401597e-09,1.757444474833436e-05,3.698001652892968e-07
Deoxyglucose,2.83600203602203e-05,5.3835171916323376e-05,1.836056416543893e-06,1.0693917048042828e-07,1.0894776337191838e-05,3.698001652892968e-07
Dodecanedioic acid,3.317049166967187e-09,2.288712591576638e-09,0.0,1.5018670435401597e-09,1.917958704543705e-08,3.698001652892968e-07
Erythritol,5.650563956966111e-05,4.84941585061175e-05,5.3835171916323376e-05,1.5018670435401597e-09,4.328965968016459e-05,4.190080426421601e-05
Ethanamine,9.901359718928036e-06,8.392569043058912e-06,3.9787260803249463e-05,1.0514066459711718e-05,2.7860148254991692e-05,3.1952970029292075e-05
L-Asparagine,8.837618555691014e-06,8.027817364163943e-06,2.7857133842763493e-06,1.3084543348858826e-05,6.238935363090239e-06,3.698001652892968e-07
L-Glutamine,1.8648784226797527e-05,2.6443296428767492e-05,0.0,2.4064840669503068e-05,9.268868110722537e-06,3.698001652892968e-07
