ID,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS_73_REP_190124,DSS_76_REP_190124,DSS_77_REP_190124,DSS_T0.7_180124
GROUP,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",14.8950131,15.69162437,19.01705162,,17.62170735,17.4679779,17.06309586,17.37328372,12.98652375,19.91566389,20.46545593,20.07442853,
(6S)-5-Methyltetrahydrofolic acid,,,,,,8.159372166,,,,,10.68423951,,
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",11.24144082,11.24144082,13.68069535,11.51426793,13.5523728,14.37641612,12.57282838,11.10245822,11.35385813,15.69162437,14.0430583,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",26.26246065,26.62018009,26.26246065,26.26246065,26.62018009,26.68829625,26.33601378,25.89210347,26.26246065,25.23727152,26.26246065,,27.44710764
(CH3)2C=NC2H558,17.54089682,17.65033633,17.62170735,17.65033633,18.31955777,18.51017463,18.11054733,17.33158696,17.70899753,17.37328372,17.65033633,17.96954725,19.49072841
(pm)-alpha-Tocopherol acetate,10.58144185,11.35385813,12.29674781,9.545251342,10.87441187,13.63504052,10.91608404,10.10306138,12.12741999,12.77266458,15.72637617,16.97862928,
(pm)-N-Propylamphetamine,,,,18.21595138,23.47670795,23.63614346,,,22.30432585,21.44846378,22.33727444,,
(pm)-Norketamine,29.81327801,28.97338374,28.75102047,28.86821949,28.86821949,29.29902845,28.26473762,28.39886823,29.42215065,28.6402584,29.69514395,29.18307998,29.18307998
(pm)-Phenylpropanolamine,25.65375762,26.33601378,24.9927475,24.12766402,26.33601378,25.95667431,25.45684602,24.38950885,,23.43092109,,22.30432585,26.62018009
"(R*,S*)-2,3-Dihydroxybutanoic acid",7.771536565,,,4.640058036,9.372726265,13.79063524,9.372726265,7.368482017,,,,,
"(S,S)-(-)-Hydrobenzoin",17.77986919,17.13799735,,20.57438847,,,16.29669433,16.40086466,17.30319236,21.47387464,20.80489511,,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",25.45684602,22.11388657,18.51017463,16.13854448,25.95667431,21.33081219,21.68227601,24.9927475,17.54089682,23.96446494,24.38950885,27.25614284,24.80567999
"1-(2,4-Dimethoxyphenyl)-propan-2-one",21.68227601,22.47089993,22.77394851,19.2522292,22.27119795,23.00170775,22.85174109,22.14273214,21.1267667,,,,
1-(3-Methylphenyl)piperazine,10.71936135,10.22792834,,12.29674781,,,,,9.545251342,,,,17.30319236
1-(4-Hydroxybenzylidene)acetone,,12.77266458,,,,,,,,,,13.44785778,15.9906091
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",17.33158696,17.30319236,17.4679779,12.77266458,17.51162721,17.9359832,17.96954725,17.62170735,16.68757869,18.45769898,18.65464899,19.07553408,18.40034089
1-Aminocyclopropanecarboxylic acid,29.18307998,30.65717937,28.13582064,30.4570814,28.26473762,29.18307998,29.69514395,28.26473762,29.69514395,32.50730296,31.96792753,26.68829625,30.13788547
"1-Butanamine, N,N-diethyl-",23.00170775,23.06461365,22.88777693,22.96275538,23.28568076,23.16278385,22.96275538,22.47089993,23.09652678,22.14273214,22.8081188,22.8081188,24.12766402
"1-Cyclohexanone, 3-butyl-3-methyl-",,12.4919175,,14.37641612,,,,11.58713484,10.77936405,10.48716356,10.22792834,12.12741999,
1-Cyclopentylethanol,16.29669433,15.72637617,16.25524017,14.84045374,16.856624,,,15.17602716,,16.79335043,16.82444981,17.27927856,18.74513236
"1-Decanol, 2-methyl-",24.9927475,25.54861304,25.54861304,25.11403713,25.83053674,25.45684602,25.34644722,24.45243153,25.54861304,,,,
