ID,LPS_934_150124,LPS_935_150124,LPS_936_150124,LPS_939_150124,LPS_940_150124,LPS_941_150124,LPS_942_150124
GROUP,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL,LPS_CTRL
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",10.736756735988731,,,11.494800283249935,11.201351236364934,4.995198132140386,
(6S)-5-Methyltetrahydrofolic acid,,11.040828388510004,,11.720535719832986,,,
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",,,,14.490401175957505,,14.619353023994188,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",25.733886070696943,25.218309232050547,26.063297596123697,25.892390696266244,25.649318009728308,25.892390696266244,26.063297596123697
(CH3)2C=NC2H558,18.25980209766154,18.1669213473799,18.233522970115153,17.99169803078585,17.949139164563096,18.055156504113103,18.369039963068985
(pm)-alpha-Tocopherol acetate,,0.18809838241208227,,,,2.110156323792186,
(pm)-N-Propylamphetamine,20.09036378469853,20.09036378469853,,,,19.257374789771422,
(pm)-Norketamine,29.23835207198618,28.87213728846867,28.069854863590923,28.87213728846867,28.69205932345248,28.69205932345248,29.23835207198618
(pm)-Phenylpropanolamine,25.028185397811264,21.90533835374844,24.14751377517706,24.031064574203747,25.218309232050547,25.14635860011138,25.14635860011138
"(R*,S*)-2,3-Dihydroxybutanoic acid",13.222275426376155,12.55834916881308,13.065204093726635,,13.528209117087597,,13.498297803351107
"(S,S)-(-)-Hydrobenzoin",18.45474498781332,20.322752644759877,19.890260881942794,19.020461548250317,19.50276059914064,18.0904885621857,17.559826209358942
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",24.635610917841905,22.74862958605763,22.353975239442743,20.12075340117764,19.334680948623113,,
"1-(2,4-Dimethoxyphenyl)-propan-2-one",22.22411493191526,22.22411493191526,22.22411493191526,22.193443929180415,22.22411493191526,22.47529503933838,22.659314467959568
1-(3-Methylphenyl)piperazine,13.8911681480212,13.46103353073559,13.528209117087597,13.675307306177306,13.59624594911937,14.013071079710107,14.619353023994188
1-(4-Hydroxybenzylidene)acetone,13.913914605610742,13.0414810573932,13.8911681480212,,,,
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",,,,,,,16.66661965770871
1-Aminocyclopropanecarboxylic acid,26.697626715412166,26.063297596123697,26.79773459460216,26.159228930822945,26.528555208578304,27.02680591757846,26.697626715412166
"1-Butanamine, N,N-diethyl-",22.59839386212323,22.47529503933838,22.56359367503951,22.56359367503951,22.796146442761806,22.84098617702293,22.796146442761806
"1-Cyclohexanone, 3-butyl-3-methyl-",,,,,,,
1-Cyclopentylethanol,15.23532520905947,15.141463023118675,15.346119239082693,15.18476109768641,15.380862844468128,15.18476109768641,15.575160493231738
"1-Decanol, 2-methyl-",,,,,,,
"1-Decene, 8-methyl-",,,14.752087772814258,,,,
1-Deoxypentitol,8.59654024064751,5.393181344000048,7.812667208754642,7.513676344404315,7.812667208754642,1.8715472860133577,5.811666046257568
1-Hexadecanol,,24.42084268251031,23.06320848115337,25.090073509677513,,,
1-Hexanol,12.370355156368912,13.8911681480212,13.42986339630258,14.292486862368166,14.552060430703763,14.152255649776473,13.748842681290693
1-Hydroxy-3-methoxy-6-methylanthraquinone,18.86991126191946,,,19.224520221109827,19.711499116990446,19.609109182993645,19.50276059914064
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",24.296055755975264,23.671892126953985,24.227183213337735,23.841007666781014,24.14751377517706,24.031064574203747,24.227183213337735
1-Monoacetin,15.141463023118675,14.552060430703763,14.998238088832094,14.619353023994188,15.115278210386148,,15.269004118999842
1-Octadecanol,21.33361504688028,20.783636241431658,20.637451546160502,20.95862660177104,20.509063963906744,20.764350264843177,20.70652403918444
"1-Octanol, 2-butyl-",19.105468487751203,19.05888281163362,18.0904885621857,19.12605093276672,19.472135572269753,18.53389624634634,20.764350264843177
1-Octanol,,13.498297803351107,16.87752785698289,12.042568691533763,16.637119023946678,17.53836835873985,18.106264493909755
"1-Octene, 2-methyl-",20.764350264843177,20.558454426238985,20.783636241431658,20.93520637833808,21.54386640331966,21.69663459025624,21.69663459025624
"1-Pentene, 3,3-dimethyl-",,,,,23.010471096897987,,
1-Phenethylamine,,15.47565088485562,15.380862844468128,,16.084896995150103,15.312547505559673,16.929851167297944
"1-Phenyl-1,2-ethanediol",21.734190536626155,22.440816535682917,21.030106292274233,22.440816535682917,22.84098617702293,22.659314467959568,22.84098617702293
1-Phenylethanol,,,,,,,
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-",19.941210036444026,20.004218593953787,20.141901696362545,20.0675266193533,20.12075340117764,20.244443236485743,20.509063963906744
"1-Propanamine, N,N-diethyl- ",23.74789648038563,23.225200975813753,23.576912828524463,23.472991187099414,23.576912828524463,23.74789648038563,23.935065827088604
1-Tetradecanol,,,,24.635610917841905,,24.726713982692264,
"1,1'-Biphenyl, 3,4-diethyl-",,11.82871777633233,,,12.244549680665429,9.322476641400455,11.720535719832986
"1,2-Benzenedicarboxylic acid",25.649318009728308,25.028185397811264,25.31029933722909,25.218309232050547,25.31029933722909,25.733886070696943,25.733886070696943
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",14.943682147714723,12.61121647485742,14.013071079710107,14.430528344963054,,,15.141463023118675
"1,2-Butanediol",,,,23.74789648038563,,,
"1,2-Cyclohexanedicarboxylic acid, dinonyl ester",,,,,,,
"1,2-Dimethoxy-4-(1-methoxyethenyl)benzene",17.949139164563096,17.781731687172464,18.0178868373195,17.810896215815806,18.143837074478526,,
"1,2,2-Trimethyl-1-aza-spiro[2.3]hexane",14.78861630486796,17.04383956021415,16.05146968710499,16.929851167297944,16.929851167297944,,
"1,2,3-Butanetriol",21.94867132515933,,,,,,
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene",,,,18.898415848586676,19.105468487751203,20.637451546160502,19.05888281163362
"1,3-bis[(Trimethylsilyl)ethynyl]benzene",21.69663459025624,21.49828288184139,21.60303716763059,21.107926350089425,21.60303716763059,20.93520637833808,21.862591332617704
"1,3-Cyclohexanebis(methylamine)",,,,,,,
"1,3-Dioxane-4-methanol, 4,5-dimethyl-",,,,14.059922412266832,,,
"1,3,5-Benzetriol",13.065204093726635,12.670912522341862,12.725160801769642,13.24994391641516,,13.222275426376155,12.834100885273674
"1,3,5-Trimethyl-1H-pyrazol-4-amine",14.323379159951227,12.370355156368912,13.498297803351107,13.636023726950794,13.8911681480212,13.675307306177306,13.78281241212321
"1,4-Butanediol",,,,12.880164910288897,,13.567653665524352,13.065204093726635
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl ",,,15.724511716267651,15.686937837430403,,,14.348494531108996
"1,4-Dioxaspiro[4.5]decane",,,,,,18.33392993367499,
"1,5-Anhydroglucitol",17.099234784956774,,16.762001367149345,16.566438106771546,16.709726396275332,16.709726396275332,14.86285571053221
10-Heptadecenoic acid,,,,,,,
10-Nonadecenoic acid,,,,,,,
12-Hydroxyoctadecanoic acid,17.11418377323917,,,,,,
12-Oxooctadecanoate,14.46552012907279,13.78281241212321,13.78281241212321,,14.619353023994188,14.730320234125449,14.752087772814258
13-Docosenamide,22.72035035412313,15.766068583191366,23.118306937273076,23.344749452144185,23.118306937273076,23.118306937273076,23.225200975813753
"15-Oxo-11Z,13E-eicosadienoic acid",7.069092399102177,3.937833048399415,6.290750668447317,6.107075453261778,4.800901566367903,6.290750668447317,3.7875085471738266
"1H-Inden-1-one, 2,3-dihydro-7-hydroxy-3-methyl- ",,,,,,,
"1H-Indole, 1-(trimethysilyl)-2,5-bis[(trimethylsilyl)oxy]-",15.219588933078839,14.81514781038685,15.766068583191366,15.724511716267651,15.870275691440584,14.348494531108996,15.724511716267651
"1H-Pyrazole, 3,4-bis(trimethylsilyl)-",16.135183810139637,15.828506576435428,15.446974421536046,14.919725821378663,15.828506576435428,14.943682147714723,15.766068583191366
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde",18.727817380854507,17.45786157606711,17.273225108573627,17.37101850403726,17.11418377323917,16.962575204698542,17.45786157606711
