,VECPAC_3307_290124,VECPAC_3319_290124,VECPAC_3329_290124,VECPAC_3336_290124,VECPAC_3337_290124,VECPAC_3354_290124,VECPAC_3371_290124,VECPAC_3302_260124,VECPAC_3353_260124,VECPAC_3369_260124,VECPAC_3673_250124,VECPAC_3674_250124,VECPAC_3675_250124,VECPAC_3677_250124,VECPAC_3678_250124,VECPAC_3679_250124,VECPAC_3680_250124,VECPAC_3688_260124,VECPAC_3697_260124
,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL,VECPAC_CTRL
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide ",,,,,,,,,,,,,,,,,,,
(6S)-5-Methyltetrahydrofolic acid,,,,,,,,,,,,,,,,,,,10.290000132823216
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",16.158757824965644,16.777435758955107,15.34840479647482,16.683230452587587,15.315767170363468,15.513238079863951,15.17971282130651,15.913007545611654,14.870399381924507,16.562735290244287,14.752753869048119,15.419080398564928,14.69462912360585,14.562548400415062,14.752753869048119,,15.645101065611946,14.69462912360585,15.604385459398587
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",26.275234453931155,26.951515096076143,26.73113762020699,26.61703252817343,26.83629718693505,26.83629718693505,26.275234453931155,26.370981945534925,26.047060488642316,26.61703252817343,26.047060488642316,25.81451661405914,26.83629718693505,26.275234453931155,26.13259548553117,26.61703252817343,27.04986589051757,26.48557796769458,26.13259548553117
(CH3)2C=NC2H558,18.476278414990613,18.982455202263463,18.513421318437462,18.952843152843755,18.584602037981732,18.099405241402923,18.099405241402923,18.384743776911353,18.30220491422171,18.54607657424519,18.067802151495375,18.384743776911353,18.04262601659242,17.66005726703293,18.023288474614425,18.413236135757618,18.384743776911353,18.445736051641244,18.122745545681454
(pm)-alpha-Tocopherol acetate,,,2.33008997616814,8.70137053681611,,,1.617489646358388,,,,,,,,,,,,
(pm)-N-Propylamphetamine,20.622527347301173,,,20.176184762722553,,19.59111089718225,,,,,,20.68214447295243,20.282845106291333,20.048178093508255,20.282845106291333,21.06766643052152,,,19.91599258463902
(pm)-Norketamine,29.567064319720927,,29.567064319720927,,,28.61890691834191,29.29763490916235,29.29763490916235,29.29763490916235,29.868658967698583,29.567064319720927,29.868658967698583,29.567064319720927,29.29763490916235,29.567064319720927,29.567064319720927,29.567064319720927,30.49740744194064,29.29763490916235
(pm)-Phenylpropanolamine,24.131480788694507,24.286213584134483,25.390618357577036,24.286213584134483,23.715597582762086,25.05852323335223,,24.91354820199538,24.78851327640558,25.9241598873494,24.450456888103545,24.78851327640558,24.032987222373634,24.574684280008256,24.131480788694507,,25.9241598873494,25.05852323335223,24.450456888103545
"(R*,S*)-2,3-Dihydroxybutanoic acid",14.016760511899433,14.43193203936262,13.927344928519762,14.69462912360585,13.888768859555105,13.108609595893817,13.021065974882575,,,,,,,,,,,12.599692228383176,
"(S,S)-(-)-Hydrobenzoin",17.85323205114088,17.71935181383045,,17.482898816498015,17.57582771507508,18.845198672700803,19.238178509274245,18.19571481244928,18.920031263707177,19.883009781599384,19.91599258463902,17.30646749922955,18.354817041878665,17.694233106773762,18.30220491422171,,16.777435758955107,16.923768456776862,19.238178509274245
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",26.951515096076143,26.48557796769458,25.9241598873494,25.677586203197585,25.05852323335223,26.370981945534925,26.83629718693505,23.188670856276904,25.201537470981773,24.286213584134483,26.73113762020699,24.6788673152338,26.13259548553117,25.201537470981773,25.27942380505664,25.489677409059098,25.580754511247207,25.201537470981773,24.78851327640558
"1-(2,4-Dimethoxyphenyl)-propan-2-one",22.59620392842164,22.98560858642985,22.42586394085616,22.819646216124017,22.74375232752856,22.42586394085616,22.25454311636915,22.62758312756071,22.714432844311936,22.672666772922494,22.498647007706285,22.461852403642705,22.793787072967287,22.083540039335475,22.461852403642705,22.793787072967287,22.98560858642985,22.98560858642985,22.819646216124017
1-(3-Methylphenyl)piperazine,13.969017570602182,,14.18125130759073,,13.587684171455688,14.23656264783452,13.320509937444335,14.016760511899433,14.135535146186546,13.486935356855955,14.18125130759073,13.202735672256493,13.236992756140435,,13.142314848172498,13.841717174472093,,14.652475967546629,13.236992756140435
1-(4-Hydroxybenzylidene)acetone,15.805582473336615,,,15.029012160129879,,,14.37430701565699,15.758803952076102,,14.602831874048219,,13.969017570602182,14.37430701565699,,,,,,
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",16.318348938049894,14.18125130759073,11.702999974452922,14.37430701565699,15.513238079863951,13.236992756140435,6.263809164395452,19.27750979839458,,19.680043094355472,12.71541301167215,,19.111393474644355,,,,18.845198672700803,,
1-Aminocyclopropanecarboxylic acid,26.73113762020699,27.583060037643673,26.951515096076143,27.181772801756683,27.37166722129166,25.9241598873494,25.580754511247207,26.275234453931155,26.370981945534925,26.13259548553117,25.677586203197585,25.9241598873494,26.48557796769458,26.370981945534925,25.81451661405914,26.48557796769458,26.83629718693505,26.370981945534925,26.047060488642316
"1-Butanamine, N,N-diethyl-",23.347029901067888,23.413959076455505,23.13342641476172,23.513731160519086,23.13342641476172,23.044533775765217,22.498647007706285,22.793787072967287,22.87128886195247,23.089706815587537,22.461852403642705,22.62758312756071,22.672666772922494,22.42586394085616,22.62758312756071,23.044533775765217,23.347029901067888,23.188670856276904,23.044533775765217
"1-Cyclohexanone, 3-butyl-3-methyl-",,,,,,,,,,,,,,,,17.075605475683055,17.85323205114088,17.89229167697303,16.62015830441966
1-Cyclopentylethanol,16.353057429306126,17.2793330704936,15.450219862387353,17.380273325481745,16.88582275729898,16.353057429306126,15.717284783435158,16.49493611036931,16.438081737124296,16.652414170199286,16.096768702232197,15.717284783435158,16.128297064816426,15.681044372379066,15.987340996624212,16.596599790336178,16.271278806206077,16.562735290244287,16.318348938049894
"1-Decanol, 2-methyl-",,,,,,,20.55800492083832,,,,,,,,,,,,
"1-Decene, 8-methyl-",,16.128297064816426,,,23.79182611549095,17.341737961303735,16.62015830441966,23.13342641476172,21.399214169454186,,,,,16.318348938049894,17.161130790795806,,,,
1-Deoxypentitol,5.492587507180741,9.55465740107734,6.626991504049017,10.504176711825929,8.180980107473209,,4.650390535140694,7.8331548137904665,8.927193914649346,,5.492587507180741,4.993422941775118,,,1.617489646358388,4.042302684712381,4.650390535140694,5.271128254903739,4.387558178619198
1-Hexadecanol,,,,,,,,,,,,,,,,,,22.03062413594252,
1-Hexanol,15.132034197194876,12.71541301167215,,15.450219862387353,14.602831874048219,14.04887509097324,,12.401988378273696,,14.82252358726726,14.016760511899433,14.097534989379085,13.142314848172498,13.661110744431403,11.451901464096682,15.913007545611654,13.202735672256493,14.908740008406308,14.318504119606336
