node,BiBC
Dlgap4__CPX,221.7443043556095
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-__PLS",230.50839306228227
Iba57__CPX,17.366922592021854
Hmga1__CPX,836.7460075966546
(CH3)2C=NC2H558__PLS,956.5648202415504
Aox3__CPX,43.923850236548994
1-(3-Methylphenyl)piperazine__PLS,100.14440053229902
Tulp4__CPX,2061.8279726516294
Hip1__CPX,344.4140458843717
Spata13__CPX,261.4359013853014
Cebpd__CPX,52.77414257372226
1-Aminocyclopropanecarboxylic acid__PLS,302.93873297072224
Ddb1__CPX,485.38864529450575
"1-Butanamine, N,N-diethyl-__PLS",1244.1632429837061
Igfbp2__CPX,1083.5824642955527
Mfge8__CPX,471.862357007696
Gprc5c__CPX,87.05174716352568
Pi4ka__CPX,126.46095773643135
Imp3__CPX,369.65170311205634
Eipr1__CPX,0.4204458554280504
1-Cyclopentylethanol__PLS,1359.5048319342488
Ubc__CPX,928.401721550037
Tada1__CPX,409.2377184432074
"1-Decene, 8-methyl-__PLS",411.95147671959705
Haus4__CPX,2.547861679091788
Wbp11__CPX,2679.5025413288504
1-Deoxypentitol__PLS,924.3456532128512
Dctn2__CPX,630.2503887406787
Dnajc7__CPX,267.20518833591797
Ndufs3__CPX,104.79455807678178
Ubl3__CPX,2378.5415331496392
Eif3h__CPX,1057.574271364308
Opa1__CPX,923.3200057641807
Fzr1__CPX,46.24084738594526
Tmem184c__CPX,388.123487615299
Apc2__CPX,911.2960454042836
1-Hexadecanol__PLS,98.69267997723215
Kpna4__CPX,4.731677769326727
Gm43339__CPX,3394.8834534301855
1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS,10073.246137196082
Por__CPX,16.50377450414757
Lpgat1__CPX,544.6605621862144
Cmtm8__CPX,492.88733380313096
Tmem204__CPX,875.8559187548306
Aqp11__CPX,434.43251925634206
Col8a1__CPX,629.6878259719078
Ric3__CPX,395.5474145475849
Dcaf12l1__CPX,4427.56873618415
Glod4__CPX,916.4633608668371
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine__PLS",2215.9024455980866
Niban1__CPX,134.49984413058868
"1-Octanol, 2-butyl-__PLS",227.0912282975344
Dynlt2b__CPX,1083.6126319979992
1-Phenethylamine__PLS,1777.027622770062
mt-Tl1__CPX,3.4897598424618854
Cope__CPX,4.622509037767751
"1-Phenyl-1,2-ethanediol__PLS",125.25671259295957
Nt5m__CPX,82.67559892515861
Mfsd2a__CPX,297.5655075812655
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-__PLS",287.5555262594969
Tatdn2__CPX,3551.4712871061934
"1,1'-Biphenyl, 3,4-diethyl-__PLS",1892.9575305209119
"1,2-Benzenedicarboxylic acid__PLS",827.5959674262745
Mrps18a__CPX,271.4308713232698
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-__PLS",199.18336972045583
Sox13__CPX,558.4757962528407
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene__PLS",1510.47788505762
"1,3,5-Benzetriol__PLS",1757.668369832935
Rmnd5b__CPX,69.66340036059857
2810021J22Rik__CPX,1192.1911840611826
Zfp1007__CPX,3963.2958659074834
G2e3__CPX,8.32885338422635
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl __PLS",55.987823571259305
Ergic2__CPX,615.2366551356106
"1,5-Anhydroglucitol__PLS",511.69008773231656
Ibtk__CPX,5618.876593070053
10-Heptadecenoic acid__PLS,5936.278448367218
Osbp__CPX,3392.0094947911225
Rpp30__CPX,1036.572164155928
Sh2b3__CPX,500.6892998959153
Stxbp4__CPX,491.76995724474057
Cnnm4__CPX,34.97518689006528
Atf6b__CPX,941.2100740738144
12-Oxooctadecanoate__PLS,2313.8382180521776
Amfr__CPX,490.5145818052584
Sppl3__CPX,2861.969880851853
Psmd3__CPX,508.47773503693844
Atp6v1f__CPX,270.3466744526576
Emc3__CPX,989.16023934858
Flvcr1__CPX,328.7918242580105
13-Docosenamide__PLS,332.0321161774651
Ptges3__CPX,145.3466715305035
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde__PLS",401.90959919086464
Ankrd12__CPX,732.0903878532764
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate__PLS",6081.349279691578
UNKNOWN__CPX,723.7906544986178
Pdap1__CPX,3922.757323694559
Zfp322a__CPX,1860.0726304043615
Cep57__CPX,704.4497064356535
Erbin__CPX,2736.7321208952144
Lrrc17__CPX,1680.1659204701498
"2-Allyl-1,4-dimethoxybenzene__PLS",620.2329908360023
Tppp3__CPX,320.45948300605494
Crygn__CPX,302.1328593570947
Cast__CPX,185.40419451171422
2-Amino-4-methylphenol__PLS,1292.7648572093008
2-Aminoadipic acid__PLS,665.8742980571001
Ifi209__CPX,0.0
2-Aminobutanoic acid__PLS,0.32177586481747167
Col5a3__CPX,739.6370248006418
"2-Heptanone, 4,6-dimethyl-__PLS",1620.0873741214386
Kif21b__CPX,5.08182620534718
Frg1__CPX,793.1699938286152
Camk1d__CPX,128.95265009110284
Tmem203__CPX,389.921539183933
Tmem259__CPX,3337.9111776093127
2-Heptenoic acid__PLS,1988.1626036064408
Plekhn1__CPX,907.2515050676388
2-Hydroxy-3-methylbutyric acid__PLS,12.68072997770887
Pmm2__CPX,13.07894708197094
Bcl7a__CPX,1918.7424091570124
