node1,node2
Dlgap4__CPX,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-__PLS"
Iba57__CPX,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-__PLS"
Hmga1__CPX,(CH3)2C=NC2H558__PLS
Aox3__CPX,1-(3-Methylphenyl)piperazine__PLS
Tulp4__CPX,1-(3-Methylphenyl)piperazine__PLS
Hip1__CPX,1-(3-Methylphenyl)piperazine__PLS
Spata13__CPX,1-(3-Methylphenyl)piperazine__PLS
Cebpd__CPX,1-Aminocyclopropanecarboxylic acid__PLS
Ddb1__CPX,"1-Butanamine, N,N-diethyl-__PLS"
Igfbp2__CPX,"1-Butanamine, N,N-diethyl-__PLS"
Mfge8__CPX,"1-Butanamine, N,N-diethyl-__PLS"
Gprc5c__CPX,"1-Butanamine, N,N-diethyl-__PLS"
Pi4ka__CPX,"1-Butanamine, N,N-diethyl-__PLS"
Imp3__CPX,"1-Butanamine, N,N-diethyl-__PLS"
Eipr1__CPX,1-Cyclopentylethanol__PLS
Imp3__CPX,1-Cyclopentylethanol__PLS
Ubc__CPX,1-Cyclopentylethanol__PLS
Tada1__CPX,"1-Decene, 8-methyl-__PLS"
Haus4__CPX,"1-Decene, 8-methyl-__PLS"
Wbp11__CPX,1-Deoxypentitol__PLS
Dctn2__CPX,1-Deoxypentitol__PLS
Dnajc7__CPX,1-Deoxypentitol__PLS
Ndufs3__CPX,1-Deoxypentitol__PLS
Ubl3__CPX,1-Deoxypentitol__PLS
Eif3h__CPX,1-Deoxypentitol__PLS
Opa1__CPX,1-Deoxypentitol__PLS
Fzr1__CPX,1-Deoxypentitol__PLS
Tmem184c__CPX,1-Deoxypentitol__PLS
Apc2__CPX,1-Hexadecanol__PLS
Kpna4__CPX,1-Hexadecanol__PLS
Gm43339__CPX,1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS
Por__CPX,1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS
Lpgat1__CPX,1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS
Cmtm8__CPX,1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS
Tmem204__CPX,1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS
Opa1__CPX,1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS
Aqp11__CPX,1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS
Col8a1__CPX,1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS
Ric3__CPX,1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS
Dcaf12l1__CPX,1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS
Glod4__CPX,"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine__PLS"
Niban1__CPX,"1-Octanol, 2-butyl-__PLS"
Dynlt2b__CPX,1-Phenethylamine__PLS
mt-Tl1__CPX,1-Phenethylamine__PLS
Cope__CPX,"1-Phenyl-1,2-ethanediol__PLS"
Nt5m__CPX,"1-Phenyl-1,2-ethanediol__PLS"
Mfsd2a__CPX,"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-__PLS"
Tatdn2__CPX,"1,1'-Biphenyl, 3,4-diethyl-__PLS"
Apc2__CPX,"1,2-Benzenedicarboxylic acid__PLS"
Mrps18a__CPX,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-__PLS"
Sox13__CPX,"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene__PLS"
Ubl3__CPX,"1,3,5-Benzetriol__PLS"
Rmnd5b__CPX,"1,3,5-Benzetriol__PLS"
2810021J22Rik__CPX,"1,3,5-Benzetriol__PLS"
Zfp1007__CPX,"1,3,5-Benzetriol__PLS"
G2e3__CPX,"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl __PLS"
Ergic2__CPX,"1,5-Anhydroglucitol__PLS"
Ibtk__CPX,10-Heptadecenoic acid__PLS
Lpgat1__CPX,10-Heptadecenoic acid__PLS
Dynlt2b__CPX,10-Heptadecenoic acid__PLS
Osbp__CPX,10-Heptadecenoic acid__PLS
Rpp30__CPX,10-Heptadecenoic acid__PLS
Sh2b3__CPX,10-Heptadecenoic acid__PLS
Stxbp4__CPX,10-Heptadecenoic acid__PLS
Cnnm4__CPX,10-Heptadecenoic acid__PLS
Atf6b__CPX,12-Oxooctadecanoate__PLS
Amfr__CPX,12-Oxooctadecanoate__PLS
Sppl3__CPX,12-Oxooctadecanoate__PLS
Mfge8__CPX,12-Oxooctadecanoate__PLS
Psmd3__CPX,12-Oxooctadecanoate__PLS
Atp6v1f__CPX,12-Oxooctadecanoate__PLS
Emc3__CPX,12-Oxooctadecanoate__PLS
Spata13__CPX,12-Oxooctadecanoate__PLS
Flvcr1__CPX,13-Docosenamide__PLS
Ptges3__CPX,"2-(2,5-Dimethoxy-phenyl)-propionaldehyde__PLS"
Ankrd12__CPX,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate__PLS"
UNKNOWN__CPX,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate__PLS"
Pdap1__CPX,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate__PLS"
Zfp322a__CPX,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate__PLS"
Cep57__CPX,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate__PLS"
Erbin__CPX,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate__PLS"
Lrrc17__CPX,"2-Allyl-1,4-dimethoxybenzene__PLS"
Tppp3__CPX,"2-Allyl-1,4-dimethoxybenzene__PLS"
Crygn__CPX,"2-Allyl-1,4-dimethoxybenzene__PLS"
Cast__CPX,2-Amino-4-methylphenol__PLS
Lpgat1__CPX,2-Amino-4-methylphenol__PLS
Osbp__CPX,2-Amino-4-methylphenol__PLS
Lrrc17__CPX,2-Amino-4-methylphenol__PLS
Crygn__CPX,2-Amino-4-methylphenol__PLS
Tatdn2__CPX,2-Aminoadipic acid__PLS
Sox13__CPX,2-Aminoadipic acid__PLS
Ifi209__CPX,2-Aminobutanoic acid__PLS
Col5a3__CPX,"2-Heptanone, 4,6-dimethyl-__PLS"
Kif21b__CPX,"2-Heptanone, 4,6-dimethyl-__PLS"
Frg1__CPX,"2-Heptanone, 4,6-dimethyl-__PLS"
Camk1d__CPX,"2-Heptanone, 4,6-dimethyl-__PLS"
Tmem203__CPX,"2-Heptanone, 4,6-dimethyl-__PLS"
Tmem259__CPX,2-Heptenoic acid__PLS
Plekhn1__CPX,2-Heptenoic acid__PLS
Dynlt2b__CPX,2-Hydroxy-3-methylbutyric acid__PLS
Pmm2__CPX,2-Hydroxy-3-methylbutyric acid__PLS
Bcl7a__CPX,2-Hydroxy-3-methylbutyric acid__PLS
Cebpd__CPX,2-Hydroxy-3-methylbutyric acid__PLS
Cep78__CPX,2-Hydroxy-3-methylbutyric acid__PLS
Cyren__CPX,2-Hydroxy-5-methoxybenzaldehyde__PLS
Flcn__CPX,2-Hydroxybutyric acid__PLS
Stat3__CPX,2-Hydroxybutyric acid__PLS
Brd2__CPX,2-Hydroxybutyric acid__PLS
Uqcc5__CPX,2-Hydroxybutyric acid__PLS
Trpc4ap__CPX,2-Hydroxybutyric acid__PLS
Atp7a__CPX,2-Hydroxybutyric acid__PLS
Osbp__CPX,2-Isopropyl-5-methyl-1-heptanol__PLS
Wapl__CPX,2-Isopropyl-5-methyl-1-heptanol__PLS
G2e3__CPX,2-Isopropyl-5-methyl-1-heptanol__PLS
2410124H12Rik__CPX,2-Ketoisocaproic acid__PLS
Tmem259__CPX,2-Methyl-4-pentenoic acid__PLS
Rora__CPX,2-Methyl-4-pentenoic acid__PLS
Tspan9__CPX,2-Methyl-4-pentenoic acid__PLS
Ehd1__CPX,2-Methylglutaconic acid__PLS
Cep78__CPX,"2-Propenamide, 3-phenyl-N-2-propenyl-__PLS"
Gm1976__CPX,"2-Propenamide, 3-phenyl-N-2-propenyl-__PLS"
Ildr2__CPX,"2,2-Diallylpyrrolidine__PLS"
Mia2__CPX,"2,2-Diallylpyrrolidine__PLS"
Mafg__CPX,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate__PLS"
Hsdl2__CPX,"2,3-Butanediol__PLS"
Josd1__CPX,"2,3-Butanediol__PLS"
Lrrc17__CPX,"2,3,4-Trihydroxybutyric acid tetrakis__PLS"
Ubl3__CPX,"2,3,4-Trihydroxybutyric acid tetrakis__PLS"
Rad54l2__CPX,"2,3,4-Trihydroxybutyric acid tetrakis__PLS"
Nedd4__CPX,"2,4-Imidazolidinedione, 5,5-dimethyl-__PLS"
Pycr2__CPX,"2,4-Imidazolidinedione, 5,5-dimethyl-__PLS"
Adam15__CPX,"2,4-Imidazolidinedione, 5,5-dimethyl-__PLS"
Atp6v1f__CPX,"2,4-Imidazolidinedione, 5,5-dimethyl-__PLS"
Fzr1__CPX,"2,4-Imidazolidinedione, 5,5-dimethyl-__PLS"
Rpp30__CPX,"2,4-Imidazolidinedione, 5,5-dimethyl-__PLS"
Tmem62__CPX,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-__PLS"
Dr1__CPX,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-__PLS"
Gm1976__CPX,"2,5-di-tert-Butyl-1,4-benzoquinone__PLS"
Foxc2__CPX,"2,5-Dimethoxymandelic acid__PLS"
Usp22__CPX,"2,5-Dimethoxymandelic acid__PLS"
Nedd4__CPX,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS"
Wbp11__CPX,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS"
Pycr2__CPX,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS"
Ubl3__CPX,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS"
Fndc3a__CPX,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS"
Mrps18a__CPX,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS"
Wapl__CPX,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS"
Sh3bgrl__CPX,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS"
Erbin__CPX,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS"
Rad54l2__CPX,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS"
Hlf__CPX,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS"
Zfp36l2__CPX,"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine__PLS"
Erbin__CPX,"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine__PLS"
Emd__CPX,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline__PLS"
9530026P05Rik__CPX,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline__PLS"
Ric3__CPX,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline__PLS"
Zfp1007__CPX,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline__PLS"
Sytl2__CPX,"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline__PLS"
Ppp4c__CPX,"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester__PLS"
Reep2__CPX,"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester__PLS"
G2e3__CPX,3-Amino-2-piperidone__PLS
Dhx9__CPX,3-Amino-2-piperidone__PLS
Rlbp1__CPX,3-Aminobutanoic acid__PLS
Tgfb1i1__CPX,"3-Buten-2-one, 3-trimethylsilyloxy-__PLS"
Zfp300__CPX,"3-Buten-2-one, 4-(4-methoxyphenyl)-__PLS"
Cebpd__CPX,"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-__PLS"
Lpgat1__CPX,3-Hexenedinitrile__PLS
Rpp30__CPX,3-Hexenedinitrile__PLS
Dnajc7__CPX,"3-Hydroxy-2,3-dihydromaltol__PLS"
Ubl3__CPX,"3-Hydroxy-2,3-dihydromaltol__PLS"
Heatr3__CPX,"3-Hydroxy-2,3-dihydromaltol__PLS"
Tmem259__CPX,3-Hydroxyisovaleric acid__PLS
Gm5141__CPX,3-Hydroxyisovaleric acid__PLS
Rora__CPX,3-Indoleacetic acid__PLS
Adam15__CPX,3-Indoleacetic acid__PLS
Wrn__CPX,3-Indoleacetic acid__PLS
Wbp4__CPX,3-Indoleacetic acid__PLS
Evi5__CPX,3-Indoleacetic acid__PLS
Smc4__CPX,3-Indoleacetic acid__PLS
Fcf1__CPX,3-Methoxysalicylic acid__PLS
Osbp__CPX,3-Methoxysalicylic acid__PLS
Cep41__CPX,3-Methoxysalicylic acid__PLS
Rpp30__CPX,3-Methoxysalicylic acid__PLS
Dync1h1__CPX,3-Methoxysalicylic acid__PLS
Dnajc13__CPX,3-Nonen-1-ol__PLS
Nedd4__CPX,"3,5-Dimethylpyrazole__PLS"
Gnas__CPX,"3,5-Dimethylpyrazole__PLS"
Rpp30__CPX,"3,5-Dimethylpyrazole__PLS"
Ttf1__CPX,3'-(Trimethylsilyl)oxy-beta-naphthoflavone__PLS
mt-Nd2__CPX,3'-(Trimethylsilyl)oxy-beta-naphthoflavone__PLS
Pdap1__CPX,3'-(Trimethylsilyl)oxy-beta-naphthoflavone__PLS
Tpr__CPX,3'-(Trimethylsilyl)oxy-beta-naphthoflavone__PLS
Wbp11__CPX,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene__PLS"
Slk__CPX,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene__PLS"
Lrrc17__CPX,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene__PLS"
Mafg__CPX,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene__PLS"
Tmem184c__CPX,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene__PLS"
Rad54l2__CPX,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene__PLS"
Scrib__CPX,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene__PLS"
Gm17530__CPX,4-(Methoxycarbonyl)phenol__PLS
Dnajc7__CPX,4-Hydroxybenzeneacetic acid__PLS
Ubl3__CPX,4-Hydroxybenzeneacetic acid__PLS
Heatr3__CPX,4-Hydroxybenzeneacetic acid__PLS
Erbin__CPX,4-Hydroxybenzeneacetic acid__PLS
Crygn__CPX,4-Hydroxybenzeneacetic acid__PLS
Zfp322a__CPX,4-Hydroxybenzoic acid__PLS
Ube3c__CPX,4-Hydroxybenzoic acid__PLS
Nicol1__CPX,4-Hydroxybutanoic acid__PLS
Tmem259__CPX,4-Hydroxyphenyllactic acid__PLS
Vps36__CPX,4-Hydroxyphenyllactic acid__PLS
Adck2__CPX,5-Henicosylresorcinol__PLS
Cyyr1__CPX,5-Hydroxyquinoline__PLS
Dynlt2b__CPX,5-Hydroxyquinoline__PLS
Osbp__CPX,5-Hydroxyquinoline__PLS
Fcho2__CPX,5-Hydroxyquinoline__PLS
Wbp11__CPX,"6,7,4'-Trihydroxyisoflavone__PLS"
Silc1__CPX,"6,7,4'-Trihydroxyisoflavone__PLS"
Lpgat1__CPX,"6,7,4'-Trihydroxyisoflavone__PLS"
Osbp__CPX,"6,7,4'-Trihydroxyisoflavone__PLS"
Lrrc17__CPX,"6,7,4'-Trihydroxyisoflavone__PLS"
G2e3__CPX,"6,7,4'-Trihydroxyisoflavone__PLS"
Rpp30__CPX,"6,7,4'-Trihydroxyisoflavone__PLS"
Mef2a__CPX,"6,7,4'-Trihydroxyisoflavone__PLS"
