node,BiBC
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",0.0
Phthalazin-1-one-F,0.0
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",0.0
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F",0.0
"2,5-Dimethoxymandelic acid-F",0.0
"2-Allyl-1,4-dimethoxybenzene-F",0.0
2-Hydroxy-2-methylbutyric acid-F,0.0
"2-Pentenedioic acid, 2-hydroxy--F",0.0
pyrazole-F,0.0
4-Coumaric acid-F,0.0
9-Octadecenoic acid-F,0.0
Acetoacetic acid-F,0.0
D-(-)-Fructopyranose-F,0.0
l-Leucyl-l-valine-F,0.0
Myristic acid-F,0.0
Oxalic acid-F,0.0
Pantolactone-F,0.0
Ribonic acid-F,0.0
"Stigmast-5-ene, 3beta-F",0.0
Xylose-F,0.0
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",0.0
D-(+)-Talofuranose-F,0.0
Monocaprylin-F,0.0
(CH3)2C=NC2H558-P,0.0
"5,8,11-Eicosatrienoic acid-F",0.0
"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate-F",0.0
(pm)-N-Propylamphetamine-P,0.0
11-Methyldodecanol-F,0.0
Methyl stearate-F,0.0
n-Nonylcyclohexane-F,0.0
Tripropylene glycol monomethyl ether-F,0.0
(pm)-Norketamine-P,0.0
"2,3,4-Trihydroxybutyric acid-F",0.0
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-F",0.0
2-Ethylacetoacetate-F,0.0
4-Methyl-5-thiazoleethanol-F,0.0
"Gluconolactone (3R,4S,5R,6R)-F",0.0
Pentanedioic acid-F,0.0
Salsoline-F,0.0
Syringaldehyde-F,0.0
Vanillin-F,0.0
(pm)-Phenylpropanolamine-P,0.0
2-Piperidinone-F,0.0
5-Aminovaleric acid-F,0.0
5-Hydroxymethyl-2-furoic acid-F,0.0
Itaconic acid-F,0.0
L-Valine-F,0.0
"(R*,S*)-2,3-Dihydroxybutanoic acid-P",0.0
2-Ketobutyric acid-F,0.0
3-Undecene-F,0.0
Cyclohexanemethanol-F,0.0
