node,BiBC
Dlgap4--CPX,22.985996760277654
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl---PLS",0.0
Iba57--CPX,0.0
Hmga1--CPX,2514.9340691788598
(CH3)2C=NC2H558--PLS,2349.529959660931
Aox3--CPX,75.2383446926921
1-(3-Methylphenyl)piperazine--PLS,330.93224151561003
Tulp4--CPX,4090.977511171452
Hip1--CPX,552.8320576401817
Spata13--CPX,362.9441926117548
Cebpd--CPX,56.21077303651023
1-Aminocyclopropanecarboxylic acid--PLS,8.072646418795408
Ddb1--CPX,470.1448265018681
"1-Butanamine, N,N-diethyl---PLS",1608.4837547812408
Igfbp2--CPX,1388.7969648859928
Mfge8--CPX,854.2073929150494
Gprc5c--CPX,542.1917935931484
Pi4ka--CPX,552.7065907523968
Imp3--CPX,1005.1708241381834
Eipr1--CPX,12.467963671111713
1-Cyclopentylethanol--PLS,1332.734761038099
Ubc--CPX,1195.0949404018336
Tada1--CPX,866.9272646554964
"1-Decene, 8-methyl---PLS",765.9688920862433
Haus4--CPX,3.593360288827762
Wbp11--CPX,6055.390550339551
1-Deoxypentitol--PLS,1401.6778662351426
Dctn2--CPX,1030.6821939422684
Dnajc7--CPX,1050.2400344700168
Ndufs3--CPX,86.42917191202203
Ubl3--CPX,3804.0000423544734
Eif3h--CPX,1392.6995601560725
Opa1--CPX,801.0419603588932
Fzr1--CPX,232.03754630463808
Tmem184c--CPX,525.0071922256737
Apc2--CPX,2656.7752995516316
1-Hexadecanol--PLS,1306.692415662416
Kpna4--CPX,422.33567114997015
Gm43339--CPX,1349.3582033843368
1-Hydroxy-3-methoxy-6-methylanthraquinone--PLS,3175.6222507497723
Por--CPX,435.8733222205699
Lpgat1--CPX,522.8124386808183
Cmtm8--CPX,1957.2262161309234
Tmem204--CPX,588.383827382639
Aqp11--CPX,109.84586555393474
Col8a1--CPX,309.10926625394586
Ric3--CPX,405.0197314306143
Dcaf12l1--CPX,4307.889142100959
Glod4--CPX,1444.7528861021724
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine--PLS",361.55506486670663
Niban1--CPX,886.2347606613944
"1-Octanol, 2-butyl---PLS",552.64990318371
Dynlt2b--CPX,1059.936367705562
1-Phenethylamine--PLS,230.6114544011567
mt-Tl1--CPX,14.893933476344795
Cope--CPX,10.976609265045312
"1-Phenyl-1,2-ethanediol--PLS",41.60957828798587
Nt5m--CPX,331.7660081644074
Mfsd2a--CPX,671.8302708199543
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl---PLS",699.9751739103259
Tatdn2--CPX,3103.0175952420977
"1,1'-Biphenyl, 3,4-diethyl---PLS",1789.8175776249368
"1,2-Benzenedicarboxylic acid--PLS",1027.871000803159
Mrps18a--CPX,398.12643859782736
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy---PLS",604.9816080249539
Sox13--CPX,712.5144297688394
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene--PLS",465.19445345399527
"1,3,5-Benzetriol--PLS",2421.37033834908
Rmnd5b--CPX,124.73777193536912
2810021J22Rik--CPX,1419.9418707144994
Zfp1007--CPX,3006.0225420994575
G2e3--CPX,224.4134740732375
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl --PLS",655.7178268972406
Ergic2--CPX,2770.285179513853
"1,5-Anhydroglucitol--PLS",915.0001276539654
Ibtk--CPX,2846.894878683278
10-Heptadecenoic acid--PLS,3712.162668969117
Osbp--CPX,3403.8273188576786
Rpp30--CPX,1195.1370505626687
Sh2b3--CPX,395.15345617226296
Stxbp4--CPX,671.884411283982
Cnnm4--CPX,36.84966257652756
Atf6b--CPX,1843.2669706416038
12-Oxooctadecanoate--PLS,2961.6495102075355
Amfr--CPX,931.3856858328271
Sppl3--CPX,5128.531803730367
Psmd3--CPX,898.8194450354783
Atp6v1f--CPX,604.7456643286444
Emc3--CPX,1240.763273498344
Flvcr1--CPX,357.28642951000825
13-Docosenamide--PLS,312.788100618817
Ptges3--CPX,240.39074508985124
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde--PLS",133.03621338855817
Ankrd12--CPX,991.9432870395
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate--PLS",6530.355107453629
UNKNOWN--CPX,851.2776312525863
Pdap1--CPX,4345.619765103497
Zfp322a--CPX,1116.5219463059516
Cep57--CPX,752.9914984370816
Erbin--CPX,3491.4380949687
Lrrc17--CPX,2015.745233566916
"2-Allyl-1,4-dimethoxybenzene--PLS",305.27287799574276
Tppp3--CPX,750.268530419881
Crygn--CPX,281.19427874983836
Cast--CPX,152.3411475255474
2-Amino-4-methylphenol--PLS,103.67300894540224
2-Aminoadipic acid--PLS,1493.6142260752474
Col5a3--CPX,193.60572049493723
"2-Heptanone, 4,6-dimethyl---PLS",249.6479329582954
Kif21b--CPX,4.238441679398029
Frg1--CPX,638.4634661449529
Camk1d--CPX,11.170913731395093
Tmem203--CPX,392.37271765116816
Tmem259--CPX,4122.450566456251
2-Heptenoic acid--PLS,1020.714485533036
Plekhn1--CPX,747.1927109488369
2-Hydroxy-3-methylbutyric acid--PLS,69.12209431218139
Pmm2--CPX,9.678617647318868
Bcl7a--CPX,1708.9234394281566
Cep78--CPX,36.98328272234598
Cyren--CPX,87.78496094450766
2-Hydroxy-5-methoxybenzaldehyde--PLS,1316.4723457633481
Flcn--CPX,1171.2338371910248
2-Hydroxybutyric acid--PLS,1005.6812922297947
Stat3--CPX,29.957483415297567
Brd2--CPX,0.0
Uqcc5--CPX,1527.0564677188283
Trpc4ap--CPX,93.77406733708742
Atp7a--CPX,357.2381214770383
2-Isopropyl-5-methyl-1-heptanol--PLS,54.34538731523325
Wapl--CPX,2364.658232940408
2410124H12Rik--CPX,1340.9999999999636
2-Ketoisocaproic acid--PLS,0.0
2-Methyl-4-pentenoic acid--PLS,1438.6139214725902
Rora--CPX,4701.279152715492
Tspan9--CPX,115.2023173710442
Ehd1--CPX,3384.387579487703
2-Methylglutaconic acid--PLS,274.8710419417877
"2-Propenamide, 3-phenyl-N-2-propenyl---PLS",58.59812262291883
Gm1976--CPX,1010.9596411800156
Ildr2--CPX,696.1376335855422
"2,2-Diallylpyrrolidine--PLS",293.0595798843247
Mia2--CPX,106.44184579115607
Mafg--CPX,4110.3297802764255
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate--PLS",1174.839058153436
Hsdl2--CPX,534.6358246218012
"2,3-Butanediol--PLS",0.775202574575663
Josd1--CPX,602.7917383012408
"2,3,4-Trihydroxybutyric acid tetrakis--PLS",259.7093818500189
Rad54l2--CPX,707.3340338819402
Nedd4--CPX,3070.5050025408505
"2,4-Imidazolidinedione, 5,5-dimethyl---PLS",2486.740478192362
Pycr2--CPX,1387.3974790986383
Adam15--CPX,2117.593204889808
Tmem62--CPX,1583.6282024598183
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)---PLS",963.4013637647964
Dr1--CPX,158.79498220970777
"2,5-di-tert-Butyl-1,4-benzoquinone--PLS",1395.5821476896658
Foxc2--CPX,0.0
"2,5-Dimethoxymandelic acid--PLS",3.7144438894438903
Usp22--CPX,7.008752078036449
"2,5-Piperazinedione, 3-benzyl-6-isopropyl---PLS",6928.159771121077
Fndc3a--CPX,288.7221882401833
Sh3bgrl--CPX,6054.118691318882
Hlf--CPX,1555.099453239659
Zfp36l2--CPX,2005.4676177421559
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine--PLS",645.4828688616502
Emd--CPX,262.851103984722
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline--PLS",918.2012046783996
9530026P05Rik--CPX,118.8076959334019
Sytl2--CPX,1000.7262821203424
Ppp4c--CPX,1295.6922241369132
"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester--PLS",392.0342729304243
Reep2--CPX,0.0
3-Amino-2-piperidone--PLS,178.1765122277506
Dhx9--CPX,389.4292983648835
Rlbp1--CPX,569.1516486517314
3-Aminobutanoic acid--PLS,114.44129719114133
Tgfb1i1--CPX,0.0
"3-Buten-2-one, 3-trimethylsilyloxy---PLS",0.0
Zfp300--CPX,0.0
"3-Buten-2-one, 4-(4-methoxyphenyl)---PLS",2.1666666666666665
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl---PLS",52.77359971504384
3-Hexenedinitrile--PLS,1275.129239488901
"3-Hydroxy-2,3-dihydromaltol--PLS",207.52967858064767
Heatr3--CPX,79.97869221136045
3-Hydroxyisovaleric acid--PLS,763.7321908716204
Gm5141--CPX,121.80048421822995
3-Indoleacetic acid--PLS,7560.333505156078
Wrn--CPX,39.03631033318658
Wbp4--CPX,8265.251807514547
Evi5--CPX,1101.716229506902
Smc4--CPX,407.51949010136974
Fcf1--CPX,541.358027417117
3-Methoxysalicylic acid--PLS,800.9678268453346
Cep41--CPX,968.8444185273806
Dync1h1--CPX,1026.7648909401119
Dnajc13--CPX,897.8877259251426
3-Nonen-1-ol--PLS,232.58952937439568
