Node 1 Name,Node 1 Tissue,Node 2 Name,Node 2 Tissue,edge_dir
Cope,Choroid Plexus,"2,4-Di-tert-butylphenol",Feces,-1
Spmip6,Choroid Plexus,"2,4-Di-tert-butylphenol",Feces,-1
Vps37d,Choroid Plexus,"2,4-Di-tert-butylphenol",Feces,-1
Nedd4,Choroid Plexus,L-Valine,Feces,1
Wbp11,Choroid Plexus,L-Valine,Feces,1
Usf3,Choroid Plexus,L-Valine,Feces,1
Fn3krp,Choroid Plexus,L-Valine,Feces,1
Pak2,Choroid Plexus,L-Valine,Feces,1
Cebpz,Choroid Plexus,L-Valine,Feces,1
Kin,Choroid Plexus,L-Valine,Feces,1
Ibtk,Choroid Plexus,L-Valine,Feces,1
Ctdspl2,Choroid Plexus,L-Valine,Feces,1
Pabpc1,Choroid Plexus,L-Valine,Feces,1
Kif2a,Choroid Plexus,L-Valine,Feces,1
Arhgef12,Choroid Plexus,L-Valine,Feces,1
Arhgap5,Choroid Plexus,L-Valine,Feces,1
Slk,Choroid Plexus,L-Valine,Feces,1
Cdkn1c,Choroid Plexus,L-Valine,Feces,1
Smim10l1,Choroid Plexus,L-Valine,Feces,1
Ap3b1,Choroid Plexus,L-Valine,Feces,1
Wasl,Choroid Plexus,L-Valine,Feces,1
Gsk3b,Choroid Plexus,L-Valine,Feces,1
D630036H23Rik,Choroid Plexus,L-Valine,Feces,1
Pbx1,Choroid Plexus,L-Valine,Feces,1
Tulp4,Choroid Plexus,L-Valine,Feces,1
Wbp4,Choroid Plexus,L-Valine,Feces,1
Vps13b,Choroid Plexus,L-Valine,Feces,1
Setx,Choroid Plexus,L-Valine,Feces,1
Pcmtd1,Choroid Plexus,L-Valine,Feces,1
Mafg,Choroid Plexus,L-Valine,Feces,1
B230219D22Rik,Choroid Plexus,L-Valine,Feces,1
Stag2,Choroid Plexus,L-Valine,Feces,1
Phactr2,Choroid Plexus,L-Valine,Feces,1
Fcho2,Choroid Plexus,L-Valine,Feces,1
Smarca5,Choroid Plexus,L-Valine,Feces,1
Gtpbp4,Choroid Plexus,L-Valine,Feces,1
Vps36,Choroid Plexus,L-Valine,Feces,1
Mob4,Choroid Plexus,Deoxyglucose,Feces,-1
Igfbp6,Choroid Plexus,Deoxyglucose,Feces,-1
Silc1,Choroid Plexus,Vanillin,Feces,-1
Adcy9,Choroid Plexus,Vanillin,Feces,-1
Cdkn1c,Choroid Plexus,Vanillin,Feces,1
Gm43568,Choroid Plexus,Vanillin,Feces,1
Smim10l1,Choroid Plexus,Vanillin,Feces,1
Rdx,Choroid Plexus,Vanillin,Feces,1
Golm2,Choroid Plexus,Vanillin,Feces,1
Cnih2,Choroid Plexus,Vanillin,Feces,-1
Osgepl1,Choroid Plexus,Vanillin,Feces,1
Atn1,Choroid Plexus,Vanillin,Feces,1
Map3k5,Choroid Plexus,Vanillin,Feces,1
Ptgr3,Choroid Plexus,Vanillin,Feces,1
Serpinb8,Choroid Plexus,Vanillin,Feces,1
Gsta4,Choroid Plexus,Vanillin,Feces,1
Dnajc21,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Bhmt2,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Psma4,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Prxl2c,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Smim10l1,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Asb8,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,-1
Wbp4,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Setx,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Cep57,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Ofd1,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
Efhb,Choroid Plexus,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,1
