Node 1 Name,Node 1 Tissue,Node 2 Name,Node 2 Tissue,edge_dir
L-Valine,Feces,L-Serine,Feces,1
L-Valine,Feces,4-Hydroxybenzaldehyde,Feces,1
L-Valine,Feces,D-(+)-Glucosamine,Feces,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Feces,Serine,Feces,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",Feces,4-Hydroxybenzaldehyde,Feces,1
Methylsuccinic acid,Feces,Niacinamide,Feces,1
Methylsuccinic acid,Feces,17-alpha-Hydroxypregnenolone,Feces,-1
Methylsuccinic acid,Feces,9H-Purin-6-ol,Feces,1
Methylsuccinic acid,Feces,D-(+)-Glucosamine,Feces,1
Methylsuccinic acid,Feces,Hydracrylic acid,Feces,1
Methylsuccinic acid,Feces,L-(-)-Sorbofuranose,Feces,1
Methylsuccinic acid,Feces,L-Glutamic acid,Feces,1
DL-Phenylalanine,Feces,4-Hydroxybenzaldehyde,Feces,1
DL-Phenylalanine,Feces,L-Isoleucine,Feces,1
DL-Phenylalanine,Feces,Phenylalanine,Feces,1
DL-Phenylalanine,Feces,Uracil,Feces,1
"Gluconolactone (3R,4S,5R,6R)",Feces,Syringaldehyde,Feces,1
L-Isoleucine,Feces,Phenylalanine,Feces,1
L-Isoleucine,Feces,Serine,Feces,1
L-Isoleucine,Feces,Tyrosine,Feces,1
"2-Butenoic acid, 2-hydroxy-",Feces,1-Tetradecanol,Feces,1
"2-Butenoic acid, 2-hydroxy-",Feces,"2',2,3,6'-Tetramethoxychalcone",Feces,-1
"2-Butenoic acid, 2-hydroxy-",Feces,3-Deoxyhexitol,Feces,1
"2-Butenoic acid, 2-hydroxy-",Feces,Butyl Succinate,Feces,1
"2-Butenoic acid, 2-hydroxy-",Feces,"Hexadecanoic acid, 4-hydroxybutyl ester",Feces,1
"2,5-Dimethoxyphenol",Feces,"2-Allyl-1,4-dimethoxybenzene ",Feces,1
"2,5-Dimethoxyphenol",Feces,2-Hydroxy-3-methylbutyric acid,Feces,1
"2,5-Dimethoxyphenol",Feces,Syringaldehyde,Feces,1
"2-Allyl-1,4-dimethoxybenzene ",Feces,3-Hexenedioic acid,Feces,1
"2-Allyl-1,4-dimethoxybenzene ",Feces,4-Pyridinol,Feces,1
"2-Allyl-1,4-dimethoxybenzene ",Feces,Syringaldehyde,Feces,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Feces,Cyclohexanecarboxylic acid,Feces,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Feces,"Hexadecanoic acid, 4-hydroxybutyl ester",Feces,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Feces,Myristic acid,Feces,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Feces,Pentanoic acid,Feces,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Feces,Tetrahydrogeranyl formate,Feces,1
3-Hexenedioic acid,Feces,5-Hydroxymethyl-2-furoic acid,Feces,1
3-Hexenedioic acid,Feces,beta-Arabinopyranose,Feces,1
