Node 1 Name,Node 1 Tissue,Node 2 Name,Node 2 Tissue,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Pooled r,Pooled p-values,Pooled n,r Count,Consistent,Sign,edge_dir,Pooled FDR
"1-Cyclohexanone, 3-butyl-3-methyl--P",Plasma,Protocatechoic acid-F,Feces,-1,0,3,-1,0,3,,,0,-1,0,6,2,TRUE,-,-1,0
"1,3,5-Benzetriol-P",Plasma,Phthalimide-F,Feces,1,0,3,1,0,3,,,0,1,0,6,2,TRUE,+,1,0
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one-P,Plasma,Xylazine-F,Feces,,,1,-1,0,3,-1,0,3,-1,0,7,2,TRUE,-,-1,0
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P",Plasma,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F",Feces,-1,0,4,-1,0,3,,,0,-1,0,7,2,TRUE,-,-1,0
"Cyclohexene, 3-butyl-3-methyl-1-trimethylsilyloxy--P",Plasma,Phthalimide-F,Feces,-1,0,3,-1,0,3,,,0,-1,0,6,2,TRUE,-,-1,0
DL-Glyceraldehyde-P,Plasma,"2-Methyl-4,6-dinitrophenol-F",Feces,-1,0,3,-1,0,4,,,0,-1,0,7,2,TRUE,-,-1,0
N-Isobutyrylglycine-P,Plasma,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F",Feces,-1,0,4,-1,0,3,,,0,-1,0,7,2,TRUE,-,-1,0
"D-Xylofuranose, 1,2,3,5-tetrakis-O--P",Plasma,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F",Feces,0.985610761,0.000309086,6,1,0,3,,,0,0.995824616,1.54E-08,9,2,TRUE,+,1,7.73E-05
1-Aminocyclopropanecarboxylic acid-P,Plasma,3-Pyridylcarbinol-F,Feces,0.809461419,0.000145305,16,0.084343471,0.842604396,8,0.8,0.2,4,0.838356668,2.57E-08,28,3,TRUE,+,1,0.000114378
"3-Methylpiperazine-2,5-dione, (R)--P",Plasma,Kojic acid-F,Feces,0.684675168,0.006903062,14,0.607142857,0.148231161,7,,,0,0.892752728,5.27E-08,21,2,TRUE,+,1,0.000211491
