node,node_dir
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",-1
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",-1
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",-1
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",-1
1-Dodecanol,-1
1-Dodecanol,-1
1-Hexacosene,-1
1-Hexacosene,-1
1-Hexanol,1
1-Hexanol,1
1-Methyl-4-hydroxy-1H-imidazol-2-amine,-1
1-Methyl-4-hydroxy-1H-imidazol-2-amine,-1
1-Monopalmitin,1
1-Monopalmitin,1
1-Octadecanol,-1
1-Octadecanol,-1
1-Octanol,1
1-Octanol,1
"1-Propanamine, N,N-diethyl-",-1
"1-Propanamine, N,N-diethyl-",-1
1-Tetracosene,-1
1-Tetracosene,-1
1-Tetradecanol,-1
1-Tetradecanol,-1
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",-1
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",-1
"1,4-Butanediol",1
"1,4-Butanediol",1
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",-1
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",-1
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,-1
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,-1
12-Oxooctadecanoate,1
12-Oxooctadecanoate,1
13-Docosenamide,-1
13-Docosenamide,-1
17-alpha-Hydroxypregnenolone,1
17-alpha-Hydroxypregnenolone,1
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",-1
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",-1
"2-Allyl-1,4-dimethoxybenzene ",-1
"2-Allyl-1,4-dimethoxybenzene ",-1
2-Aminobutanoic acid,-1
2-Aminobutanoic acid,-1
"2-Butenoic acid, 2-hydroxy-",-1
"2-Butenoic acid, 2-hydroxy-",-1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",-1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",-1
2-Ethylacetoacetate,-1
2-Ethylacetoacetate,-1
2-Ethylhexanoic acid,-1
2-Ethylhexanoic acid,-1
"2-Furanacetaldehyde, tetrahydro-alpha",1
"2-Furanacetaldehyde, tetrahydro-alpha",1
2-Hydroxy-3-methylbutyric acid,-1
2-Hydroxy-3-methylbutyric acid,-1
2-Palmitoylglycerol,1
2-Palmitoylglycerol,1
"2-Pentenedioic acid, 2-hydroxy-",-1
"2-Pentenedioic acid, 2-hydroxy-",-1
2-Piperidinone,-1
2-Piperidinone,-1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1
2-Pyrrolidinone,-1
2-Pyrrolidinone,-1
"2,3-Butanediol",-1
"2,3-Butanediol",-1
"2,3,4-Trihydroxybutyric acid",-1
"2,3,4-Trihydroxybutyric acid",-1
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",-1
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",-1
"2,4-Di-tert-butylphenol",-1
"2,4-Di-tert-butylphenol",-1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",-1
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",-1
"2,5-Di-tert-butyl-4-hydroxyphenol",-1
"2,5-Di-tert-butyl-4-hydroxyphenol",-1
"2,5-Dimethoxybenzhydrazide",-1
"2,5-Dimethoxybenzhydrazide",-1
"2,5-Dimethoxyphenol",-1
"2,5-Dimethoxyphenol",-1
2'-Deoxyribolactone,-1
2'-Deoxyribolactone,-1
2'-Desoxyuridine,-1
2'-Desoxyuridine,-1
"2',2,3,6'-Tetramethoxychalcone",1
"2',2,3,6'-Tetramethoxychalcone",1
3-(3-Hydroxyphenyl)propanoic acid,-1
3-(3-Hydroxyphenyl)propanoic acid,-1
3-Aminobutanoic acid,1
3-Aminobutanoic acid,1
3-Buten-2-one,1
3-Buten-2-one,1
3-Deoxyhexitol,-1
3-Deoxyhexitol,-1
3-Hexenedioic acid,-1
3-Hexenedioic acid,-1
"3-Hydroxy-2,3-dihydromaltol",-1
"3-Hydroxy-2,3-dihydromaltol",-1
3-Hydroxybutyric acid,-1
3-Hydroxybutyric acid,-1
3-Hydroxyisovaleric acid,-1
3-Hydroxyisovaleric acid,-1
3-Hydroxypicolinic acid,1
3-Hydroxypicolinic acid,1
3-Methyl-2-furoic acid,1
3-Methyl-2-furoic acid,1
3-O-methyl-beta-D-Glucopyranose,1
3-O-methyl-beta-D-Glucopyranose,1
3-Pyridylcarbinol,-1
3-Pyridylcarbinol,-1
3-Undecene,-1
3-Undecene,-1
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,-1
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,-1
4-Hydroxybenzaldehyde,-1
4-Hydroxybenzaldehyde,-1
4-Hydroxybenzoic acid,-1
4-Hydroxybenzoic acid,-1
4-Hydroxybutanoic acid,-1
4-Hydroxybutanoic acid,-1
4-Hydroxyphenyllactic acid,-1
4-Hydroxyphenyllactic acid,-1
4-Methyl-5-thiazoleethanol,-1
4-Methyl-5-thiazoleethanol,-1
4-Pyridinol,-1
4-Pyridinol,-1
5-Hydroxymethyl-2-furoic acid,-1
5-Hydroxymethyl-2-furoic acid,-1
5-Methyluridine,-1
5-Methyluridine,-1
5-Oxohexanoic Acid,1
5-Oxohexanoic Acid,1
6-Hydroxyhexanoic acid,-1
6-Hydroxyhexanoic acid,-1
8-Hydroxy-5-(hydroxymethyl)quinoline,-1
8-Hydroxy-5-(hydroxymethyl)quinoline,-1
9-Octadecenamide,-1
9-Octadecenamide,-1
9-Octadecenoic acid,1
9-Octadecenoic acid,1
9H-Purin-6-ol,-1
9H-Purin-6-ol,-1
"Acetamide, N-(2-butyl)-N-methyl-",-1
"Acetamide, N-(2-butyl)-N-methyl-",-1
Aconitic acid,-1
Aconitic acid,-1
alpha-L-(-)-Fucopyranose,1
alpha-L-(-)-Fucopyranose,1
alpha-Linolenic acid,-1
alpha-Linolenic acid,-1
alpha-Tocopheryl acetate,1
alpha-Tocopheryl acetate,1
Arabinitol,-1
Arabinitol,-1
"Arabinofuranose, 1,2,3,5-tetrakis",-1
"Arabinofuranose, 1,2,3,5-tetrakis",-1
Arabinose,1
Arabinose,1
Azelaic acid,1
Azelaic acid,1
"Azetidine, 1-acetyl-2-methyl",-1
"Azetidine, 1-acetyl-2-methyl",-1
Benzoic Acid,-1
Benzoic Acid,-1
beta-Alanine,-1
beta-Alanine,-1
beta-Arabinopyranose,-1
beta-Arabinopyranose,-1
beta-D-(-)-Ribopyranose,-1
beta-D-(-)-Ribopyranose,-1
"beta-D-Galactopyranoside, methyl-, acetate",1
"beta-D-Galactopyranoside, methyl-, acetate",1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",-1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",-1
Butanedioic acid,-1
Butanedioic acid,-1
"Butanoic acid, 3,4-dihydroxy-",-1
"Butanoic acid, 3,4-dihydroxy-",-1
Butyl caprylate,-1
Butyl caprylate,-1
Butyl Succinate,-1
Butyl Succinate,-1
Campesterol,1
Campesterol,1
Cholesterol,-1
Cholesterol,-1
"cis-4,5-Dihydroxy-o-dithiane",-1
"cis-4,5-Dihydroxy-o-dithiane",-1
Citric acid,-1
Citric acid,-1
Cyclohexanecarboxylic acid,-1
Cyclohexanecarboxylic acid,-1
Cyclohexanemethanol,-1
Cyclohexanemethanol,-1
Cyclohexanol,1
Cyclohexanol,1
Cytosine,-1
Cytosine,-1
D-(-)-Fructofuranose,-1
D-(-)-Fructofuranose,-1
D-(-)-Fructopyranose,-1
D-(-)-Fructopyranose,-1
D-(-)-Ribofuranose,1
D-(-)-Ribofuranose,1
D-(+)-Glucosamine,-1
D-(+)-Glucosamine,-1
