Node 1 Name,Node 1 Tissue,Node 2 Name,Node 2 Tissue,edge_dir
Gas6,Choroid Plexus,"N,N-Dimethyl-2-cyclohexyloxyethylamine",Plasma,-1
Dlgap4,Choroid Plexus,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",Plasma,-1
Dlgap4,Choroid Plexus,Dodecylcyclohexane,Plasma,-1
Iba57,Choroid Plexus,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",Plasma,-1
Hmga1,Choroid Plexus,(CH3)2C=NC2H558,Plasma,1
Rai14,Choroid Plexus,"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",Plasma,-1
Trpc4ap,Choroid Plexus,2-Hydroxybutyric acid,Plasma,1
Trpc4ap,Choroid Plexus,Octan-2-yl palmitate,Plasma,1
Trpc4ap,Choroid Plexus,Xylazine,Plasma,-1
Eipr1,Choroid Plexus,1-Cyclopentylethanol,Plasma,-1
Eipr1,Choroid Plexus,Dehydronorketamine,Plasma,-1
Eipr1,Choroid Plexus,Heptadecanoic acid,Plasma,-1
Eipr1,Choroid Plexus,Indole-5-carboxylic acid,Plasma,-1
Cmtm8,Choroid Plexus,1-Hydroxy-3-methoxy-6-methylanthraquinone,Plasma,-1
Cmtm8,Choroid Plexus,"Propanoic acid, 2-methyl-",Plasma,-1
Rplp1,Choroid Plexus,Indole-5-carboxylic acid,Plasma,-1
Aox3,Choroid Plexus,1-(3-Methylphenyl)piperazine,Plasma,1
Tulp4,Choroid Plexus,1-(3-Methylphenyl)piperazine,Plasma,1
Hip1,Choroid Plexus,1-(3-Methylphenyl)piperazine,Plasma,1
Spata13,Choroid Plexus,1-(3-Methylphenyl)piperazine,Plasma,-1
Tulp4,Choroid Plexus,"Benzoic acid, pentadecyl ester",Plasma,1
Spata13,Choroid Plexus,12-Oxooctadecanoate,Plasma,-1
Spata13,Choroid Plexus,Tributyl acetylcitrate,Plasma,1
Strada,Choroid Plexus,"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",Plasma,1
Strada,Choroid Plexus,Propylamine,Plasma,1
Cebpd,Choroid Plexus,1-Aminocyclopropanecarboxylic acid,Plasma,-1
Cebpd,Choroid Plexus,2-Hydroxy-3-methylbutyric acid,Plasma,-1
Cebpd,Choroid Plexus,"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",Plasma,-1
Cebpd,Choroid Plexus,Acetoacetic acid,Plasma,-1
Ddb1,Choroid Plexus,"1-Butanamine, N,N-diethyl-",Plasma,-1
Igfbp2,Choroid Plexus,"1-Butanamine, N,N-diethyl-",Plasma,-1
Mfge8,Choroid Plexus,"1-Butanamine, N,N-diethyl-",Plasma,-1
Gprc5c,Choroid Plexus,"1-Butanamine, N,N-diethyl-",Plasma,-1
Pi4ka,Choroid Plexus,"1-Butanamine, N,N-diethyl-",Plasma,-1
Imp3,Choroid Plexus,"1-Butanamine, N,N-diethyl-",Plasma,-1
Mfge8,Choroid Plexus,12-Oxooctadecanoate,Plasma,-1
Mfge8,Choroid Plexus,Nitrosothymol,Plasma,-1
Pi4ka,Choroid Plexus,Nonadecanoic acid,Plasma,-1
Imp3,Choroid Plexus,1-Cyclopentylethanol,Plasma,-1
Ubc,Choroid Plexus,1-Cyclopentylethanol,Plasma,-1
Tada1,Choroid Plexus,"1-Decene, 8-methyl-",Plasma,-1
Tada1,Choroid Plexus,Benzophenone,Plasma,-1
Haus4,Choroid Plexus,"1-Decene, 8-methyl-",Plasma,1
Mrps5,Choroid Plexus,alpha-Linolenic acid,Plasma,-1
Wbp11,Choroid Plexus,1-Deoxypentitol,Plasma,1
Dctn2,Choroid Plexus,1-Deoxypentitol,Plasma,-1
Dnajc7,Choroid Plexus,1-Deoxypentitol,Plasma,-1
Ndufs3,Choroid Plexus,1-Deoxypentitol,Plasma,1
Ubl3,Choroid Plexus,1-Deoxypentitol,Plasma,1
Eif3h,Choroid Plexus,1-Deoxypentitol,Plasma,-1
Opa1,Choroid Plexus,1-Deoxypentitol,Plasma,1
Fzr1,Choroid Plexus,1-Deoxypentitol,Plasma,-1
Tmem184c,Choroid Plexus,1-Deoxypentitol,Plasma,1
Wbp11,Choroid Plexus,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",Plasma,1
Wbp11,Choroid Plexus,"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene",Plasma,1
Wbp11,Choroid Plexus,"6,7,4'-Trihydroxyisoflavone",Plasma,1
Wbp11,Choroid Plexus,"Benzoic acid, pentadecyl ester",Plasma,1
Wbp11,Choroid Plexus,Cadaverine,Plasma,1
Wbp11,Choroid Plexus,D-(-)-Citramalic acid,Plasma,1
Wbp11,Choroid Plexus,Dinoseb ,Plasma,1
Wbp11,Choroid Plexus,DL-Glyceraldehyde,Plasma,1
Wbp11,Choroid Plexus,Isofucosterol,Plasma,1
Wbp11,Choroid Plexus,Methyl aminoacetate,Plasma,1
Wbp11,Choroid Plexus,"N,O-Bis(trimethylsilyl)carbamate",Plasma,1
Wbp11,Choroid Plexus,Nonadecanoic acid,Plasma,1
Wbp11,Choroid Plexus,p-Toluic acid,Plasma,1
Wbp11,Choroid Plexus,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",Plasma,1
Dctn2,Choroid Plexus,"Benzoic acid, pentadecyl ester",Plasma,-1
Dctn2,Choroid Plexus,beta-Lyxopyranose,Plasma,-1
Dnajc7,Choroid Plexus,"3-Hydroxy-2,3-dihydromaltol",Plasma,-1
Dnajc7,Choroid Plexus,4-Hydroxybenzeneacetic acid,Plasma,-1
Dnajc7,Choroid Plexus,"Dodecane, 4,6-dimethyl-",Plasma,-1
Dnajc7,Choroid Plexus,Triethanolamine,Plasma,-1
Ndufs3,Choroid Plexus,"Benzaldehyde, 2,5-dimethyl-",Plasma,1
Ndufs3,Choroid Plexus,Isofucosterol,Plasma,1
Ndufs3,Choroid Plexus,Methyl aminoacetate,Plasma,1
Ndufs3,Choroid Plexus,"Stigmast-5-ene, 3beta-",Plasma,1
Ubl3,Choroid Plexus,"1,3,5-Benzetriol",Plasma,1
Ubl3,Choroid Plexus,"2,3,4-Trihydroxybutyric acid tetrakis",Plasma,1
Ubl3,Choroid Plexus,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",Plasma,1
Ubl3,Choroid Plexus,"3-Hydroxy-2,3-dihydromaltol",Plasma,1
Ubl3,Choroid Plexus,4-Hydroxybenzeneacetic acid,Plasma,1
Ubl3,Choroid Plexus,beta-Lyxopyranose,Plasma,1
Ubl3,Choroid Plexus,Dinoseb ,Plasma,1
Ubl3,Choroid Plexus,Isofucosterol,Plasma,1
Ubl3,Choroid Plexus,Isopropyl palmitate,Plasma,1
Ubl3,Choroid Plexus,Methyl aminoacetate,Plasma,1
