Node 1 Name,Node 1 Tissue,Node 2 Name,Node 2 Tissue,edge_dir
 5-Hydroxyhexanoic acid,Plasma,1-Phenylethanol,Plasma,-1
 5-Hydroxyhexanoic acid,Plasma,"5-Androsten-17alpha-methyl-3beta,17beta-diol",Plasma,1
 5-Hydroxyhexanoic acid,Plasma,7-(Trimethylsilyl)amino-4-methylcoumarin,Plasma,1
 5-Hydroxyhexanoic acid,Plasma,Benzeneacetic acid,Plasma,1
 5-Hydroxyhexanoic acid,Plasma,"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-",Plasma,1
 5-Hydroxyhexanoic acid,Plasma,Metanephrine,Plasma,1
 5-Hydroxyhexanoic acid,Plasma,"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",Plasma,1
(CH3)2C=NC2H558,Plasma,2-Hydroxy-5-methoxybenzaldehyde,Plasma,1
(CH3)2C=NC2H558,Plasma,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",Plasma,1
(CH3)2C=NC2H558,Plasma,"Benzoic acid, methyl ester",Plasma,1
(pm)-alpha-Tocopherol acetate,Plasma,"(R*,S*)-2,3-Dihydroxybutanoic acid",Plasma,1
(pm)-alpha-Tocopherol acetate,Plasma,2-Naphthol,Plasma,1
(pm)-alpha-Tocopherol acetate,Plasma,5-Hydroxytryptophan,Plasma,1
(pm)-alpha-Tocopherol acetate,Plasma,Benzeneacetic acid,Plasma,1
(pm)-alpha-Tocopherol acetate,Plasma, 5-Hydroxyhexanoic acid,Plasma,1
(pm)-alpha-Tocopherol acetate,Plasma,Diphenyl ether,Plasma,1
(pm)-alpha-Tocopherol acetate,Plasma,Hexanedioic acid,Plasma,1
(pm)-alpha-Tocopherol acetate,Plasma,Itaconic acid,Plasma,1
(pm)-alpha-Tocopherol acetate,Plasma,p-Hydroxydiisopropylbenzene,Plasma,1
(pm)-alpha-Tocopherol acetate,Plasma,L-Tyrosine,Plasma,1
(pm)-N-Propylamphetamine,Plasma,"5alpha-Pregnane-3,20-dione",Plasma,-1
(pm)-Norketamine,Plasma,L-Leucine,Plasma,-1
(pm)-Norketamine,Plasma,Naphthofluorescein,Plasma,-1
(pm)-Phenylpropanolamine,Plasma,3-(2-Hydroxyethyl)imidazole-2-thione,Plasma,1
(pm)-Phenylpropanolamine,Plasma,3-Indolepropionic acid,Plasma,-1
"(R*,S*)-2,3-Dihydroxybutanoic acid",Plasma,"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine",Plasma,-1
"(R*,S*)-2,3-Dihydroxybutanoic acid",Plasma,Benzeneacetamide,Plasma,-1
"(R*,S*)-2,3-Dihydroxybutanoic acid",Plasma,Diphenyl ether,Plasma,1
1-(3-Methylphenyl)piperazine,Plasma,1-(4-Hydroxybenzylidene)acetone,Plasma,1
1-(3-Methylphenyl)piperazine,Plasma,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",Plasma,1
1-(3-Methylphenyl)piperazine,Plasma,Benzophenone,Plasma,1
1-(3-Methylphenyl)piperazine,Plasma,Phlorizin,Plasma,1
1-(4-Hydroxybenzylidene)acetone,Plasma,"1,3-bis[(Trimethylsilyl)ethynyl]benzene",Plasma,1
1-(4-Hydroxybenzylidene)acetone,Plasma,4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,Plasma,-1
1-(4-Hydroxybenzylidene)acetone,Plasma,L-Threitol,Plasma,1
1-(4-Hydroxybenzylidene)acetone,Plasma,S-Methyl-L-cysteine,Plasma,1
1-Aminocyclopropanecarboxylic acid,Plasma,3-Amino-2-piperidone,Plasma,1
1-Aminocyclopropanecarboxylic acid,Plasma,"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-",Plasma,1
1-Aminocyclopropanecarboxylic acid,Plasma,Glycine,Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,"(R*,S*)-2,3-Dihydroxybutanoic acid",Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,1-Octanol,Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,12-Oxooctadecanoate,Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,"2-Propanone, bis(1-methylethyl)hydrazone",Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,"2,5-Piperazinedione, 3-benzyl-6-isopropyl-",Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,3-Amino-5-morpholinomethyl-2-oxazolidinone,Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,3-Hydroxyisovaleric acid,Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,5-Henicosylresorcinol,Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,"Butanal, 2,3,4-tris[(trimethylsilyl)oxy]-, O-methyloxime, [R-(R*,R*)]-",Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,"Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate",Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,Dodecylcyclohexane,Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,"Glycine, N-(N-DL-leucylglycyl)-",Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,Levulinic acid,Plasma,1
"1-Butanamine, N,N-diethyl-",Plasma,Myristic acid,Plasma,1
1-Cyclopentylethanol,Plasma,1-Phenylethanol,Plasma,-1
1-Cyclopentylethanol,Plasma,1-Tetradecanol,Plasma,1
1-Cyclopentylethanol,Plasma,"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-",Plasma,1
1-Cyclopentylethanol,Plasma,10-Heptadecenoic acid,Plasma,1
1-Cyclopentylethanol,Plasma,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",Plasma,1
1-Cyclopentylethanol,Plasma,2-Methyl-4-pentenoic acid,Plasma,1
1-Cyclopentylethanol,Plasma,2-Naphthol,Plasma,1
1-Cyclopentylethanol,Plasma,"2-Propanone, bis(1-methylethyl)hydrazone",Plasma,1
1-Cyclopentylethanol,Plasma,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",Plasma,1
1-Cyclopentylethanol,Plasma,3-Hydroxyisovaleric acid,Plasma,1
1-Cyclopentylethanol,Plasma,"3,5-Dimethylpyrazole",Plasma,1
1-Cyclopentylethanol,Plasma,"Benzaldehyde, 2,5-dimethyl-",Plasma,1
1-Cyclopentylethanol,Plasma,"Benzimidazole, 5-trifluoromethyl-2-methyl-",Plasma,1
1-Cyclopentylethanol,Plasma,"Benzoic acid, pentadecyl ester",Plasma,1
1-Cyclopentylethanol,Plasma,Benzophenone,Plasma,1
1-Cyclopentylethanol,Plasma,Dehydronorketamine,Plasma,1
1-Cyclopentylethanol,Plasma,Diphenyl ether,Plasma,1
1-Cyclopentylethanol,Plasma,Isofucosterol,Plasma,1
1-Cyclopentylethanol,Plasma,Metanephrine,Plasma,1
1-Cyclopentylethanol,Plasma,Neostigmine ,Plasma,1
1-Cyclopentylethanol,Plasma,Nonadecanoic acid,Plasma,1
1-Cyclopentylethanol,Plasma,Phenoxyacetic acid,Plasma,1
1-Cyclopentylethanol,Plasma,Phlorizin,Plasma,1
1-Cyclopentylethanol,Plasma,Phloroglucinol,Plasma,1
1-Cyclopentylethanol,Plasma,S-Methyl-L-cysteine,Plasma,1
1-Cyclopentylethanol,Plasma,Salsoline,Plasma,1
1-Cyclopentylethanol,Plasma,"Stigmast-5-ene, 3beta-",Plasma,1
1-Cyclopentylethanol,Plasma,L-Tyrosine,Plasma,1
"1-Decene, 8-methyl-",Plasma,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",Plasma,1
"1-Decene, 8-methyl-",Plasma,Bis(trimethylsilyl)acetylene,Plasma,1
1-Deoxypentitol,Plasma,(pm)-alpha-Tocopherol acetate,Plasma,1
1-Deoxypentitol,Plasma,1-Tetradecanol,Plasma,1
1-Deoxypentitol,Plasma,"2-(Decanoyloxy)propane-1,3-diyl dioctanoate",Plasma,1
1-Deoxypentitol,Plasma,"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-",Plasma,1
1-Deoxypentitol,Plasma,2-Naphthol,Plasma,1
1-Deoxypentitol,Plasma,"3,5-Dimethylpyrazole",Plasma,1
1-Deoxypentitol,Plasma,"Benzaldehyde, 2,5-dimethyl-",Plasma,1
1-Deoxypentitol,Plasma,"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-",Plasma,1
1-Deoxypentitol,Plasma,"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-",Plasma,1
1-Deoxypentitol,Plasma,"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-",Plasma,1
1-Deoxypentitol,Plasma,"Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate",Plasma,1
1-Deoxypentitol,Plasma,"Cyclopentaneacetic acid, 3-oxo-2-pentyl-",Plasma,1
1-Deoxypentitol,Plasma,D-(-)-Citramalic acid,Plasma,1
1-Deoxypentitol,Plasma,"Furan, 2-pentyl-",Plasma,1
1-Deoxypentitol,Plasma,L-Threitol,Plasma,1
1-Deoxypentitol,Plasma,Methyl-3-methoxy-5-methyl benzoate,Plasma,1
1-Deoxypentitol,Plasma,N-Isovaleroylglycine,Plasma,1
1-Deoxypentitol,Plasma,N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,Plasma,1
1-Deoxypentitol,Plasma,"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",Plasma,1
1-Deoxypentitol,Plasma,S-Methyl-L-cysteine,Plasma,1
1-Deoxypentitol,Plasma,"Stigmast-5-ene, 3beta-",Plasma,1
1-Deoxypentitol,Plasma,Tartronic acid,Plasma,1
1-Deoxypentitol,Plasma,Triethanolamine,Plasma,1
1-Hexadecanol,Plasma,1-Hexanol,Plasma,1
1-Hexadecanol,Plasma,"Benzene, 1,1'-(1,2-cyclobutanediyl)bis-",Plasma,1
1-Hexadecanol,Plasma,"Benzene, 3-cyclohexen-1-yl-",Plasma,1
1-Hexadecanol,Plasma,"D-Isoleucine, N-acetyl-",Plasma,-1
1-Hexadecanol,Plasma,Decanoic acid,Plasma,1
1-Hexadecanol,Plasma,Glucose,Plasma,-1
1-Hexadecanol,Plasma,L-5-Oxoproline,Plasma,-1
1-Hexadecanol,Plasma,Methyl isovanillate,Plasma,-1
1-Hexadecanol,Plasma,Octanoic acid,Plasma,1
1-Hydroxy-3-methoxy-6-methylanthraquinone,Plasma,Butylated Hydroxytoluene,Plasma,-1
1-Hydroxy-3-methoxy-6-methylanthraquinone,Plasma,Glyoxime,Plasma,-1
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Plasma,1-Monoacetin,Plasma,1
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Plasma,10-Heptadecenoic acid,Plasma,1
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Plasma,5-Hydroxytryptophan,Plasma,1
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Plasma,Benzophenone,Plasma,1
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Plasma,Cholesterol,Plasma,1
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Plasma,Diphenyl ether,Plasma,1
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Plasma,L-Aspartic acid,Plasma,1
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine",Plasma,L-Glutamic acid,Plasma,1
