L-Valine__FEC,Feces
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC",Feces
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC",Feces
Methylsuccinic acid__FEC,Feces
DL-Phenylalanine__FEC,Feces
"Gluconolactone (3R,4S,5R,6R)__FEC",Feces
L-Isoleucine__FEC,Feces
"2-Butenoic acid, 2-hydroxy-__FEC",Feces
"2,5-Dimethoxyphenol__FEC",Feces
"2-Allyl-1,4-dimethoxybenzene__FEC",Feces
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester__FEC",Feces
3-Hexenedioic acid__FEC,Feces
2-Ethylhexanoic acid__FEC,Feces
beta-Alanine__FEC,Feces
L-5-Oxoproline__FEC,Feces
Niacin__FEC,Feces
Phenol__FEC,Feces
Syringaldehyde__FEC,Feces
1-Dodecanol__FEC,Feces
Benzoic Acid__FEC,Feces
D-Allofuranose__FEC,Feces
L-Valyl-L-leucine__FEC,Feces
2-Piperidinone__FEC,Feces
D-(-)-Ribofuranose__FEC,Feces
1-Tetradecanol__FEC,Feces
Pyrogallol__FEC,Feces
6-Hydroxyhexanoic acid__FEC,Feces
Pentadecanoic acid__FEC,Feces
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol__FEC,Feces
"2,3-Butanediol__FEC",Feces
L-Glutamic acid__FEC,Feces
L-Rhamnose__FEC,Feces
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone__FEC",Feces
N-(2-hydroxyethyl)-succinimide__FEC,Feces
Cyclohexanecarboxylic acid__FEC,Feces
"D-(+)-Ribono-1,4-lactone__FEC",Feces
Thr-Leu__FEC,Feces
"2',2,3,6'-Tetramethoxychalcone__FEC",Feces
D-(+)-Talofuranose__FEC,Feces
9H-Purin-6-ol__FEC,Feces
D-(+)-Glucosamine__FEC,Feces
Hydracrylic acid__FEC,Feces
L-Threonine__FEC,Feces
N-Acetyl-L-glutamic acid__FEC,Feces
Undecanoic acid__FEC,Feces
4-Hydroxybenzoic acid__FEC,Feces
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC",Feces
Monolaurin__FEC,Feces
Serine__FEC,Feces
Picolinic acid__FEC,Feces
Xanthine__FEC,Feces
1-Monopalmitin__FEC,Feces
Pipecolic acid__FEC,Feces
Pyrrole-2-carboxylic acid__FEC,Feces
Myristic acid__FEC,Feces
"Inosose-2, myo__FEC",Feces
D-Glucose__FEC,Feces
Tetrahydrogeranyl formate__FEC,Feces
"2,5-Di-tert-butyl-4-hydroxyphenol__FEC",Feces
5-Methyluridine__FEC,Feces
2-Ethylacetoacetate__FEC,Feces
Cyclohexanemethanol__FEC,Feces
"Guanidine, N,N-dimethyl__FEC",Feces
N-Acetyl glucosamine methoxime__FEC,Feces
2-Hydroxy-3-methylbutyric acid__FEC,Feces
Decanoic acid__FEC,Feces
Butyl caprylate__FEC,Feces
9-Octadecenoic acid__FEC,Feces
Pentanoic acid__FEC,Feces
N-Acetylglucosamine__FEC,Feces
Tyrosine__FEC,Feces
"2,3,4-Trihydroxybutyric acid__FEC",Feces
Cytosine__FEC,Feces
Dihydrouracil__FEC,Feces
2'-Desoxyuridine__FEC,Feces
Butyl Succinate__FEC,Feces
alpha-Tocopheryl acetate__FEC,Feces
beta-D-(-)-Ribopyranose__FEC,Feces
N-Methyl-alpha-aminoisobutyric acid__FEC,Feces
Niacinamide__FEC,Feces
"D-Erythro-Pentitol, 2-deoxy-__FEC",Feces
Phenylalanine__FEC,Feces
1-Octadecanol__FEC,Feces
3-Undecene__FEC,Feces
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__FEC,Feces
L-(+)-Lactic acid__FEC,Feces
"2-Furanacetaldehyde, tetrahydro-alpha__FEC",Feces
Glycolic acid__FEC,Feces
Octadecyl octyl ether__FEC,Feces
"Azetidine, 1-acetyl-2-methyl__FEC",Feces
Palmitic Acid__FEC,Feces
3-Hydroxyisovaleric acid__FEC,Feces
"Erythrono-1,4-lactone__FEC",Feces
2'-Deoxyribolactone__FEC,Feces
Idoxuridine__FEC,Feces
Ketamine__FEC,Feces
4-Hydroxybenzaldehyde__FEC,Feces
Lignoceric acid__FEC,Feces
3-Deoxyhexitol__FEC,Feces
"Propane, 2-methyl__FEC",Feces
D-Mannopyranose__FEC,Feces
Tricine__FEC,Feces
3-Hydroxypicolinic acid__FEC,Feces
1-Methyl-4-hydroxy-1H-imidazol-2-amine__FEC,Feces
d-Erythrotetrofuranose__FEC,Feces
Glycerol tricaprylate__FEC,Feces
3-Hydroxybutyric acid__FEC,Feces
Cope__CPX,Choroid Plexus
Spmip6__CPX,Choroid Plexus
Vps37d__CPX,Choroid Plexus
Nedd4__CPX,Choroid Plexus
Wbp11__CPX,Choroid Plexus
Usf3__CPX,Choroid Plexus
Fn3krp__CPX,Choroid Plexus
Pak2__CPX,Choroid Plexus
Cebpz__CPX,Choroid Plexus
Kin__CPX,Choroid Plexus
Ibtk__CPX,Choroid Plexus
Ctdspl2__CPX,Choroid Plexus
Pabpc1__CPX,Choroid Plexus
Kif2a__CPX,Choroid Plexus
Arhgef12__CPX,Choroid Plexus
Arhgap5__CPX,Choroid Plexus
Slk__CPX,Choroid Plexus
Cdkn1c__CPX,Choroid Plexus
Smim10l1__CPX,Choroid Plexus
Ap3b1__CPX,Choroid Plexus
Wasl__CPX,Choroid Plexus
Gsk3b__CPX,Choroid Plexus
D630036H23Rik__CPX,Choroid Plexus
Pbx1__CPX,Choroid Plexus
Tulp4__CPX,Choroid Plexus
Wbp4__CPX,Choroid Plexus
Vps13b__CPX,Choroid Plexus
Setx__CPX,Choroid Plexus
Pcmtd1__CPX,Choroid Plexus
Mafg__CPX,Choroid Plexus
B230219D22Rik__CPX,Choroid Plexus
Stag2__CPX,Choroid Plexus
Phactr2__CPX,Choroid Plexus
Fcho2__CPX,Choroid Plexus
Smarca5__CPX,Choroid Plexus
Gtpbp4__CPX,Choroid Plexus
Vps36__CPX,Choroid Plexus
Mob4__CPX,Choroid Plexus
Igfbp6__CPX,Choroid Plexus
Silc1__CPX,Choroid Plexus
Adcy9__CPX,Choroid Plexus
Gm43568__CPX,Choroid Plexus
Rdx__CPX,Choroid Plexus
Golm2__CPX,Choroid Plexus
Cnih2__CPX,Choroid Plexus
Osgepl1__CPX,Choroid Plexus
Atn1__CPX,Choroid Plexus
Map3k5__CPX,Choroid Plexus
Ptgr3__CPX,Choroid Plexus
Serpinb8__CPX,Choroid Plexus
Gsta4__CPX,Choroid Plexus
Dnajc21__CPX,Choroid Plexus
Bhmt2__CPX,Choroid Plexus
Psma4__CPX,Choroid Plexus
Prxl2c__CPX,Choroid Plexus
Asb8__CPX,Choroid Plexus
Cep57__CPX,Choroid Plexus
Ofd1__CPX,Choroid Plexus
Efhb__CPX,Choroid Plexus
Vmp1__CPX,Choroid Plexus
Zfp1007__CPX,Choroid Plexus
Srebf2__CPX,Choroid Plexus
Gpaa1__CPX,Choroid Plexus
Rhob__CPX,Choroid Plexus
Pi4ka__CPX,Choroid Plexus
Pja2__CPX,Choroid Plexus
Dync1h1__CPX,Choroid Plexus
Tceal8__CPX,Choroid Plexus
Kcmf1__CPX,Choroid Plexus
Cep78__CPX,Choroid Plexus
Apc2__CPX,Choroid Plexus
Mtpn__CPX,Choroid Plexus
Pthlh__CPX,Choroid Plexus
Plgrkt__CPX,Choroid Plexus
Dek__CPX,Choroid Plexus
Upf2__CPX,Choroid Plexus
Dnajc7__CPX,Choroid Plexus
4930550C14Rik__CPX,Choroid Plexus
Opa1__CPX,Choroid Plexus
Jph1__CPX,Choroid Plexus
Lmtk3__CPX,Choroid Plexus
Cyyr1__CPX,Choroid Plexus
Fundc2__CPX,Choroid Plexus
Dhx9__CPX,Choroid Plexus
Nfe2l2__CPX,Choroid Plexus
Dynlt2b__CPX,Choroid Plexus
Gnas__CPX,Choroid Plexus
5430402O13Rik__CPX,Choroid Plexus
Pdlim5__CPX,Choroid Plexus
Lepr__CPX,Choroid Plexus
Osbp__CPX,Choroid Plexus
Klf3__CPX,Choroid Plexus
Ccdc148__CPX,Choroid Plexus
Mrps18a__CPX,Choroid Plexus
Stk26__CPX,Choroid Plexus
Iqgap2__CPX,Choroid Plexus
Ahcyl2__CPX,Choroid Plexus
Myof__CPX,Choroid Plexus
Nsmf__CPX,Choroid Plexus
Serp2__CPX,Choroid Plexus
Rpp30__CPX,Choroid Plexus
Stxbp4__CPX,Choroid Plexus
Ankmy2__CPX,Choroid Plexus
Poglut1__CPX,Choroid Plexus
Grcc10__CPX,Choroid Plexus
4632415L05Rik__CPX,Choroid Plexus
Smarca2__CPX,Choroid Plexus
Gdpd3__CPX,Choroid Plexus
Smim15__CPX,Choroid Plexus
Fgl2__CPX,Choroid Plexus
Pla2g3__CPX,Choroid Plexus
Strada__CPX,Choroid Plexus
Zkscan8__CPX,Choroid Plexus
Kpna4__CPX,Choroid Plexus
Sh3bgrl2__CPX,Choroid Plexus
Ube3c__CPX,Choroid Plexus
Chmp4c__CPX,Choroid Plexus
Baiap2l1__CPX,Choroid Plexus
Agbl3__CPX,Choroid Plexus
Sulf2__CPX,Choroid Plexus
Zbtb39__CPX,Choroid Plexus
Zfp975__CPX,Choroid Plexus
Ppp1r12a__CPX,Choroid Plexus
Zbtb7a__CPX,Choroid Plexus
Pebp4__CPX,Choroid Plexus
Hmces__CPX,Choroid Plexus
Cpxm2__CPX,Choroid Plexus
Tm9sf3__CPX,Choroid Plexus
A930024E05Rik__CPX,Choroid Plexus
Zbtb37__CPX,Choroid Plexus
Gm15408__CPX,Choroid Plexus
Cspg5__CPX,Choroid Plexus
Cep41__CPX,Choroid Plexus
Wapl__CPX,Choroid Plexus
Fgfr1op2__CPX,Choroid Plexus
Aasdhppt__CPX,Choroid Plexus
Qser1__CPX,Choroid Plexus
H1f10__CPX,Choroid Plexus
Clec14a__CPX,Choroid Plexus
Ric3__CPX,Choroid Plexus
Gm6548__CPX,Choroid Plexus
Slc6a13__CPX,Choroid Plexus
Cerox1__CPX,Choroid Plexus
