node,BiBC
5-Hydroxyhexanoic acid__PLS,0.0
1-Phenylethanol__PLS,0.0
"5-Androsten-17alpha-methyl-3beta,17beta-diol__PLS",0.0
7-(Trimethylsilyl)amino-4-methylcoumarin__PLS,0.0
Benzeneacetic acid__PLS,0.0
"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-__PLS",0.0
Metanephrine__PLS,0.0
"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-__PLS",0.0
(CH3)2C=NC2H558__PLS,0.0
2-Hydroxy-5-methoxybenzaldehyde__PLS,0.0
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-__PLS",0.0
"Benzoic acid, methyl ester__PLS",0.0
(pm)-alpha-Tocopherol acetate__PLS,0.0
"(R*,S*)-2,3-Dihydroxybutanoic acid__PLS",0.0
2-Naphthol__PLS,0.0
5-Hydroxytryptophan__PLS,0.0
Diphenyl ether__PLS,0.0
Hexanedioic acid__PLS,0.0
Itaconic acid__PLS,0.0
p-Hydroxydiisopropylbenzene__PLS,0.0
L-Tyrosine__PLS,0.0
(pm)-N-Propylamphetamine__PLS,0.0
"5alpha-Pregnane-3,20-dione__PLS",0.0
(pm)-Norketamine__PLS,0.0
L-Leucine__PLS,0.0
Naphthofluorescein__PLS,0.0
(pm)-Phenylpropanolamine__PLS,0.0
3-(2-Hydroxyethyl)imidazole-2-thione__PLS,0.0
3-Indolepropionic acid__PLS,0.0
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine__PLS",0.0
Benzeneacetamide__PLS,0.0
1-(3-Methylphenyl)piperazine__PLS,0.0
1-(4-Hydroxybenzylidene)acetone__PLS,0.0
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-__PLS",0.0
Benzophenone__PLS,0.0
Phlorizin__PLS,0.0
"1,3-bis[(Trimethylsilyl)ethynyl]benzene__PLS",0.0
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__PLS,0.0
L-Threitol__PLS,0.0
S-Methyl-L-cysteine__PLS,0.0
1-Aminocyclopropanecarboxylic acid__PLS,0.0
3-Amino-2-piperidone__PLS,0.0
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-__PLS",0.0
Glycine__PLS,0.0
"1-Butanamine, N,N-diethyl-__PLS",0.0
1-Octanol__PLS,0.0
12-Oxooctadecanoate__PLS,0.0
"2-Propanone, bis(1-methylethyl)hydrazone__PLS",0.0
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS",0.0
3-Amino-5-morpholinomethyl-2-oxazolidinone__PLS,0.0
3-Hydroxyisovaleric acid__PLS,0.0
5-Henicosylresorcinol__PLS,0.0
"Butanal, 2,3,4-tris[(trimethylsilyl)oxy]-, O-methyloxime, [R-(R*,R*)]-__PLS",0.0
"Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate__PLS",0.0
Dodecylcyclohexane__PLS,0.0
"Glycine, N-(N-DL-leucylglycyl)-__PLS",0.0
Levulinic acid__PLS,0.0
Myristic acid__PLS,0.0
1-Cyclopentylethanol__PLS,0.0
1-Tetradecanol__PLS,0.0
10-Heptadecenoic acid__PLS,0.0
