node,BiBC
L-Valine__FEC,992.0951956948419
L-Serine__FEC,98.67107921269461
4-Hydroxybenzaldehyde__FEC,118.22038769583934
D-(+)-Glucosamine__FEC,1336.9852861672869
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC",379.9336789746161
Serine__FEC,1294.3443966181094
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC",107.3241410234413
Methylsuccinic acid__FEC,767.2561984561322
Niacinamide__FEC,108.22076172647873
17-alpha-Hydroxypregnenolone__FEC,9.702645963486866
9H-Purin-6-ol__FEC,99.16216606653485
Hydracrylic acid__FEC,1171.8933750937726
L-(-)-Sorbofuranose__FEC,321.61760992940907
L-Glutamic acid__FEC,110.63731632103075
DL-Phenylalanine__FEC,573.6730945701675
L-Isoleucine__FEC,1213.2286080185033
Phenylalanine__FEC,291.72401387172636
Uracil__FEC,515.4914263004944
"Gluconolactone (3R,4S,5R,6R)__FEC",814.3602876095222
Syringaldehyde__FEC,1716.8519558692567
Tyrosine__FEC,310.44384423382206
"2-Butenoic acid, 2-hydroxy-__FEC",197.95373909991412
1-Tetradecanol__FEC,695.5706709867134
"2',2,3,6'-Tetramethoxychalcone__FEC",442.076056663443
3-Deoxyhexitol__FEC,690.8223503374784
Butyl Succinate__FEC,749.3138486323647
"Hexadecanoic acid, 4-hydroxybutyl ester__FEC",250.25235835789823
"2,5-Dimethoxyphenol__FEC",25.78080926949051
"2-Allyl-1,4-dimethoxybenzene__FEC",161.0088881346708
2-Hydroxy-3-methylbutyric acid__FEC,562.7605128314033
3-Hexenedioic acid__FEC,203.54528806245747
4-Pyridinol__FEC,15.951514766483774
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester__FEC",104.9254741181069
Cyclohexanecarboxylic acid__FEC,607.4208630894386
Myristic acid__FEC,317.68300158608804
Pentanoic acid__FEC,102.88677524683595
Tetrahydrogeranyl formate__FEC,489.2240975564445
5-Hydroxymethyl-2-furoic acid__FEC,42.083405361051724
beta-Arabinopyranose__FEC,23.935000683107035
L-5-Oxoproline__FEC,373.0020940094737
2-Ethylhexanoic acid__FEC,1195.8731877702348
D-Mannopyranose__FEC,309.02475758661546
Phenol__FEC,993.6633887169994
beta-Alanine__FEC,881.1319264393809
N-Acetyl-L-glutamic acid__FEC,127.31731051447339
Thymidine__FEC,333.68838905680605
Niacin__FEC,14.026611637411243
Xanthine__FEC,123.48105400090455
Cholesterol__FEC,3.1101218706852714
beta-D-(-)-Ribopyranose__FEC,406.877422225186
"D-(+)-Ribono-1,4-lactone__FEC",873.2534674665973
"Erythrono-1,4-lactone__FEC",111.01505743499358
"Propanoic acid, 2-oxo__FEC",953.6272506560406
1-Dodecanol__FEC,891.8036792719822
2'-Deoxyribolactone__FEC,1339.2990217661616
Undecanoic acid__FEC,338.7254642235499
Benzoic Acid__FEC,826.6944902928115
13-Docosenamide__FEC,44.19913295132673
"Propane, 2-methyl__FEC",38.29885657859652
Pyridoxic acid__FEC,5.319676192304275
D-Allofuranose__FEC,473.12943223487804
Octadecyl octyl ether__FEC,267.42473596134965
L-Valyl-L-leucine__FEC,2317.6020124128695
3-(3-Hydroxyphenyl)propanoic acid__FEC,190.18428797923193
Cyclohexanemethanol__FEC,727.6270164775882
"Xylonic acid, delta-lactone__FEC",146.81844382328592
2-Piperidinone__FEC,726.2694891161559
Butanedioic acid__FEC,0.0
D-(-)-Ribofuranose__FEC,141.41520736699238
Lignoceric acid__FEC,74.7394952683241
Palmitic Acid__FEC,215.8291188008696
Pyrogallol__FEC,49.23920011295538
6-Hydroxyhexanoic acid__FEC,87.90959273987357
Pentadecanoic acid__FEC,101.63611274779845
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol__FEC,1049.2412311079424
4-Hydroxybutanoic acid__FEC,0.0
Pimelic acid__FEC,706.3614673480353
"2,3-Butanediol__FEC",890.2211031805724
"2-Pentenedioic acid, 2-hydroxy-__FEC",204.15285927285666
L-Rhamnose__FEC,2349.333940285759
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone__FEC",0.0
d-Erythrotetrofuranose__FEC,1190.1315596872055
N-(2-hydroxyethyl)-succinimide__FEC,965.0621825570965
Phloretic acid__FEC,471.0825877684531
4-Methyl-5-thiazoleethanol__FEC,622.4131291050456
"Inosose-2, myo__FEC",1127.2920631089835
Nonanoic acid__FEC,43.34033540636545
N-Acetylglucosamine__FEC,104.44820695787917
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile__FEC",228.67343817649956
Thr-Leu__FEC,215.01766702312602
L-(+)-Lactic acid__FEC,47.33299424893927
"beta-D-Galactopyranoside, methyl-, acetate__FEC",6.514756730232667
D-(+)-Talofuranose__FEC,2.5934538943978307
Decanoic acid__FEC,874.398472828941
N-Methyl-alpha-aminoisobutyric acid__FEC,178.7095272371419
Dihydrouracil__FEC,330.03174979636105
Aconitic acid__FEC,221.85167827806603
trans-Coniferryl alchool__FEC,695.911992381853
5-Methyluridine__FEC,1375.869761135093
L-Threonine__FEC,20.441829042727168
4-Hydroxybenzoic acid__FEC,272.01626289084123
L-Norvaline__FEC,44.75700670732758
1-Octanol__FEC,105.21319366814686
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC",1275.080062895375
"2,5-Di-tert-butyl-4-hydroxyphenol__FEC",1093.2867846489273
3-Methyl-2-furoic acid__FEC,370.1856173654732
3-Undecene__FEC,637.2816331231928
"Guanidine, N,N-dimethyl__FEC",406.99502404299375
Monolaurin__FEC,87.809588729722
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside__FEC,110.32930163447178
Xylose__FEC,123.91186459242942
"2-Furanacetaldehyde, tetrahydro-alpha__FEC",74.46192464469681
L-Leucine__FEC,399.7058191819184
Picolinic acid__FEC,1019.6391571359278
Glycerol tricaprylate__FEC,227.21960860729615
Citric acid__FEC,20.199139841755358
1-Monopalmitin__FEC,30.724876403836305
Pipecolic acid__FEC,292.7885833043024
Pyrrole-2-carboxylic acid__FEC,61.38213933896209
1-Methyl-4-hydroxy-1H-imidazol-2-amine__FEC,116.81060327282452
D-Glucose__FEC,633.9920277744086
12-Oxooctadecanoate__FEC,773.9027428463513
2-Ethylacetoacetate__FEC,1344.268706622298
"2,3,4-Trihydroxybutyric acid__FEC",419.2670012402802
8-Hydroxy-5-(hydroxymethyl)quinoline__FEC,171.77561361268118
Tricine__FEC,873.3319956404627
"Acetamide, N-(2-butyl)-N-methyl-__FEC",48.58460509737457
Menthol__FEC,39.15506547825604
N-Acetyl glucosamine methoxime__FEC,155.92455227895212
Uridine__FEC,38.5556304771617
Butyl caprylate__FEC,758.3474514109739
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane__FEC",1052.6833545935867
Arabinitol__FEC,18.268784471315854
9-Octadecenoic acid__FEC,87.5990853289758
"3-Hydroxy-2,3-dihydromaltol__FEC",2.25756843400679
Ribonic acid__FEC,55.86817546649477
Cytosine__FEC,23.190535344051888
2'-Desoxyuridine__FEC,506.96237798279765
alpha-Tocopheryl acetate__FEC,33.120861463573426
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__FEC,416.9616942469362
"D-Erythro-Pentitol, 2-deoxy-__FEC",296.64071387965066
1-Hexanol__FEC,18.684214838681605
1-Octadecanol__FEC,1234.894450428073
Ethanamine__FEC,0.0
Idoxuridine__FEC,20.490041490566966
Glycolic acid__FEC,0.09819967266775778
"Azetidine, 1-acetyl-2-methyl__FEC",621.3800912483136
Hexacosanoic acid__FEC,8.08018625788676
3-Hydroxyisovaleric acid__FEC,60.97376023863345
Ketamine__FEC,171.88440950479125
"Butanoic acid, 3,4-dihydroxy-__FEC",685.407151399613
2-Palmitoylglycerol__FEC,0.0
"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol__FEC",4.1504011209425204
3-Hydroxypicolinic acid__FEC,0.0
4-Hydroxyphenyllactic acid__FEC,0.0
Glycerol__FEC,69.31587538734424
3-Hydroxybutyric acid__FEC,54.32075178848999
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__PLS,4.260606421559612
Xylazine__FEC,66.72281798957955
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)-__PLS",204.78687039109835
N-Isobutyrylglycine__PLS,508.8418354357681
