node,BiBC
L-Valine__FEC,1790.7914552710479
L-Serine__FEC,396.27449281697136
4-Hydroxybenzaldehyde__FEC,85.73522149194532
D-(+)-Glucosamine__FEC,1084.0515123043672
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC",517.3119542879091
Serine__FEC,1095.944632220331
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC",84.05164838098713
Methylsuccinic acid__FEC,899.1346137861434
Niacinamide__FEC,58.43715375696624
17-alpha-Hydroxypregnenolone__FEC,0.0
9H-Purin-6-ol__FEC,194.37001317822822
Hydracrylic acid__FEC,688.2837816305816
L-(-)-Sorbofuranose__FEC,140.67221184402368
L-Glutamic acid__FEC,128.55657090737495
DL-Phenylalanine__FEC,1008.6106187220718
L-Isoleucine__FEC,2397.3459690579493
Phenylalanine__FEC,196.43426162213026
Uracil__FEC,309.87498201027717
"Gluconolactone (3R,4S,5R,6R)__FEC",89.7347646322494
Syringaldehyde__FEC,1690.0694676254059
Tyrosine__FEC,147.8678239559537
"2-Butenoic acid, 2-hydroxy-__FEC",734.8871255539984
1-Tetradecanol__FEC,905.0873872301579
"2',2,3,6'-Tetramethoxychalcone__FEC",1013.7115823930804
3-Deoxyhexitol__FEC,672.499188457832
Butyl Succinate__FEC,590.2696430371707
"Hexadecanoic acid, 4-hydroxybutyl ester__FEC",353.7872511200109
"2,5-Dimethoxyphenol__FEC",83.80159360185947
"2-Allyl-1,4-dimethoxybenzene__FEC",496.5887617041694
2-Hydroxy-3-methylbutyric acid__FEC,349.6451948845216
3-Hexenedioic acid__FEC,324.28057787681166
4-Pyridinol__FEC,409.37381544077687
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester__FEC",387.49988225024947
Cyclohexanecarboxylic acid__FEC,1344.6422163442369
Myristic acid__FEC,96.3124292588812
Pentanoic acid__FEC,55.00922111165144
Tetrahydrogeranyl formate__FEC,194.3692603748977
5-Hydroxymethyl-2-furoic acid__FEC,11.747475024145238
beta-Arabinopyranose__FEC,42.443753284753825
L-5-Oxoproline__FEC,780.6512132478665
2-Ethylhexanoic acid__FEC,1416.4644925746345
