node,BiBC
L-Valine__FEC,247.0210876870374
L-Serine__FEC,58.50633694425543
4-Hydroxybenzaldehyde__FEC,766.919770486342
D-(+)-Glucosamine__FEC,2285.402157563433
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC",29.069530334919303
Serine__FEC,1393.6488723604953
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC",1.4980388087977192
Methylsuccinic acid__FEC,1182.9552658054401
Niacinamide__FEC,243.762275379393
17-alpha-Hydroxypregnenolone__FEC,23.789015124762575
9H-Purin-6-ol__FEC,13.772529841851732
Hydracrylic acid__FEC,1507.9991923653404
L-(-)-Sorbofuranose__FEC,89.06422826505107
L-Glutamic acid__FEC,138.13186871471538
DL-Phenylalanine__FEC,121.5555697409572
L-Isoleucine__FEC,243.067281769241
Phenylalanine__FEC,161.788511442511
Uracil__FEC,334.3127508845151
"Gluconolactone (3R,4S,5R,6R)__FEC",11.02584409192892
Syringaldehyde__FEC,731.0519138150717
Tyrosine__FEC,442.8850142132424
"2-Butenoic acid, 2-hydroxy-__FEC",128.85052259762438
1-Tetradecanol__FEC,521.4956174837604
"2',2,3,6'-Tetramethoxychalcone__FEC",551.2005124397791
3-Deoxyhexitol__FEC,821.2066202637134
Butyl Succinate__FEC,1433.6947607825198
"Hexadecanoic acid, 4-hydroxybutyl ester__FEC",240.1176779690071
"2,5-Dimethoxyphenol__FEC",2.5524099774099773
"2-Allyl-1,4-dimethoxybenzene__FEC",483.77573422447983
2-Hydroxy-3-methylbutyric acid__FEC,1595.1862327457122
3-Hexenedioic acid__FEC,676.773408553482
4-Pyridinol__FEC,0.3373015873015873
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester__FEC",105.16586061117003
Cyclohexanecarboxylic acid__FEC,79.82091774971677
Myristic acid__FEC,1871.6191165373277
Pentanoic acid__FEC,70.95241940483031
Tetrahydrogeranyl formate__FEC,242.48638811520533
5-Hydroxymethyl-2-furoic acid__FEC,9.311467669002152
beta-Arabinopyranose__FEC,13.704469567140206
L-5-Oxoproline__FEC,49.33706938035696
2-Ethylhexanoic acid__FEC,344.17202200529306
D-Mannopyranose__FEC,136.25130338573678
Phenol__FEC,545.4727521862125
beta-Alanine__FEC,1553.2387978140096
N-Acetyl-L-glutamic acid__FEC,335.9200510162888
Thymidine__FEC,35.77872441616877
Niacin__FEC,1.1444444444444446
Xanthine__FEC,54.00998050309827
Cholesterol__FEC,0.4087282436853982
beta-D-(-)-Ribopyranose__FEC,3.767732962075773
"D-(+)-Ribono-1,4-lactone__FEC",42.93606161289517
"Erythrono-1,4-lactone__FEC",42.966556698995326
"Propanoic acid, 2-oxo__FEC",1689.450560162521
1-Dodecanol__FEC,967.6460398109726
2'-Deoxyribolactone__FEC,698.9867550165325
Undecanoic acid__FEC,205.87255886938556
Benzoic Acid__FEC,267.81415637983264
13-Docosenamide__FEC,100.50680706308347
"Propane, 2-methyl__FEC",12.878125244663591
Pyridoxic acid__FEC,0.0
D-Allofuranose__FEC,172.01275788159032
Octadecyl octyl ether__FEC,575.1083788185904
L-Valyl-L-leucine__FEC,2323.931533999781
3-(3-Hydroxyphenyl)propanoic acid__FEC,94.90903835335845
Cyclohexanemethanol__FEC,876.1318714705627
"Xylonic acid, delta-lactone__FEC",21.451571594197624
2-Piperidinone__FEC,601.0000000000059
Butanedioic acid__FEC,0.0
D-(-)-Ribofuranose__FEC,22.602245494240027
Lignoceric acid__FEC,203.42764367370992
Palmitic Acid__FEC,0.2969460450379926
Pyrogallol__FEC,409.06528183547687
6-Hydroxyhexanoic acid__FEC,27.32732176802479
Pentadecanoic acid__FEC,77.88084146528789
