node,BiBC
5-Hydroxyhexanoic acid__PLS,163.27516701077224
1-Phenylethanol__PLS,942.6337569405738
"5-Androsten-17alpha-methyl-3beta,17beta-diol__PLS",225.97730150494266
7-(Trimethylsilyl)amino-4-methylcoumarin__PLS,230.0269439889155
Benzeneacetic acid__PLS,156.6381490167766
"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-__PLS",603.5085078458944
Metanephrine__PLS,393.2327250829743
"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-__PLS",1073.3461699614602
(CH3)2C=NC2H558__PLS,781.0195166423722
2-Hydroxy-5-methoxybenzaldehyde__PLS,571.4279851422693
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-__PLS",810.9879854292901
"Benzoic acid, methyl ester__PLS",606.4577733769648
(pm)-alpha-Tocopherol acetate__PLS,1377.583105370503
"(R*,S*)-2,3-Dihydroxybutanoic acid__PLS",666.9498125650622
2-Naphthol__PLS,18.746852650015985
5-Hydroxytryptophan__PLS,855.4786869629779
Diphenyl ether__PLS,402.5617507949527
Hexanedioic acid__PLS,27.380354607921106
Itaconic acid__PLS,27.632399999087838
p-Hydroxydiisopropylbenzene__PLS,163.02800015547245
L-Tyrosine__PLS,235.77853318794106
(pm)-N-Propylamphetamine__PLS,0.0
"5alpha-Pregnane-3,20-dione__PLS",1241.4142300653048
(pm)-Norketamine__PLS,1181.99999999999
L-Leucine__PLS,591.0000000000068
Naphthofluorescein__PLS,2245.1750470855472
(pm)-Phenylpropanolamine__PLS,601.3688464389918
3-(2-Hydroxyethyl)imidazole-2-thione__PLS,0.0
3-Indolepropionic acid__PLS,2200.8613891572577
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine__PLS",1.8326350968070864
Benzeneacetamide__PLS,23.037684060382823
1-(3-Methylphenyl)piperazine__PLS,110.9084754946323
1-(4-Hydroxybenzylidene)acetone__PLS,1167.6806732723578
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-__PLS",879.3744425050196
Benzophenone__PLS,705.2717929022153
Phlorizin__PLS,1019.6357587509643
"1,3-bis[(Trimethylsilyl)ethynyl]benzene__PLS",1.6646426842815025
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__PLS,82.61501002652655
L-Threitol__PLS,43.91197305944347
S-Methyl-L-cysteine__PLS,1291.9825074699888
1-Aminocyclopropanecarboxylic acid__PLS,2.657415842800802
3-Amino-2-piperidone__PLS,225.86644040441954
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-__PLS",89.28846678121522
Glycine__PLS,2398.2152307366587
"1-Butanamine, N,N-diethyl-__PLS",955.1133876895561
1-Octanol__PLS,187.62836491000587
12-Oxooctadecanoate__PLS,547.4198185107715
"2-Propanone, bis(1-methylethyl)hydrazone__PLS",814.7872730786013
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS",3788.1714136379214
3-Amino-5-morpholinomethyl-2-oxazolidinone__PLS,3673.339682780796
3-Hydroxyisovaleric acid__PLS,356.5816348713563
5-Henicosylresorcinol__PLS,1008.4085661119123
"Butanal, 2,3,4-tris[(trimethylsilyl)oxy]-, O-methyloxime, [R-(R*,R*)]-__PLS",813.6161935528872
"Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate__PLS",147.8906963443297
Dodecylcyclohexane__PLS,2032.6669393653324
"Glycine, N-(N-DL-leucylglycyl)-__PLS",880.6417029798178
Levulinic acid__PLS,5918.568507687105
Myristic acid__PLS,506.6831439865251
1-Cyclopentylethanol__PLS,780.8103642630176
1-Tetradecanol__PLS,542.7142939541419
10-Heptadecenoic acid__PLS,8471.978478125207
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate__PLS",8238.471455193569
2-Methyl-4-pentenoic acid__PLS,694.0942680652743
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate__PLS",892.5125354503834
"3,5-Dimethylpyrazole__PLS",4568.650506396032
"Benzaldehyde, 2,5-dimethyl-__PLS",7670.344754502518
"Benzimidazole, 5-trifluoromethyl-2-methyl-__PLS",5984.249211931385
"Benzoic acid, pentadecyl ester__PLS",5650.757627992188
Dehydronorketamine__PLS,9.286588044203675
Isofucosterol__PLS,4027.407697019991
Neostigmine__PLS,787.1450143677905
Nonadecanoic acid__PLS,1316.113829562702
Phenoxyacetic acid__PLS,1281.2588377976424
