node,BiBC
L-Valine__FEC,222.02532837887287
L-Serine__FEC,92.06490497942316
4-Hydroxybenzaldehyde__FEC,684.6530312840399
D-(+)-Glucosamine__FEC,2329.5272305468206
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC",1.4279561003505812
Serine__FEC,1568.8131479056171
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC",4.643008907787719
Methylsuccinic acid__FEC,1130.5780533666743
Niacinamide__FEC,378.01165742865015
17-alpha-Hydroxypregnenolone__FEC,20.900880921977958
9H-Purin-6-ol__FEC,15.170799798632943
Hydracrylic acid__FEC,1525.7290304254232
L-(-)-Sorbofuranose__FEC,54.0658989406184
L-Glutamic acid__FEC,184.0753538981953
DL-Phenylalanine__FEC,37.05054648671299
L-Isoleucine__FEC,303.79393956609863
Phenylalanine__FEC,145.37672863545382
Uracil__FEC,295.95535905473844
"Gluconolactone (3R,4S,5R,6R)__FEC",8.504429219588882
Syringaldehyde__FEC,593.6475172007864
Tyrosine__FEC,552.6377575718676
"2-Butenoic acid, 2-hydroxy-__FEC",90.47503074059249
1-Tetradecanol__FEC,571.9039208701133
"2',2,3,6'-Tetramethoxychalcone__FEC",583.371030969965
3-Deoxyhexitol__FEC,734.7282873544839
Butyl Succinate__FEC,1300.1315203643508
"Hexadecanoic acid, 4-hydroxybutyl ester__FEC",189.36322866774412
"2,5-Dimethoxyphenol__FEC",2.583227774614115
"2-Allyl-1,4-dimethoxybenzene__FEC",478.37989924204106
2-Hydroxy-3-methylbutyric acid__FEC,2215.4964017776388
3-Hexenedioic acid__FEC,607.9907875400955
4-Pyridinol__FEC,0.8167077285459639
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester__FEC",146.60814568417922
Cyclohexanecarboxylic acid__FEC,39.29849860160866
Myristic acid__FEC,2577.4842805262015
Pentanoic acid__FEC,49.75623365898223
Tetrahydrogeranyl formate__FEC,188.8608383832793
5-Hydroxymethyl-2-furoic acid__FEC,8.18073559589661
beta-Arabinopyranose__FEC,15.918898116336281
L-5-Oxoproline__FEC,44.22127083401956
2-Ethylhexanoic acid__FEC,431.11825001044974
D-Mannopyranose__FEC,218.16382286239528
Phenol__FEC,440.80203337620065
beta-Alanine__FEC,1397.3916831327758
N-Acetyl-L-glutamic acid__FEC,289.09760213036105
Thymidine__FEC,69.1093455887931
Niacin__FEC,1.8588215758947462
Xanthine__FEC,23.81182587131166
Cholesterol__FEC,1.8277621932609962
beta-D-(-)-Ribopyranose__FEC,8.808504693007425
"D-(+)-Ribono-1,4-lactone__FEC",83.47140377136608
"Erythrono-1,4-lactone__FEC",27.328169508731186
"Propanoic acid, 2-oxo__FEC",2191.5089495719135
1-Dodecanol__FEC,792.1419550061515
2'-Deoxyribolactone__FEC,956.1171880883315
Undecanoic acid__FEC,144.7193378530488
Benzoic Acid__FEC,203.10195701067894
13-Docosenamide__FEC,94.71066759955531
"Propane, 2-methyl__FEC",12.248824277615855
Pyridoxic acid__FEC,0.0
D-Allofuranose__FEC,255.4383457177417
Octadecyl octyl ether__FEC,658.8386762609543
L-Valyl-L-leucine__FEC,1599.0460125958496
3-(3-Hydroxyphenyl)propanoic acid__FEC,30.220144068593132
Cyclohexanemethanol__FEC,908.3172327666559
"Xylonic acid, delta-lactone__FEC",11.585007391243634
2-Piperidinone__FEC,654.0000000000038
Butanedioic acid__FEC,0.0
D-(-)-Ribofuranose__FEC,31.156562360624328
Lignoceric acid__FEC,273.52734612532333
Palmitic Acid__FEC,1.7619517969926093
Pyrogallol__FEC,437.5202515451323
6-Hydroxyhexanoic acid__FEC,19.419475858471007
Pentadecanoic acid__FEC,229.81123997357346
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol__FEC,653.9999999999667
