node,BiBC
L-Valine__FEC,3108.4130976906445
L-Serine__FEC,189.91911831559273
4-Hydroxybenzaldehyde__FEC,133.72205825321507
D-(+)-Glucosamine__FEC,1531.453154696867
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC",385.3279526671476
Serine__FEC,1028.0872928586432
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC",198.29224397428598
Methylsuccinic acid__FEC,758.9877228779811
Niacinamide__FEC,75.91866328340954
17-alpha-Hydroxypregnenolone__FEC,5.825282793676648
9H-Purin-6-ol__FEC,432.97788935697594
Hydracrylic acid__FEC,1606.9568395137649
L-(-)-Sorbofuranose__FEC,92.6091410104793
L-Glutamic acid__FEC,51.88529560365603
DL-Phenylalanine__FEC,543.1711091621295
L-Isoleucine__FEC,1035.9363748128706
Phenylalanine__FEC,353.89724652949405
Uracil__FEC,934.3232044730875
"Gluconolactone (3R,4S,5R,6R)__FEC",172.64319936606458
Syringaldehyde__FEC,1910.412916485781
Tyrosine__FEC,474.4619884647691
"2-Butenoic acid, 2-hydroxy-__FEC",849.351402828327
1-Tetradecanol__FEC,570.8283449123775
"2',2,3,6'-Tetramethoxychalcone__FEC",736.7185113996666
3-Deoxyhexitol__FEC,729.361638858771
Butyl Succinate__FEC,885.1252312521452
"Hexadecanoic acid, 4-hydroxybutyl ester__FEC",272.0822824637312
"2,5-Dimethoxyphenol__FEC",94.89882068056683
"2-Allyl-1,4-dimethoxybenzene__FEC",596.4278998890674
2-Hydroxy-3-methylbutyric acid__FEC,665.0493252139811
3-Hexenedioic acid__FEC,207.5151053506599
4-Pyridinol__FEC,130.8492135483676
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester__FEC",271.60077620543467
Cyclohexanecarboxylic acid__FEC,1142.1349090926524
Myristic acid__FEC,228.68049472421785
Pentanoic acid__FEC,84.44174794539721
Tetrahydrogeranyl formate__FEC,105.89216998192498
