node,BiBC
L-Valine__FEC,2949.0369871759917
L-Serine__FEC,292.84099605728034
4-Hydroxybenzaldehyde__FEC,126.25740413148696
D-(+)-Glucosamine__FEC,1432.6172082231576
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC",263.9604109375018
Serine__FEC,724.0691695444698
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC",223.765604081686
Methylsuccinic acid__FEC,1161.4511957420257
Niacinamide__FEC,78.95248070651638
17-alpha-Hydroxypregnenolone__FEC,0.0
9H-Purin-6-ol__FEC,645.0123145667784
Hydracrylic acid__FEC,1662.5690361491197
L-(-)-Sorbofuranose__FEC,104.95560089002429
L-Glutamic acid__FEC,136.35492663174855
DL-Phenylalanine__FEC,1220.3554958547893
L-Isoleucine__FEC,1089.9060315749227
Phenylalanine__FEC,197.283837340396
Uracil__FEC,742.1049740240193
"Gluconolactone (3R,4S,5R,6R)__FEC",139.56819202132147
Syringaldehyde__FEC,2507.502104800141
Tyrosine__FEC,178.365370238512
"2-Butenoic acid, 2-hydroxy-__FEC",1297.3647237011342
1-Tetradecanol__FEC,1198.2005879527612
"2',2,3,6'-Tetramethoxychalcone__FEC",765.8660877378333
3-Deoxyhexitol__FEC,728.8895586703634
Butyl Succinate__FEC,782.0280113038522
"Hexadecanoic acid, 4-hydroxybutyl ester__FEC",488.21259091568953
"2,5-Dimethoxyphenol__FEC",146.1122845836143
"2-Allyl-1,4-dimethoxybenzene__FEC",771.16844142683
2-Hydroxy-3-methylbutyric acid__FEC,569.5613310037214
3-Hexenedioic acid__FEC,281.46642373838813
4-Pyridinol__FEC,942.9563985830055
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester__FEC",416.1615375757548
Cyclohexanecarboxylic acid__FEC,1500.0056062062595
Myristic acid__FEC,143.67067466201965
Pentanoic acid__FEC,108.56000684178736
Tetrahydrogeranyl formate__FEC,135.40523070014407
5-Hydroxymethyl-2-furoic acid__FEC,8.99251797943984
beta-Arabinopyranose__FEC,184.68739878921593
L-5-Oxoproline__FEC,794.9560572769241
2-Ethylhexanoic acid__FEC,1943.6403235105392
D-Mannopyranose__FEC,676.1611351105028
Phenol__FEC,2485.6535382522598
beta-Alanine__FEC,391.00653760949984
N-Acetyl-L-glutamic acid__FEC,66.03205154579547
Thymidine__FEC,22.730658636673496
Niacin__FEC,150.52855664960038
Xanthine__FEC,718.4142714886056
Cholesterol__FEC,0.7450396825396826
beta-D-(-)-Ribopyranose__FEC,873.8692406496693
"D-(+)-Ribono-1,4-lactone__FEC",410.2335578213571
"Erythrono-1,4-lactone__FEC",336.7506072260263
"Propanoic acid, 2-oxo__FEC",1035.9289662136753
1-Dodecanol__FEC,931.8487893463054
2'-Deoxyribolactone__FEC,1182.6943125306307
Undecanoic acid__FEC,387.7827453618406
Benzoic Acid__FEC,984.3236820423001
13-Docosenamide__FEC,14.962656511548925
"Propane, 2-methyl__FEC",98.717289055506
Pyridoxic acid__FEC,56.078126133294575
D-Allofuranose__FEC,1066.335820083851
Octadecyl octyl ether__FEC,707.4616020351929
L-Valyl-L-leucine__FEC,1339.3181416798502
3-(3-Hydroxyphenyl)propanoic acid__FEC,69.95488812947394
Cyclohexanemethanol__FEC,413.09846597859513
"Xylonic acid, delta-lactone__FEC",180.76547087046865
2-Piperidinone__FEC,968.5530750545844
Butanedioic acid__FEC,0.0
D-(-)-Ribofuranose__FEC,280.7903662414881
Lignoceric acid__FEC,199.5237816808436
Palmitic Acid__FEC,463.5983668135654
Pyrogallol__FEC,62.178449763829164
6-Hydroxyhexanoic acid__FEC,108.3607976873808
Pentadecanoic acid__FEC,438.18840373962234
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol__FEC,976.4428519853867
4-Hydroxybutanoic acid__FEC,0.0
Pimelic acid__FEC,731.1593481845655
"2,3-Butanediol__FEC",735.7819575926213
"2-Pentenedioic acid, 2-hydroxy-__FEC",31.913372799619523
