node,BiBC
L-Valine__FEC,1066.6419353620754
L-Serine__FEC,376.06451189266363
4-Hydroxybenzaldehyde__FEC,102.7097590555157
D-(+)-Glucosamine__FEC,1291.772134745762
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy__FEC",306.54006814250175
Serine__FEC,923.311453357977
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)__FEC",211.05326949377175
Methylsuccinic acid__FEC,1300.0192631582552
Niacinamide__FEC,130.82663259587335
17-alpha-Hydroxypregnenolone__FEC,0.0
9H-Purin-6-ol__FEC,190.47038176747841
Hydracrylic acid__FEC,1472.6343238570212
L-(-)-Sorbofuranose__FEC,417.47376114094965
L-Glutamic acid__FEC,178.7168911445682
DL-Phenylalanine__FEC,1118.7927598768201
L-Isoleucine__FEC,1263.6798203359035
Phenylalanine__FEC,228.36607588406054
Uracil__FEC,529.2289028422224
"Gluconolactone (3R,4S,5R,6R)__FEC",985.9314297668412
Syringaldehyde__FEC,2762.5562770646698
Tyrosine__FEC,206.46576456857645
"2-Butenoic acid, 2-hydroxy-__FEC",444.6453380947904
1-Tetradecanol__FEC,1628.1510803121466
"2',2,3,6'-Tetramethoxychalcone__FEC",419.61140818804677
3-Deoxyhexitol__FEC,664.4000503720762
Butyl Succinate__FEC,608.6274798248761
"Hexadecanoic acid, 4-hydroxybutyl ester__FEC",436.9110943341609
"2,5-Dimethoxyphenol__FEC",52.532827059832194
"2-Allyl-1,4-dimethoxybenzene__FEC",127.43402512481286
2-Hydroxy-3-methylbutyric acid__FEC,536.7756122350379
3-Hexenedioic acid__FEC,382.94014984142325
4-Pyridinol__FEC,607.3443124934914
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester__FEC",243.45117533856924
Cyclohexanecarboxylic acid__FEC,911.8488669001347
Myristic acid__FEC,225.89584270664668
Pentanoic acid__FEC,121.54358479108957
Tetrahydrogeranyl formate__FEC,510.6689325387811
5-Hydroxymethyl-2-furoic acid__FEC,36.68305060865376
beta-Arabinopyranose__FEC,16.2861040132405
L-5-Oxoproline__FEC,531.1663968334385
2-Ethylhexanoic acid__FEC,1843.5662966653383
D-Mannopyranose__FEC,696.4208942371566
Phenol__FEC,1205.310139917531
beta-Alanine__FEC,728.0472685653082
N-Acetyl-L-glutamic acid__FEC,149.9085360836258
Thymidine__FEC,208.2310560417875
Niacin__FEC,21.30090057107167
Xanthine__FEC,234.02148561966138
Cholesterol__FEC,3.222286608310938
beta-D-(-)-Ribopyranose__FEC,793.6221674936878
"D-(+)-Ribono-1,4-lactone__FEC",1052.9743271242096
"Erythrono-1,4-lactone__FEC",182.92133841733448
"Propanoic acid, 2-oxo__FEC",1223.5367662170406
1-Dodecanol__FEC,855.6741688009015
2'-Deoxyribolactone__FEC,1853.4672846996261
Undecanoic acid__FEC,306.59539143985484
Benzoic Acid__FEC,1078.228890208695
13-Docosenamide__FEC,10.67087628113764
"Propane, 2-methyl__FEC",44.995404496715175
Pyridoxic acid__FEC,3.562883871721253
D-Allofuranose__FEC,1047.0421393182526
Octadecyl octyl ether__FEC,686.701377786115
L-Valyl-L-leucine__FEC,1910.006549725575
3-(3-Hydroxyphenyl)propanoic acid__FEC,157.1558543079026
Cyclohexanemethanol__FEC,592.7045210861072
"Xylonic acid, delta-lactone__FEC",302.28044828338557
2-Piperidinone__FEC,855.0620669317058
Butanedioic acid__FEC,0.0
D-(-)-Ribofuranose__FEC,551.7835338418005
Lignoceric acid__FEC,56.1695425195683
Palmitic Acid__FEC,350.4664470451981
Pyrogallol__FEC,17.840548218392364
6-Hydroxyhexanoic acid__FEC,145.79223656303435
Pentadecanoic acid__FEC,164.14855850402802
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol__FEC,1291.3861948710303
4-Hydroxybutanoic acid__FEC,0.0
Pimelic acid__FEC,1271.7863298545014
"2,3-Butanediol__FEC",1286.033895535732
"2-Pentenedioic acid, 2-hydroxy-__FEC",83.07112976767598
L-Rhamnose__FEC,1896.478033956755
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone__FEC",0.0
d-Erythrotetrofuranose__FEC,1667.2180879747627
N-(2-hydroxyethyl)-succinimide__FEC,1686.1418767936439
Phloretic acid__FEC,666.4330398348878
4-Methyl-5-thiazoleethanol__FEC,919.7206566241149
"Inosose-2, myo__FEC",1098.7457896408823
Nonanoic acid__FEC,74.30045633902444
N-Acetylglucosamine__FEC,339.7208850096451
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile__FEC",41.845102970394244
Thr-Leu__FEC,218.275417641363
L-(+)-Lactic acid__FEC,173.6118851459093
"beta-D-Galactopyranoside, methyl-, acetate__FEC",61.405419262046514
D-(+)-Talofuranose__FEC,0.0
Decanoic acid__FEC,1361.153626375083
N-Methyl-alpha-aminoisobutyric acid__FEC,245.9626927186828
Dihydrouracil__FEC,554.9245977348224
Aconitic acid__FEC,455.7500432891737
trans-Coniferryl alchool__FEC,772.7748994015326
5-Methyluridine__FEC,1393.1566716436273
L-Threonine__FEC,2.7623209282323193
4-Hydroxybenzoic acid__FEC,556.2256639627038
L-Norvaline__FEC,39.8907904700633
1-Octanol__FEC,183.79546831855015
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC",1348.6356460843124
"2,5-Di-tert-butyl-4-hydroxyphenol__FEC",864.5101261834388
3-Methyl-2-furoic acid__FEC,483.4117208652009
3-Undecene__FEC,849.4508486721347
"Guanidine, N,N-dimethyl__FEC",538.2041615539032
Monolaurin__FEC,709.7709866020032
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside__FEC,0.0
Xylose__FEC,103.90234048227393
"2-Furanacetaldehyde, tetrahydro-alpha__FEC",100.55770923600832
L-Leucine__FEC,259.6310404692155
Picolinic acid__FEC,971.2872789354054
Glycerol tricaprylate__FEC,537.5848864291289
Citric acid__FEC,19.411180260168518
1-Monopalmitin__FEC,256.2927249038887
Pipecolic acid__FEC,123.73718272202264
Pyrrole-2-carboxylic acid__FEC,21.51506706453976
1-Methyl-4-hydroxy-1H-imidazol-2-amine__FEC,205.03575626309504
D-Glucose__FEC,460.82107225059787
12-Oxooctadecanoate__FEC,789.2586232930831
2-Ethylacetoacetate__FEC,1706.9645616087785
"2,3,4-Trihydroxybutyric acid__FEC",388.61371882750024
8-Hydroxy-5-(hydroxymethyl)quinoline__FEC,115.58853042415824
Tricine__FEC,1258.342788398719
"Acetamide, N-(2-butyl)-N-methyl-__FEC",74.93203354717195
Menthol__FEC,2.808369408369409
N-Acetyl glucosamine methoxime__FEC,186.57016492670547
Uridine__FEC,88.35193135006199
Butyl caprylate__FEC,774.1377104462362
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane__FEC",69.91283972539875
