node,BiBC
5-Hydroxyhexanoic acid__PLS,245.784050550387
1-Phenylethanol__PLS,1219.8138882768083
"5-Androsten-17alpha-methyl-3beta,17beta-diol__PLS",565.6883198628523
7-(Trimethylsilyl)amino-4-methylcoumarin__PLS,531.9865549691086
Benzeneacetic acid__PLS,229.74180298989532
"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-__PLS",1208.9140680897078
Metanephrine__PLS,1274.060454825203
"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-__PLS",1548.9363742565613
(CH3)2C=NC2H558__PLS,1659.0863472432166
2-Hydroxy-5-methoxybenzaldehyde__PLS,1529.7248751177372
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-__PLS",3890.003690964131
"Benzoic acid, methyl ester__PLS",553.6956093929213
(pm)-alpha-Tocopherol acetate__PLS,3432.745784688466
"(R*,S*)-2,3-Dihydroxybutanoic acid__PLS",1004.7820147323631
2-Naphthol__PLS,49.494246276089434
5-Hydroxytryptophan__PLS,1105.1915705296847
Diphenyl ether__PLS,754.0821654795857
Hexanedioic acid__PLS,41.45233355183327
Itaconic acid__PLS,152.16572162714448
p-Hydroxydiisopropylbenzene__PLS,554.7754144661045
L-Tyrosine__PLS,416.7620342236592
(pm)-N-Propylamphetamine__PLS,0.0
"5alpha-Pregnane-3,20-dione__PLS",1382.4328022107536
(pm)-Norketamine__PLS,1247.999999999995
L-Leucine__PLS,623.9999999999839
Naphthofluorescein__PLS,2535.3862540723617
(pm)-Phenylpropanolamine__PLS,765.039194053445
3-(2-Hydroxyethyl)imidazole-2-thione__PLS,0.0
3-Indolepropionic acid__PLS,2949.2910267526263
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine__PLS",12.625022442874654
Benzeneacetamide__PLS,228.4955399844018
1-(3-Methylphenyl)piperazine__PLS,385.39384930803806
1-(4-Hydroxybenzylidene)acetone__PLS,2032.8377373311773
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-__PLS",1670.4182501737755
Benzophenone__PLS,3200.55911639685
Phlorizin__PLS,1480.5221582415313
"1,3-bis[(Trimethylsilyl)ethynyl]benzene__PLS",3.9329920035366084
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__PLS,181.1826846636387
L-Threitol__PLS,154.87145472911646
S-Methyl-L-cysteine__PLS,1803.6832056898193
1-Aminocyclopropanecarboxylic acid__PLS,25.054873557221757
3-Amino-2-piperidone__PLS,572.9451621481111
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-__PLS",157.0313021668728
