node,BiBC
5-Hydroxyhexanoic acid__PLS,136.8740488296785
1-Phenylethanol__PLS,1166.1355961286206
"5-Androsten-17alpha-methyl-3beta,17beta-diol__PLS",217.80010076225648
7-(Trimethylsilyl)amino-4-methylcoumarin__PLS,200.95874800469798
Benzeneacetic acid__PLS,111.48421277507968
"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)-__PLS",750.8197121306689
Metanephrine__PLS,660.9017751593631
"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-__PLS",1152.4926315949413
(CH3)2C=NC2H558__PLS,1924.9170335869446
2-Hydroxy-5-methoxybenzaldehyde__PLS,1452.916232168418
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-__PLS",1577.3371373443158
"Benzoic acid, methyl ester__PLS",1310.812777443587
(pm)-alpha-Tocopherol acetate__PLS,1702.2609411789851
"(R*,S*)-2,3-Dihydroxybutanoic acid__PLS",777.5601033609904
2-Naphthol__PLS,24.68363022087517
5-Hydroxytryptophan__PLS,984.0550129655098
Diphenyl ether__PLS,554.1711539756353
Hexanedioic acid__PLS,46.854672575395846
Itaconic acid__PLS,63.9928287772258
p-Hydroxydiisopropylbenzene__PLS,252.9012832257906
L-Tyrosine__PLS,236.8407929183869
(pm)-N-Propylamphetamine__PLS,0.0
"5alpha-Pregnane-3,20-dione__PLS",1507.1347409937184
(pm)-Norketamine__PLS,1308.0000000000286
L-Leucine__PLS,653.9999999999992
Naphthofluorescein__PLS,2619.4074507370824
(pm)-Phenylpropanolamine__PLS,705.4199947704881
3-(2-Hydroxyethyl)imidazole-2-thione__PLS,0.0
3-Indolepropionic acid__PLS,2938.074885888554
"3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine__PLS",4.100877923717438
Benzeneacetamide__PLS,32.51672480046792
1-(3-Methylphenyl)piperazine__PLS,389.43131040918894
1-(4-Hydroxybenzylidene)acetone__PLS,1289.6223187643197
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-__PLS",990.0438590488693
Benzophenone__PLS,2973.8375303593893
Phlorizin__PLS,974.8489863742645
"1,3-bis[(Trimethylsilyl)ethynyl]benzene__PLS",3.5887564077412724
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one__PLS,33.12408378373816
L-Threitol__PLS,55.99694535502782
S-Methyl-L-cysteine__PLS,1456.1395543375463
1-Aminocyclopropanecarboxylic acid__PLS,5.334833343622585
3-Amino-2-piperidone__PLS,218.78840272112726
"3-Cyclohexyl-L-alanine amide, N,N,N'N'-tetramethyl-__PLS",88.67584287850696
Glycine__PLS,2216.5818279196537
"1-Butanamine, N,N-diethyl-__PLS",1774.0244890729678
1-Octanol__PLS,238.29338837147372
12-Oxooctadecanoate__PLS,2317.781451103722
"2-Propanone, bis(1-methylethyl)hydrazone__PLS",989.5362289765075
"2,5-Piperazinedione, 3-benzyl-6-isopropyl-__PLS",6983.807531424354
3-Amino-5-morpholinomethyl-2-oxazolidinone__PLS,1450.5689652067904
3-Hydroxyisovaleric acid__PLS,391.89067131639086
5-Henicosylresorcinol__PLS,961.9740383096416
"Butanal, 2,3,4-tris[(trimethylsilyl)oxy]-, O-methyloxime, [R-(R*,R*)]-__PLS",1069.1528101794356
"Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate__PLS",162.48319886326564
Dodecylcyclohexane__PLS,4792.865105373804
"Glycine, N-(N-DL-leucylglycyl)-__PLS",193.38459521137557
Levulinic acid__PLS,1911.7558556200202
Myristic acid__PLS,747.1418806312288
1-Cyclopentylethanol__PLS,1369.2863115240038
1-Tetradecanol__PLS,558.4732169175562
10-Heptadecenoic acid__PLS,4126.658278784589
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate__PLS",7729.684325792239
2-Methyl-4-pentenoic acid__PLS,1455.2954638653312
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate__PLS",1294.8119068023896
"3,5-Dimethylpyrazole__PLS",1845.5316333001872
"Benzaldehyde, 2,5-dimethyl-__PLS",13370.149935577869
"Benzimidazole, 5-trifluoromethyl-2-methyl-__PLS",3838.631810560843
"Benzoic acid, pentadecyl ester__PLS",3967.030250054809
Dehydronorketamine__PLS,20.176407395461627
Isofucosterol__PLS,5798.604253762182
Neostigmine__PLS,928.6076420014936
Nonadecanoic acid__PLS,1909.1093035633287
Phenoxyacetic acid__PLS,3224.543671194992
Phloroglucinol__PLS,300.5329475059456
Salsoline__PLS,129.5924466577102
"Stigmast-5-ene, 3beta-__PLS",2162.965859970577
"1-Decene, 8-methyl-__PLS",1341.545096276122
Bis(trimethylsilyl)acetylene__PLS,653.9999999999985
1-Deoxypentitol__PLS,1548.9191969084472
"2-Hexenoic acid, 2-[(trimethylsilyl)oxy]-__PLS",213.3578784945697
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)-__PLS",230.24464796743132
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]-__PLS",1068.8779658988503
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-__PLS",239.8198712851967
D-(-)-Citramalic acid__PLS,1922.5351064231807
"Furan, 2-pentyl-__PLS",230.59831246205113
Methyl-3-methoxy-5-methyl benzoate__PLS,695.1194135637232
N-Isovaleroylglycine__PLS,864.537462325484
N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine__PLS,1529.498063035215
"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-__PLS",481.96862406479875
Tartronic acid__PLS,3558.1917000118483
Triethanolamine__PLS,2339.482378138359
1-Hexadecanol__PLS,2059.444677823038
1-Hexanol__PLS,0.0
"Benzene, 1,1'-(1,2-cyclobutanediyl)bis-__PLS",226.83174120924258
"Benzene, 3-cyclohexen-1-yl-__PLS",5.553700300945698
"D-Isoleucine, N-acetyl-__PLS",282.65402620704225
Decanoic acid__PLS,527.1002201871433
Glucose__PLS,31.85925548849838
L-5-Oxoproline__PLS,1146.734622914859
Methyl isovanillate__PLS,376.8016101127668
Octanoic acid__PLS,1285.0193675355486
1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS,2338.2821080630274
Butylated Hydroxytoluene__PLS,274.35889191752324
Glyoxime__PLS,468.49739642329877
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine__PLS",443.90295250921906
1-Monoacetin__PLS,602.377458293156
Cholesterol__PLS,101.7905060628659
L-Aspartic acid__PLS,1256.9515554709
L-Glutamic acid__PLS,14.547741484055809
alpha-Tocopherol__PLS,931.9940299595555
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate__PLS",1652.4956255085026
"Acetohydrazide, 2-(2-isopropyl-5-methylphenoxy)-N2-benzylideno-__PLS",856.5200614281283
"1-Octanol, 2-butyl-__PLS",931.5652811573727
"Benzene, 1-acetoxy-2,6-dimethoxy-4-(2-propenyl)-__PLS",1855.7600985265362
1-Phenethylamine__PLS,736.9748886954129
Cadaverine__PLS,1583.8404183380253
"L-Tryptophan, N-acetyl-1__PLS",7.204484287403051
"1-Phenyl-1,2-ethanediol__PLS",41.995353745865465
Octocrylene__PLS,394.1094844148945
3-Hydroxybutyric acid__PLS,2.7019492897412807
"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate__PLS",2.8426330568232347
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-__PLS",784.5627166979832
Lactic Acid__PLS,182.15956456776112
Mirin__PLS,629.5448824948555
"9,12-Octadecadienoic acid__PLS",141.02939718737545
"1,1'-Biphenyl, 3,4-diethyl-__PLS",1645.5152617727797
4-Cumylphenol__PLS,949.9969612342011
"1,2-Benzenedicarboxylic acid__PLS",1849.814990287852
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide__PLS",662.1528752501988
"Acetic acid, bis[(trimethylsilyl)oxyl]-__PLS",159.01499011931085
"Benzenemethanamine, 2,3-dimethoxy-__PLS",75.25085973428175
Benzyl alcohol__PLS,2.3961309523809526
Boric acid__PLS,0.0
2-Heptenoic acid__PLS,1408.2505655205289
"Acetin, bis-1,3-trimethylsilyl ether__PLS",7.0033615597391075
Dinoseb__PLS,2873.6049603895
"DL-Proline, 5-oxo-__PLS",8.447449450498649
Hydantoic acid__PLS,2143.352414768297
Isopropyl palmitate__PLS,9893.732925911321
Methyl aminoacetate__PLS,6024.609580394537
"N,N-Diethyl-2-aminoethanol__PLS",4200.202936162064
Niclosamide__PLS,1254.4210122630363
Pimelic acid__PLS,3692.154555229502
"Propanetriol, 2-methyl-__PLS",897.6899762404377
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene__PLS",601.4503578778845
3'-Hydroxyacetophenone__PLS,418.0734406092593
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene__PLS",3210.2315192628776
5-Aminovaleric acid__PLS,141.72929657151624
"6,7,4'-Trihydroxyisoflavone__PLS",748.7917719763625
"Cetaben, N,O-bis(trimethylsilyl)-__PLS",117.13203396716615
D-Fructose__PLS,847.1419664392109
Desmosterol__PLS,185.37039688965558
Propylamine__PLS,3281.6918546463903
"1,3-Cyclohexanebis(methylamine)__PLS",91.93996429647957
DL-Phenylalanine__PLS,519.133448741213
"1,3,5-Benzetriol__PLS",2125.136186702355
Cyclobutanol__PLS,92.09901543774099
Deoxycholic Acid__PLS,3048.5290114362106
DL-Glyceraldehyde__PLS,1628.4799007426816
Guanabenz__PLS,145.46754053678396
Nitrosothymol__PLS,834.9471987341245
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl__PLS",638.3908508663305
"1,5-Anhydroglucitol__PLS",884.7770682750858
Malic acid__PLS,10.778442130904512
Phosalone__PLS,210.3971711926235
"Ethanone, 1-(2,5-dimethoxyphenyl)-__PLS",1166.5924824862768
Heptadecanoic acid__PLS,10.409722732246514
p-Toluic acid__PLS,1054.9674695486576
Palmitelaidic acid__PLS,8.28725200074668
"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-__PLS",1556.5876795987785
4-Hydroxyphenyllactic acid__PLS,970.3842984411679
Dodecanoic acid__PLS,322.04755802892447
13-Docosenamide__PLS,336.92195879241143
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin__PLS",1069.2104076873898
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde__PLS",134.25712811946497
3-Nonen-1-ol__PLS,228.22520285133166
4-Hydroxybutanoic acid__PLS,82.95086307150999
"2-Allyl-1,4-dimethoxybenzene__PLS",442.53969427644665
"3-Hydroxy-2,3-dihydromaltol__PLS",231.15154987589523
4-Hydroxybenzeneacetic acid__PLS,397.69621308673607
Aceturic acid__PLS,1323.68442324045
Arachidonic acid__PLS,247.88275028953564
Azatadine__PLS,443.2388242687078
cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate__PLS,1008.5593478209003
Glucopyranose__PLS,277.90160235843194
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol__PLS",1783.9996702369558
Norketamine__PLS,3.8353600267208705
beta-Lyxopyranose__PLS,1014.08416177571
2-Amino-4-methylphenol__PLS,111.19043458951113
"2-Amino-4,6-dihydroxypyrimidine__PLS",182.63893863433037
12-Hydroxyoctadecanoic acid__PLS,38.87163956689703
2-Aminoadipic acid__PLS,990.6229060486465
Adipoyl-L-carnitine__PLS,1510.5972969199772
Allylescaline__PLS,190.77658454322233
cyclobutanecarboxylic acid__PLS,70.42783593205009
Suberic acid__PLS,439.910395044646
2-Hexen-1-ol__PLS,762.8867592682986
D-Ribose__PLS,30.384895642603343
Pyrrole-2-carboxylic acid__PLS,37.7842142340075
2-Hydroxy-3-methylbutyric acid__PLS,98.74137458198173
2-Hydroxybutyric acid__PLS,1043.4027182562977
"Propanoic acid, 2-methyl-__PLS",2600.736095599084
