n1,n2,edge_dir
4-Coumaric acid,2-Aminobutanoic acid,-1
L-(+)-Rhamnopyranose,L-Serine,-1
L-(+)-Rhamnopyranose,"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol",-1
L-(+)-Rhamnopyranose,5-Hydroxymethyl-2-furoic acid,-1
L-(+)-Rhamnopyranose,Glycerol tricaprylate,-1
L-(+)-Rhamnopyranose,Palmitelaidic acid,-1
L-(+)-Rhamnopyranose,"Pentanoic acid, 4-methyl-2-oxo-",-1
L-Valine,L-Serine,1
L-Valine,4-Hydroxybenzaldehyde,1
L-Valine,4-Hydroxybenzeneacetic acid,1
L-Valine,D-(+)-Glucosamine,1
L-Valine,Menthol,-1
Deoxyglucose,L-(-)-Sorbofuranose,-1
Vanillin,Palmitelaidic acid,1
L-Hydroxyproline,Niacinamide,1
L-Hydroxyproline,Arabinose,-1
L-Hydroxyproline,Pyrrole-2-carboxylic acid,1
2-Hydroxy-5-methoxybenzaldehyde,Octadecyl octyl ether,1
2-Hydroxy-5-methoxybenzaldehyde,Propanedioic acid,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Serine,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",4-Hydroxybenzaldehyde,1
L-Aspartic acid,Isocitric acid lactone,-1
Methylsuccinic acid,Niacinamide,1
Methylsuccinic acid,17-alpha-Hydroxypregnenolone,-1
Methylsuccinic acid,"2,6-Di-O-methyl-d-galactopyranose",-1
Methylsuccinic acid,9H-Purin-6-ol,1
Methylsuccinic acid,Cyclohexanemethanol,-1
Methylsuccinic acid,D-(+)-Glucosamine,1
Methylsuccinic acid,Hydracrylic acid,1
Methylsuccinic acid,L-(-)-Sorbofuranose,1
Methylsuccinic acid,L-Glutamic acid,1
Methylsuccinic acid,N-Ethyldiethanolamine,1
Methylsuccinic acid,Pantothenic acid ,1
Methylsuccinic acid,Syringic acid,-1
DL-Phenylalanine,4-Hydroxybenzaldehyde,1
DL-Phenylalanine,L-Isoleucine,1
DL-Phenylalanine,Phenylalanine,1
DL-Phenylalanine,Uracil,1
"Gluconolactone (3R,4S,5R,6R)",Syringaldehyde,1
L-Isoleucine,Phenylalanine,1
L-Isoleucine,Serine,1
L-Isoleucine,Tyrosine,1
D-Fructose,Syringic acid,-1
"2-Butenoic acid, 2-hydroxy-",1-Tetradecanol,1
"2-Butenoic acid, 2-hydroxy-","2',2,3,6'-Tetramethoxychalcone",-1
