node,BiBC
Dlgap4__CPX,210.92565097337646
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-__PLS",219.71462962799262
Iba57__CPX,17.314291013074488
Hmga1__CPX,768.1046116728756
(CH3)2C=NC2H558__PLS,886.548265995328
Aox3__CPX,43.923850236548994
1-(3-Methylphenyl)piperazine__PLS,99.9550403053227
Tulp4__CPX,2031.1202493602616
Hip1__CPX,344.47848447698107
Spata13__CPX,259.0872205624953
Cebpd__CPX,52.73000282510947
1-Aminocyclopropanecarboxylic acid__PLS,298.0069825994791
Ddb1__CPX,485.35525041978946
"1-Butanamine, N,N-diethyl-__PLS",1219.0289884732856
Igfbp2__CPX,1041.0727601529177
Mfge8__CPX,455.28761127380506
Gprc5c__CPX,87.02296869561677
Pi4ka__CPX,126.19162605052983
Imp3__CPX,369.65170311205634
Eipr1__CPX,0.4204458554280504
1-Cyclopentylethanol__PLS,1325.856182185427
Ubc__CPX,898.2953957036732
Tada1__CPX,408.07011423401286
"1-Decene, 8-methyl-__PLS",403.93808933370303
Haus4__CPX,2.397254379732015
Wbp11__CPX,2577.2774149468123
1-Deoxypentitol__PLS,716.0654566169318
Dctn2__CPX,630.2503887406787
Dnajc7__CPX,264.4244679895094
Ndufs3__CPX,104.79386872912517
Ubl3__CPX,2370.7743902162497
Eif3h__CPX,461.4810818763778
Opa1__CPX,921.5446572887868
Fzr1__CPX,46.22588201406932
Tmem184c__CPX,387.25928245811645
Apc2__CPX,909.0800400397842
1-Hexadecanol__PLS,98.63045133265662
Kpna4__CPX,4.731677769326727
Gm43339__CPX,3352.359263466854
1-Hydroxy-3-methoxy-6-methylanthraquinone__PLS,9799.094537275383
Por__CPX,16.551588866197317
Lpgat1__CPX,540.4561138682656
Cmtm8__CPX,492.6874726529293
Tmem204__CPX,892.6387481363437
Aqp11__CPX,386.36082499759453
Col8a1__CPX,629.6878259719078
Ric3__CPX,392.0976746015316
Dcaf12l1__CPX,4184.247773137043
Glod4__CPX,866.2632626957255
"1-Methyl-N,N-bis(trimethylsilyl)-4-[(trimethylsilyl)oxy]-1H-imidazol-2-amine__PLS",2147.9060147738155
Niban1__CPX,134.49984413058868
"1-Octanol, 2-butyl-__PLS",226.7531747933044
Dynlt2b__CPX,1075.2862367089476
1-Phenethylamine__PLS,1765.7796298836397
mt-Tl1__CPX,3.4897598424618854
Cope__CPX,4.622509037767751
"1-Phenyl-1,2-ethanediol__PLS",124.64898408659077
Nt5m__CPX,82.37036562329043
Mfsd2a__CPX,296.375500736561
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-__PLS",286.3655194147929
Tatdn2__CPX,3551.4711212687143
"1,1'-Biphenyl, 3,4-diethyl-__PLS",1891.9793790041674
"1,2-Benzenedicarboxylic acid__PLS",811.8397644678535
Mrps18a__CPX,271.4332522756507
"1,2-Butadiene, 1,1,4-triphenyl-3-trimethylsilyl-4-trimethylsilyloxy-__PLS",197.5914062189793
Sox13__CPX,567.6300265221242
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene__PLS",1495.7810949910354
"1,3,5-Benzetriol__PLS",1743.1326612081089
Rmnd5b__CPX,69.66340036059857
2810021J22Rik__CPX,1192.1911840611826
Zfp1007__CPX,3825.7803733997575
G2e3__CPX,8.32885338422635
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl __PLS",55.68449501914502
Ergic2__CPX,595.5637364058614
"1,5-Anhydroglucitol__PLS",494.7458833649687
Ibtk__CPX,5380.534440063026
10-Heptadecenoic acid__PLS,5829.7767095793
Osbp__CPX,3379.2992783237323
Rpp30__CPX,1036.407079727686
Sh2b3__CPX,500.6892998959153
Stxbp4__CPX,452.3031390916369
Cnnm4__CPX,34.64194306145151
Atf6b__CPX,936.9994378469394
12-Oxooctadecanoate__PLS,2268.5380765020573
Amfr__CPX,464.8531336091686
Sppl3__CPX,2827.61440087358
Psmd3__CPX,508.1708700279006
Atp6v1f__CPX,270.1695402539276
Emc3__CPX,988.9807362429901
Flvcr1__CPX,328.7918242580105
13-Docosenamide__PLS,332.0321161774651
Ptges3__CPX,143.8305237893558
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde__PLS",387.8992802415213
Ankrd12__CPX,729.125823372695
"2-(Decanoyloxy)propane-1,3-diyl dioctanoate__PLS",6047.610833147827
UNKNOWN__CPX,722.1004721146898
Pdap1__CPX,3907.5250367225335
Zfp322a__CPX,1838.7193241504735
Cep57__CPX,703.4232261933829
Erbin__CPX,2691.8661062643223
Lrrc17__CPX,1621.1522985798802
"2-Allyl-1,4-dimethoxybenzene__PLS",617.2584878673212
Tppp3__CPX,320.1994256900618
