n1,n2,source
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P-F",Phthalazin-1-one-F-F,FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F","1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F-F",FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F","2,5-Dimethoxymandelic acid-F-F",FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F","2-Allyl-1,4-dimethoxybenzene-F-F",FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F",2-Hydroxy-2-methylbutyric acid-F-F,FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F","2-Pentenedioic acid, 2-hydroxy--F-F",FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F",pyrazole-F-F,FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F",4-Coumaric acid-F-F,FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F",9-Octadecenoic acid-F-F,FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F",Acetoacetic acid-F-F,FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F",D-(-)-Fructopyranose-F-F,FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F",l-Leucyl-l-valine-F-F,FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F",Myristic acid-F-F,FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F",Oxalic acid-F-F,FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F",Pantolactone-F-F,FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F",Ribonic acid-F-F,FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F","Stigmast-5-ene, 3beta-F-F",FEC-PLS
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P-F",Xylose-F-F,FEC-PLS
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P-F",2-Hydroxy-2-methylbutyric acid-F-F,FEC-PLS
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P-F",D-(+)-Talofuranose-F-F,FEC-PLS
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P-F",Monocaprylin-F-F,FEC-PLS
(CH3)2C=NC2H558-P-F,"5,8,11-Eicosatrienoic acid-F-F",FEC-PLS
(CH3)2C=NC2H558-P-F,9-Octadecenoic acid-F-F,FEC-PLS
(CH3)2C=NC2H558-P-F,"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate-F-F",FEC-PLS
(pm)-N-Propylamphetamine-P-F,11-Methyldodecanol-F-F,FEC-PLS
(pm)-N-Propylamphetamine-P-F,Methyl stearate-F-F,FEC-PLS
(pm)-N-Propylamphetamine-P-F,n-Nonylcyclohexane-F-F,FEC-PLS
(pm)-N-Propylamphetamine-P-F,Tripropylene glycol monomethyl ether-F-F,FEC-PLS
(pm)-Norketamine-P-F,"2,3,4-Trihydroxybutyric acid-F-F",FEC-PLS
(pm)-Norketamine-P-F,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-F-F",FEC-PLS
(pm)-Norketamine-P-F,2-Ethylacetoacetate-F-F,FEC-PLS
(pm)-Norketamine-P-F,4-Methyl-5-thiazoleethanol-F-F,FEC-PLS
(pm)-Norketamine-P-F,"Gluconolactone (3R,4S,5R,6R)-F-F",FEC-PLS
(pm)-Norketamine-P-F,Pentanedioic acid-F-F,FEC-PLS
(pm)-Norketamine-P-F,Ribonic acid-F-F,FEC-PLS
(pm)-Norketamine-P-F,Salsoline-F-F,FEC-PLS
(pm)-Norketamine-P-F,Syringaldehyde-F-F,FEC-PLS
(pm)-Norketamine-P-F,Vanillin-F-F,FEC-PLS
(pm)-Phenylpropanolamine-P-F,2-Piperidinone-F-F,FEC-PLS
(pm)-Phenylpropanolamine-P-F,5-Aminovaleric acid-F-F,FEC-PLS
(pm)-Phenylpropanolamine-P-F,5-Hydroxymethyl-2-furoic acid-F-F,FEC-PLS
(pm)-Phenylpropanolamine-P-F,Itaconic acid-F-F,FEC-PLS
(pm)-Phenylpropanolamine-P-F,L-Valine-F-F,FEC-PLS
