node,node_dir
"2,4-Di-tert-butylphenol",-1
4-Coumaric acid,1
L-(+)-Rhamnopyranose,1
L-Valine,-1
Deoxyglucose,-1
Vanillin,-1
L-Hydroxyproline,-1
2-Hydroxy-5-methoxybenzaldehyde,-1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",-1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1
L-Aspartic acid,-1
Methylsuccinic acid,-1
2-Pyrrolidinone,-1
Decyl oleate,-1
DL-Phenylalanine,-1
"Gluconolactone (3R,4S,5R,6R)",-1
L-Isoleucine,-1
5-Oxohexanoic Acid,1
Deoxycholic Acid,-1
D-Fructose,-1
D-(-)-Fructopyranose,-1
"2-Butenoic acid, 2-hydroxy-",-1
1-Hexacosene,-1
"2,5-Dimethoxymandelic acid",1
"2,5-Dimethoxyphenol",-1
"2-Allyl-1,4-dimethoxybenzene ",-1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",-1
3-Hexenedioic acid,-1
Methyl stearate,-1
L-Asparagine,-1
2-Ethylhexanoic acid,-1
pyrazole,-1
beta-Alanine,-1
Kojic acid,-1
L-5-Oxoproline,-1
Niacin,-1
Phenol,-1
Syringaldehyde,-1
Urea,-1
11-Methyldodecanol,-1
1-Dodecanol,-1
Benzoic Acid,-1
D-Allofuranose,-1
"Hexadecanoic acid, ethyl ester",-1
L-Valyl-L-leucine,1
2-Piperidinone,-1
Azelaic acid,1
l-Leucyl-l-valine,1
N-Ethyldiethanolamine,-1
Palmitelaidic acid,-1
Valylvaline,1
"1,4-Butanediol",1
3-Buten-2-one,1
Oxalic acid,-1
5-Aminovaleric acid,-1
D-Ribose,-1
Dodecanamide,1
D-(-)-Ribofuranose,1
1-Tetradecanol,-1
Pyrogallol,-1
Tripropylene glycol monomethyl ether,-1
Supraene,1
6-Hydroxyhexanoic acid,-1
Isopropyl palmitate,-1
Octanoic acid,1
Pentadecanoic acid,-1
