n1,n2,edge_dir
Cope,"2,4-Di-tert-butylphenol",-1
Spmip6,"2,4-Di-tert-butylphenol",-1
Vps37d,"2,4-Di-tert-butylphenol",-1
Nedd4,L-Valine,1
Wbp11,L-Valine,1
Usf3,L-Valine,1
Fn3krp,L-Valine,1
Pak2,L-Valine,1
Cebpz,L-Valine,1
Kin,L-Valine,1
Ibtk,L-Valine,1
Ctdspl2,L-Valine,1
Pabpc1,L-Valine,1
Kif2a,L-Valine,1
Arhgef12,L-Valine,1
Arhgap5,L-Valine,1
Slk,L-Valine,1
Cdkn1c,L-Valine,1
Smim10l1,L-Valine,1
Ap3b1,L-Valine,1
Wasl,L-Valine,1
Gsk3b,L-Valine,1
D630036H23Rik,L-Valine,1
Pbx1,L-Valine,1
Tulp4,L-Valine,1
Wbp4,L-Valine,1
Vps13b,L-Valine,1
Setx,L-Valine,1
Pcmtd1,L-Valine,1
Mafg,L-Valine,1
B230219D22Rik,L-Valine,1
Stag2,L-Valine,1
Phactr2,L-Valine,1
Fcho2,L-Valine,1
Smarca5,L-Valine,1
Gtpbp4,L-Valine,1
Vps36,L-Valine,1
Mob4,Deoxyglucose,-1
Igfbp6,Deoxyglucose,-1
Silc1,Vanillin,-1
Adcy9,Vanillin,-1
Cdkn1c,Vanillin,1
Gm43568,Vanillin,1
Smim10l1,Vanillin,1
Rdx,Vanillin,1
Golm2,Vanillin,1
Cnih2,Vanillin,-1
Osgepl1,Vanillin,1
Atn1,Vanillin,1
Map3k5,Vanillin,1
Ptgr3,Vanillin,1
Serpinb8,Vanillin,1
Gsta4,Vanillin,1
Dnajc21,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
Bhmt2,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
Psma4,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
Prxl2c,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
Smim10l1,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
Asb8,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",-1
Wbp4,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
Setx,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
Cep57,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
Ofd1,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
Efhb,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
Vmp1,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",-1
Zfp1007,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
Gtpbp4,"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",1
Wbp11,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
Wbp11,L-Aspartic acid,1
Wbp11,Methylsuccinic acid,1
Ibtk,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
Ctdspl2,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
Srebf2,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1
Gpaa1,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1
Ap3b1,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
Rhob,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1
Pi4ka,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1
Pbx1,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
Tulp4,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
Vps13b,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
Setx,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
Pja2,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
Dync1h1,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1
Tceal8,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
Vps36,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",1
Ibtk,L-Aspartic acid,1
Ctdspl2,L-Aspartic acid,1
Kcmf1,L-Aspartic acid,1
Cep78,L-Aspartic acid,1
Ibtk,Methylsuccinic acid,1
Apc2,Methylsuccinic acid,-1
Mtpn,Methylsuccinic acid,1
Pthlh,Methylsuccinic acid,1
Serpinb8,Methylsuccinic acid,1
Plgrkt,2-Pyrrolidinone,1
Plgrkt,Decyl oleate,1
Plgrkt,DL-Phenylalanine,1
Plgrkt,"Gluconolactone (3R,4S,5R,6R)",1
Plgrkt,L-Isoleucine,1
Dek,2-Pyrrolidinone,1
Cdkn1c,2-Pyrrolidinone,1
Upf2,2-Pyrrolidinone,1
Atn1,2-Pyrrolidinone,1
Dnajc7,Decyl oleate,-1
4930550C14Rik,Decyl oleate,1
Opa1,Decyl oleate,1
Jph1,Decyl oleate,1
Pak2,DL-Phenylalanine,1
Cebpz,DL-Phenylalanine,1
Ibtk,DL-Phenylalanine,1
Ctdspl2,DL-Phenylalanine,1
Lmtk3,DL-Phenylalanine,-1
Cyyr1,DL-Phenylalanine,1
Cdkn1c,DL-Phenylalanine,1
Ap3b1,DL-Phenylalanine,1
Rhob,DL-Phenylalanine,-1
Mtpn,DL-Phenylalanine,1
Pi4ka,DL-Phenylalanine,-1
Pbx1,DL-Phenylalanine,1
Tulp4,DL-Phenylalanine,1
Wbp4,DL-Phenylalanine,1
Vps13b,DL-Phenylalanine,1
Setx,DL-Phenylalanine,1
Fundc2,DL-Phenylalanine,1
Stag2,DL-Phenylalanine,1
Phactr2,DL-Phenylalanine,1
Smarca5,DL-Phenylalanine,1
Dhx9,DL-Phenylalanine,1
Adcy9,"Gluconolactone (3R,4S,5R,6R)",-1
Nfe2l2,"Gluconolactone (3R,4S,5R,6R)",1
Dynlt2b,"Gluconolactone (3R,4S,5R,6R)",1
Gm43568,"Gluconolactone (3R,4S,5R,6R)",1
Smim10l1,"Gluconolactone (3R,4S,5R,6R)",1
Gnas,"Gluconolactone (3R,4S,5R,6R)",1
5430402O13Rik,"Gluconolactone (3R,4S,5R,6R)",1
Fn3krp,L-Isoleucine,1
Ctdspl2,L-Isoleucine,1
Pdlim5,L-Isoleucine,1
Lmtk3,L-Isoleucine,-1
Cyyr1,L-Isoleucine,1
Lepr,L-Isoleucine,1
Osbp,L-Isoleucine,1
Klf3,L-Isoleucine,1
Ccdc148,L-Isoleucine,1
Cdkn1c,L-Isoleucine,1
Mrps18a,L-Isoleucine,-1
Smim10l1,L-Isoleucine,1
Stk26,L-Isoleucine,1
Iqgap2,L-Isoleucine,1
Gnas,L-Isoleucine,1
Pi4ka,L-Isoleucine,-1
Pbx1,L-Isoleucine,1
Golm2,L-Isoleucine,1
Vps13b,L-Isoleucine,1
Ahcyl2,L-Isoleucine,1
Myof,L-Isoleucine,1
Nsmf,L-Isoleucine,-1
