n1,n2,edge_dir
L-Valine,L-Serine,1
L-Valine,4-Hydroxybenzaldehyde,1
L-Valine,D-(+)-Glucosamine,1
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",Serine,1
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",4-Hydroxybenzaldehyde,1
Methylsuccinic acid,Niacinamide,1
Methylsuccinic acid,17-alpha-Hydroxypregnenolone,-1
Methylsuccinic acid,9H-Purin-6-ol,1
Methylsuccinic acid,D-(+)-Glucosamine,1
Methylsuccinic acid,Hydracrylic acid,1
Methylsuccinic acid,L-(-)-Sorbofuranose,1
Methylsuccinic acid,L-Glutamic acid,1
DL-Phenylalanine,4-Hydroxybenzaldehyde,1
DL-Phenylalanine,L-Isoleucine,1
DL-Phenylalanine,Phenylalanine,1
DL-Phenylalanine,Uracil,1
"Gluconolactone (3R,4S,5R,6R)",Syringaldehyde,1
L-Isoleucine,Phenylalanine,1
L-Isoleucine,Serine,1
L-Isoleucine,Tyrosine,1
"2-Butenoic acid, 2-hydroxy-",1-Tetradecanol,1
"2-Butenoic acid, 2-hydroxy-","2',2,3,6'-Tetramethoxychalcone",-1
"2-Butenoic acid, 2-hydroxy-",3-Deoxyhexitol,1
"2-Butenoic acid, 2-hydroxy-",Butyl Succinate,1
"2-Butenoic acid, 2-hydroxy-","Hexadecanoic acid, 4-hydroxybutyl ester",1
"2,5-Dimethoxyphenol","2-Allyl-1,4-dimethoxybenzene ",1
"2,5-Dimethoxyphenol",2-Hydroxy-3-methylbutyric acid,1
"2,5-Dimethoxyphenol",Syringaldehyde,1
"2-Allyl-1,4-dimethoxybenzene ",3-Hexenedioic acid,1
"2-Allyl-1,4-dimethoxybenzene ",4-Pyridinol,1
"2-Allyl-1,4-dimethoxybenzene ",Syringaldehyde,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Cyclohexanecarboxylic acid,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester","Hexadecanoic acid, 4-hydroxybutyl ester",1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Myristic acid,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Pentanoic acid,1
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",Tetrahydrogeranyl formate,1
3-Hexenedioic acid,5-Hydroxymethyl-2-furoic acid,1
3-Hexenedioic acid,beta-Arabinopyranose,1
3-Hexenedioic acid,L-5-Oxoproline,1
3-Hexenedioic acid,Syringaldehyde,1
2-Ethylhexanoic acid,D-Mannopyranose,-1
2-Ethylhexanoic acid,Phenol,1
beta-Alanine,L-Glutamic acid,1
beta-Alanine,N-Acetyl-L-glutamic acid,1
beta-Alanine,Thymidine,1
L-5-Oxoproline,L-(-)-Sorbofuranose,1
L-5-Oxoproline,L-Glutamic acid,1
Niacin,Niacinamide,1
Niacin,L-(-)-Sorbofuranose,1
Niacin,N-Acetyl-L-glutamic acid,1
