node,node_dir
ENSMUSG00000055681-P,1.0
"2,4-Di-tert-butylphenol",-1.0
"2,4-Di-tert-butylphenol",-1.0
ENSMUSG00000032216-P,-1.0
L-Valine,-1.0
L-Valine,-1.0
ENSMUSG00000025979-P,1.0
Deoxyglucose,-1.0
Deoxyglucose,-1.0
Vanillin,-1.0
Vanillin,-1.0
ENSMUSG00000035443-P,1.0
ENSMUSG00000028991-P,1.0
ENSMUSG00000044224-P,-1.0
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",-1.0
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",-1.0
ENSMUSG00000030216-P,-1.0
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1.0
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",-1.0
L-Aspartic acid,-1.0
L-Aspartic acid,-1.0
Methylsuccinic acid,-1.0
Methylsuccinic acid,-1.0
ENSMUSG00000016495-P,-1.0
2-Pyrrolidinone,-1.0
2-Pyrrolidinone,-1.0
Decyl oleate,-1.0
Decyl oleate,-1.0
DL-Phenylalanine,-1.0
DL-Phenylalanine,-1.0
"Gluconolactone (3R,4S,5R,6R)",-1.0
"Gluconolactone (3R,4S,5R,6R)",-1.0
L-Isoleucine,-1.0
L-Isoleucine,-1.0
ENSMUSG00000036188-P,-1.0
5-Oxohexanoic Acid,1.0
5-Oxohexanoic Acid,1.0
ENSMUSG00000068284-P,-1.0
Deoxycholic Acid,-1.0
Deoxycholic Acid,-1.0
D-Fructose,-1.0
D-Fructose,-1.0
ENSMUSG00000063894-P,-1.0
D-(-)-Fructopyranose,-1.0
D-(-)-Fructopyranose,-1.0
ENSMUSG00000027536-P,1.0
"2-Butenoic acid, 2-hydroxy-",-1.0
"2-Butenoic acid, 2-hydroxy-",-1.0
ENSMUSG00000069727-P,-1.0
1-Hexacosene,-1.0
1-Hexacosene,-1.0
"2,5-Dimethoxyphenol",-1.0
"2,5-Dimethoxyphenol",-1.0
"2-Allyl-1,4-dimethoxybenzene ",-1.0
"2-Allyl-1,4-dimethoxybenzene ",-1.0
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",-1.0
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",-1.0
3-Hexenedioic acid,-1.0
3-Hexenedioic acid,-1.0
ENSMUSG00000042118-P,-1.0
ENSMUSG00000094002-P,1.0
ENSMUSG00000039253-P,-1.0
2-Ethylhexanoic acid,-1.0
2-Ethylhexanoic acid,-1.0
pyrazole,-1.0
pyrazole,-1.0
beta-Alanine,-1.0
beta-Alanine,-1.0
L-5-Oxoproline,-1.0
L-5-Oxoproline,-1.0
Niacin,-1.0
Niacin,-1.0
Phenol,-1.0
Phenol,-1.0
Syringaldehyde,-1.0
Syringaldehyde,-1.0
Urea,-1.0
Urea,-1.0
ENSMUSG00000036371-P,-1.0
1-Dodecanol,-1.0
1-Dodecanol,-1.0
Benzoic Acid,-1.0
Benzoic Acid,-1.0
D-Allofuranose,-1.0
D-Allofuranose,-1.0
ENSMUSG00000094595-P,1.0
L-Valyl-L-leucine,1.0
L-Valyl-L-leucine,1.0
ENSMUSG00000041126-P,1.0
2-Piperidinone,-1.0
2-Piperidinone,-1.0
Azelaic acid,1.0
Azelaic acid,1.0
l-Leucyl-l-valine,1.0
l-Leucyl-l-valine,1.0
ENSMUSG00000034064-P,1.0
"1,4-Butanediol",1.0
"1,4-Butanediol",1.0
ENSMUSG00000035295-P,1.0
3-Buten-2-one,1.0
3-Buten-2-one,1.0
ENSMUSG00000057421-P,1.0
ENSMUSG00000022781-P,-1.0
D-Ribose,-1.0
D-Ribose,-1.0
ENSMUSG00000030060-P,1.0
ENSMUSG00000015112-P,-1.0
ENSMUSG00000027642-P,1.0
D-(-)-Ribofuranose,1.0
D-(-)-Ribofuranose,1.0
ENSMUSG00000105382-P,-1.0
1-Tetradecanol,-1.0
1-Tetradecanol,-1.0
Pyrogallol,-1.0
Pyrogallol,-1.0
Tripropylene glycol monomethyl ether,-1.0
Tripropylene glycol monomethyl ether,-1.0
ENSMUSG00000024081-P,-1.0
ENSMUSG00000003184-P,-1.0
ENSMUSG00000030094-P,-1.0
Supraene,1.0
Supraene,1.0
ENSMUSG00000049295-P,1.0
6-Hydroxyhexanoic acid,-1.0
6-Hydroxyhexanoic acid,-1.0
ENSMUSG00000046711-P,1.0
Octanoic acid,1.0
Octanoic acid,1.0
Pentadecanoic acid,-1.0
Pentadecanoic acid,-1.0
ENSMUSG00000034647-P,-1.0
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,-1.0
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,-1.0
ENSMUSG00000002319-P,1.0
"2,3-Butanediol",-1.0
"2,3-Butanediol",-1.0
ENSMUSG00000020108-P,1.0
L-Glutamic acid,-1.0
L-Glutamic acid,-1.0
ENSMUSG00000022246-P,-1.0
L-Rhamnose,-1.0
L-Rhamnose,-1.0
ENSMUSG00000050910-P,1.0
ENSMUSG00000061533-P,-1.0
ENSMUSG00000102840-P,-1.0
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",-1.0
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",-1.0
ENSMUSG00000004698-P,1.0
alpha-Linolenic acid,-1.0
alpha-Linolenic acid,-1.0
Monomethyl succinate,-1.0
Monomethyl succinate,-1.0
N-(2-hydroxyethyl)-succinimide,-1.0
N-(2-hydroxyethyl)-succinimide,-1.0
ENSMUSG00000086610-P,-1.0
Cyclohexanecarboxylic acid,-1.0
Cyclohexanecarboxylic acid,-1.0
ENSMUSG00000026309-P,1.0
ENSMUSG00000021903-P,1.0
Glyceric acid,1.0
Glyceric acid,1.0
ENSMUSG00000037262-P,-1.0
ENSMUSG00000005514-P,-1.0
D-Psicofuranose,1.0
D-Psicofuranose,1.0
ENSMUSG00000045128-P,-1.0
"D-(+)-Ribono-1,4-lactone ",-1.0
"D-(+)-Ribono-1,4-lactone ",-1.0
Hymexazole,-1.0
Hymexazole,-1.0
ENSMUSG00000040795-P,1.0
ENSMUSG00000031511-P,1.0
ENSMUSG00000024805-P,-1.0
ENSMUSG00000029198-P,1.0
Thr-Leu,1.0
Thr-Leu,1.0
ENSMUSG00000032482-P,1.0
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",-1.0
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",-1.0
ENSMUSG00000021288-P,1.0
Deoxyribopyranose,1.0
Deoxyribopyranose,1.0
ENSMUSG00000024151-P,1.0
ENSMUSG00000023243-P,-1.0
"2',2,3,6'-Tetramethoxychalcone",1.0
"2',2,3,6'-Tetramethoxychalcone",1.0
ENSMUSG00000052751-P,1.0
D-(+)-Talofuranose,1.0
D-(+)-Talofuranose,1.0
ENSMUSG00000020389-P,1.0
ENSMUSG00000064370-P,-1.0
ENSMUSG00000005580-P,1.0
ENSMUSG00000035941-P,-1.0
9H-Purin-6-ol,-1.0
9H-Purin-6-ol,-1.0
"cis-4,5-Dihydroxy-o-dithiane",-1.0
"cis-4,5-Dihydroxy-o-dithiane",-1.0
D-(+)-Glucosamine,-1.0
D-(+)-Glucosamine,-1.0
Hydracrylic acid,-1.0
Hydracrylic acid,-1.0
L-Threonine,-1.0
L-Threonine,-1.0
"N-Acetyl-D-galactosamine, (R,R,R,R)",-1.0
"N-Acetyl-D-galactosamine, (R,R,R,R)",-1.0
N-Acetyl-L-glutamic acid,-1.0
N-Acetyl-L-glutamic acid,-1.0
Salsoline,-1.0
Salsoline,-1.0
Undecanoic acid,-1.0
Undecanoic acid,-1.0
Uracil,-1.0
Uracil,-1.0
ENSMUSG00000036501-P,-1.0
5-Hydroxymethyl-2-furoic acid,-1.0
5-Hydroxymethyl-2-furoic acid,-1.0
ENSMUSG00000033411-P,-1.0
4-Hydroxybenzoic acid,-1.0
4-Hydroxybenzoic acid,-1.0
ENSMUSG00000035934-P,-1.0
ENSMUSG00000003527-P,-1.0
ENSMUSG00000019907-P,-1.0
Pyridoxic acid,-1.0
Pyridoxic acid,-1.0
ENSMUSG00000025410-P,1.0
Cyclohexanol,1.0
Cyclohexanol,1.0
ENSMUSG00000061718-P,1.0
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",-1.0
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",-1.0
Hydroquinone,-1.0
Hydroquinone,-1.0
ENSMUSG00000008690-P,1.0
Monolaurin,1.0
Monolaurin,1.0
ENSMUSG00000004895-P,1.0
9-Octadecenamide,-1.0
9-Octadecenamide,-1.0
ENSMUSG00000028273-P,-1.0
Serine,-1.0
Serine,-1.0
ENSMUSG00000024193-P,1.0
ENSMUSG00000021585-P,-1.0
Picolinic acid,-1.0
Picolinic acid,-1.0
Suberic acid,-1.0
Suberic acid,-1.0
ENSMUSG00000026623-P,-1.0
ENSMUSG00000001964-P,1.0
Xanthine,-1.0
Xanthine,-1.0
13-Docosenamide,-1.0
13-Docosenamide,-1.0
ENSMUSG00000057367-P,-1.0
4-Methyl-5-thiazoleethanol,-1.0
4-Methyl-5-thiazoleethanol,-1.0
ENSMUSG00000036613-P,1.0
ENSMUSG00000031010-P,-1.0
1-Monopalmitin,1.0
1-Monopalmitin,1.0
ENSMUSG00000015839-P,-1.0
L-Norvaline,-1.0
L-Norvaline,-1.0
ENSMUSG00000038859-P,-1.0
Pipecolic acid,-1.0
Pipecolic acid,-1.0
Pyrrole-2-carboxylic acid,-1.0
Pyrrole-2-carboxylic acid,-1.0
ENSMUSG00000032633-P,1.0
ENSMUSG00000032724-P,-1.0
Myristic acid,-1.0
Myristic acid,-1.0
ENSMUSG00000024235-P,-1.0
"Inosose-2, myo",-1.0
"Inosose-2, myo",-1.0
ENSMUSG00000026483-P,-1.0
ENSMUSG00000057738-P,1.0
ENSMUSG00000032301-P,-1.0
ENSMUSG00000030862-P,-1.0
ENSMUSG00000035505-P,1.0
ENSMUSG00000022283-P,-1.0
ENSMUSG00000050989-P,1.0
ENSMUSG00000014195-P,1.0
ENSMUSG00000028885-P,-1.0
"Arabinofuranose, 1,2,3,5-tetrakis",-1.0
"Arabinofuranose, 1,2,3,5-tetrakis",-1.0
ENSMUSG00000021693-P,-1.0
D-Glucose,-1.0
D-Glucose,-1.0
ENSMUSG00000062044-P,1.0
ENSMUSG00000028441-P,1.0
ENSMUSG00000005124-P,-1.0
ENSMUSG00000043991-P,-1.0
Tetrahydrogeranyl formate,-1.0
Tetrahydrogeranyl formate,-1.0
ENSMUSG00000086825-P,-1.0
3-O-methyl-beta-D-Glucopyranose,1.0
3-O-methyl-beta-D-Glucopyranose,1.0
ENSMUSG00000041134-P,-1.0
"2,5-Di-tert-butyl-4-hydroxyphenol",-1.0
"2,5-Di-tert-butyl-4-hydroxyphenol",-1.0
5-Methyluridine,-1.0
5-Methyluridine,-1.0
ENSMUSG00000059495-P,-1.0
ENSMUSG00000062421-P,-1.0
ENSMUSG00000050822-P,1.0
ENSMUSG00000014075-P,-1.0
2-Ethylacetoacetate,-1.0
2-Ethylacetoacetate,-1.0
Aconitic acid,-1.0
Aconitic acid,-1.0
D-(-)-Fructofuranose,-1.0
D-(-)-Fructofuranose,-1.0
Ethyl alpha-D-glucopyranoside,-1.0
Ethyl alpha-D-glucopyranoside,-1.0
Norketamine,1.0
Norketamine,1.0
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",-1.0
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",-1.0
ENSMUSG00000028772-P,1.0
ENSMUSG00000035133-P,-1.0
ENSMUSG00000041012-P,-1.0
Cyclohexanemethanol,-1.0
Cyclohexanemethanol,-1.0
"Guanidine, N,N-dimethyl",-1.0
"Guanidine, N,N-dimethyl",-1.0
N-Acetyl glucosamine methoxime,-1.0
N-Acetyl glucosamine methoxime,-1.0
ENSMUSG00000039275-P,1.0
ENSMUSG00000025060-P,-1.0
ENSMUSG00000013858-P,1.0
2-Hydroxy-3-methylbutyric acid,-1.0
2-Hydroxy-3-methylbutyric acid,-1.0
ENSMUSG00000057722-P,-1.0
L-Leucine,-1.0
L-Leucine,-1.0
ENSMUSG00000020777-P,1.0
ENSMUSG00000043467-P,-1.0
2-Aminobutanoic acid,-1.0
2-Aminobutanoic acid,-1.0
Decanoic acid,-1.0
Decanoic acid,-1.0
ENSMUSG00000024921-P,-1.0
ENSMUSG00000030016-P,-1.0
ENSMUSG00000020102-P,1.0
Butyl caprylate,-1.0
Butyl caprylate,-1.0
ENSMUSG00000050493-P,1.0
9-Octadecenoic acid,1.0
9-Octadecenoic acid,1.0
ENSMUSG00000043059-P,-1.0
Pentanoic acid,-1.0
Pentanoic acid,-1.0
ENSMUSG00000005510-P,-1.0
N-Acetylglucosamine,-1.0
N-Acetylglucosamine,-1.0
ENSMUSG00000024687-P,-1.0
Tyrosine,-1.0
Tyrosine,-1.0
ENSMUSG00000030008-P,1.0
ENSMUSG00000021377-P,-1.0
ENSMUSG00000018322-P,1.0
ENSMUSG00000062937-P,-1.0
"2,3,4-Trihydroxybutyric acid",-1.0
"2,3,4-Trihydroxybutyric acid",-1.0
3-Pyridylcarbinol,-1.0
3-Pyridylcarbinol,-1.0
4-Pyridinol,-1.0
4-Pyridinol,-1.0
Cytosine,-1.0
Cytosine,-1.0
Dihydrouracil,-1.0
Dihydrouracil,-1.0
ENSMUSG00000004040-P,1.0
Methylmaleic acid,1.0
Methylmaleic acid,1.0
ENSMUSG00000024740-P,1.0
ENSMUSG00000038836-P,-1.0
ENSMUSG00000006777-P,-1.0
ENSMUSG00000017405-P,-1.0
2'-Desoxyuridine,-1.0
2'-Desoxyuridine,-1.0
"Hexadecanoic acid, tetradecyl ester",-1.0
"Hexadecanoic acid, tetradecyl ester",-1.0
ENSMUSG00000040158-P,1.0
ENSMUSG00000024253-P,-1.0
Butyl Succinate,-1.0
Butyl Succinate,-1.0
ENSMUSG00000019897-P,-1.0
ENSMUSG00000031451-P,1.0
ENSMUSG00000031751-P,1.0
alpha-Tocopheryl acetate,1.0
alpha-Tocopheryl acetate,1.0
ENSMUSG00000030691-P,-1.0
Ribonic acid,-1.0
Ribonic acid,-1.0
ENSMUSG00000029178-P,-1.0
ENSMUSG00000035640-P,1.0
ENSMUSG00000024168-P,-1.0
Pentanedioic acid,-1.0
Pentanedioic acid,-1.0
ENSMUSG00000001687-P,-1.0
L-Serine,-1.0
L-Serine,-1.0
ENSMUSG00000029790-P,-1.0
ENSMUSG00000030703-P,1.0
ENSMUSG00000008140-P,1.0
ENSMUSG00000035011-P,-1.0
ENSMUSG00000001855-P,-1.0
ENSMUSG00000028826-P,-1.0
3-(3-Hydroxyphenyl)propanoic acid,-1.0
3-(3-Hydroxyphenyl)propanoic acid,-1.0
ENSMUSG00000007892-P,1.0
ENSMUSG00000000305-P,-1.0
ENSMUSG00000026341-P,-1.0
beta-D-(-)-Ribopyranose,-1.0
beta-D-(-)-Ribopyranose,-1.0
ENSMUSG00000042010-P,1.0
N-Methyl-alpha-aminoisobutyric acid,-1.0
N-Methyl-alpha-aminoisobutyric acid,-1.0
ENSMUSG00000021431-P,-1.0
ENSMUSG00000047264-P,1.0
ENSMUSG00000036478-P,-1.0
Xylazine,-1.0
Xylazine,-1.0
ENSMUSG00000039323-P,1.0
ENSMUSG00000055150-P,1.0
ENSMUSG00000022463-P,1.0
Niacinamide,-1.0
Niacinamide,-1.0
