cpx_gene,pls_metabolite,VECPAC r,VECPAC p-values,VECPAC n,DSS r,DSS p-values,DSS n,LPS r,LPS p-values,LPS n,Pooled r,Pooled p-values,Pooled n,r Count,Consistent,Sign,edge_dir,Pooled FDR
ENSMUSG00000031451-P,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.485714286,0.328723032,6,-0.5,0.666666667,3,,,2,-0.854545455,0.000806674,11,2,True,-,-1,0.09748109
ENSMUSG00000042010-P,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.657142857,0.156174927,6,-0.5,0.666666667,3,,,2,-0.881818182,0.000330169,11,2,True,-,-1,0.070704867
ENSMUSG00000038545-P,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.828571429,0.041562682,6,-0.5,0.666666667,3,,,2,-0.890909091,0.000233458,11,2,True,-,-1,0.067071685
ENSMUSG00000048612-P,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",-0.371428571,0.468478134,6,-0.5,0.666666667,3,,,2,-0.881818182,0.000330169,11,2,True,-,-1,0.070704867
ENSMUSG00000052584-P,"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol",0.6,0.208,6,0.5,0.666666667,3,,,2,0.909090909,0.000105593,11,2,True,+,1,0.056988561
ENSMUSG00000061689-P,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.25226249,0.585241091,7,-0.4,0.6,4,-0.236402714,0.609790047,7,-0.710078373,0.000961193,18,3,True,-,-1,0.099220508
ENSMUSG00000049287-P,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",-0.48650623,0.268248562,7,-0.8,0.2,4,-0.654653671,0.110566691,7,-0.71938071,0.000765085,18,3,True,-,-1,0.096656392
ENSMUSG00000046711-P,(CH3)2C=NC2H558,0.928571429,0.002519472,7,0.2,0.8,4,0.392857143,0.38331687,7,0.778698667,0.000140557,18,3,True,+,1,0.059783548
ENSMUSG00000022246-P,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",-0.607142857,0.148231161,7,-1.0,0.0,4,-0.6,0.28475698,5,-0.773529412,0.000439356,16,3,True,-,-1,0.078549494
ENSMUSG00000038324-P,"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",-0.285714286,0.534509229,7,-1.0,0.0,4,-0.2,0.747060078,5,-0.814705882,0.00012131,16,3,True,-,-1,0.057489097
ENSMUSG00000036613-P,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-0.709208143,0.07433118,7,-1.0,0.0,3,-0.610785565,0.145145011,7,-0.800021949,0.000115363,17,3,True,-,-1,0.056988561
ENSMUSG00000041012-P,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-0.763762616,0.045659124,7,-0.5,0.666666667,3,-0.610785565,0.145145011,7,-0.75928009,0.000407729,17,3,True,-,-1,0.076340135
ENSMUSG00000007892-P,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-0.163663418,0.725862474,7,-1.0,0.0,3,-0.315244162,0.491016198,7,-0.744464869,0.000608727,17,3,True,-,-1,0.088618622
ENSMUSG00000026341-P,"1-(2,4-Dimethoxyphenyl)-propan-2-one",-0.800132264,0.030700962,7,-0.5,0.666666667,3,-0.866921447,0.011535549,7,-0.75928009,0.000407729,17,3,True,-,-1,0.076340135
ENSMUSG00000064294-P,1-(3-Methylphenyl)piperazine,0.828571429,0.041562682,6,,,1,0.821428571,0.023448808,7,0.81978022,0.000331437,14,2,True,+,1,0.070704867
ENSMUSG00000034377-P,1-(3-Methylphenyl)piperazine,0.942857143,0.004804665,6,,,1,0.964285714,0.000454149,7,0.942857143,4.44e-07,14,2,True,+,1,0.001832761
ENSMUSG00000039959-P,1-(3-Methylphenyl)piperazine,0.714285714,0.110787172,6,,,1,0.642857143,0.119392373,7,0.828571429,0.000250534,14,2,True,+,1,0.067071685
ENSMUSG00000021990-P,1-(3-Methylphenyl)piperazine,-0.828571429,0.041562682,6,,,1,-0.714285714,0.071343561,7,-0.815384615,0.000379132,14,2,True,-,-1,0.073907169
ENSMUSG00000069631-P,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",0.8,0.2,4,1.0,0.0,4,,,1,0.916666667,0.000506619,9,2,True,+,1,0.082373118
ENSMUSG00000028811-P,"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",1.0,0.0,4,0.8,0.2,4,,,1,0.9,0.000943062,9,2,True,+,1,0.098452429
ENSMUSG00000071637-P,1-Aminocyclopropanecarboxylic acid,-0.612637475,0.143588575,7,-0.948683298,0.051316702,4,-0.72074997,0.067634995,7,-0.756590057,0.000279067,18,3,True,-,-1,0.068741648
ENSMUSG00000024740-P,"1-Butanamine, N,N-diethyl-",-0.576599976,0.175381825,7,-0.8,0.2,4,-0.490990253,0.263193811,7,-0.827907972,2.22e-05,18,3,True,-,-1,0.029711909
ENSMUSG00000030703-P,"1-Butanamine, N,N-diethyl-",0.430075615,0.335487127,7,1.0,0.0,4,0.623609564,0.13454092,7,0.754579596,0.000295987,18,3,True,+,1,0.069967429
ENSMUSG00000039323-P,"1-Butanamine, N,N-diethyl-",-0.612637475,0.143588575,7,-1.0,0.0,4,-0.545544726,0.205281505,7,-0.741086162,0.000433438,18,3,True,-,-1,0.078055046
ENSMUSG00000030605-P,"1-Butanamine, N,N-diethyl-",-0.324337487,0.47788548,7,-1.0,0.0,4,-0.545544726,0.205281505,7,-0.712145559,0.000914346,18,3,True,-,-1,0.098452429
ENSMUSG00000051043-P,"1-Butanamine, N,N-diethyl-",-0.180187493,0.699045774,7,-0.8,0.2,4,-0.763762616,0.045659124,7,-0.737985383,0.000471635,18,3,True,-,-1,0.080592749
ENSMUSG00000041720-P,"1-Butanamine, N,N-diethyl-",-0.23424374,0.613155037,7,-0.4,0.6,4,-0.927426034,0.002620044,7,-0.713179152,0.000891646,18,3,True,-,-1,0.097974425
ENSMUSG00000032288-P,"1-Butanamine, N,N-diethyl-",-0.414431233,0.355268944,7,-1.0,0.0,4,-0.654653671,0.110566691,7,-0.798967369,6.98e-05,18,3,True,-,-1,0.048329771
ENSMUSG00000036613-P,1-Cyclopentylethanol,-0.107142857,0.819150856,7,-1.0,0.0,3,-0.792824967,0.033443544,7,-0.772532334,0.000278064,17,3,True,-,-1,0.068741648
ENSMUSG00000032288-P,1-Cyclopentylethanol,-0.321428571,0.482072038,7,-1.0,0.0,3,-0.360374985,0.427148809,7,-0.746781256,0.000572762,17,3,True,-,-1,0.086585654
ENSMUSG00000008348-P,1-Cyclopentylethanol,-0.071428571,0.879048193,7,-1.0,0.0,3,-0.090093746,0.84767208,7,-0.729613871,0.000886655,17,3,True,-,-1,0.097903674
ENSMUSG00000026563-P,"1-Decene, 8-methyl-",-1.0,0.0,3,-1.0,0.0,3,,,1,-1.0,0.0,7,2,True,-,-1,0.0
ENSMUSG00000022177-P,"1-Decene, 8-methyl-",1.0,0.0,3,1.0,0.0,3,,,1,0.964285714,0.000454149,7,2,True,+,1,0.078582552
ENSMUSG00000027374-P,1-Deoxypentitol,-0.7,0.188120404,5,,,2,-0.828862466,0.021173516,7,-0.807481237,0.000478724,14,2,True,-,-1,0.080638949
ENSMUSG00000030216-P,1-Deoxypentitol,0.9,0.037386073,5,,,2,0.288299988,0.53065066,7,0.783278802,0.00092085,14,2,True,+,1,0.098452429
ENSMUSG00000025410-P,1-Deoxypentitol,-0.7,0.188120404,5,,,2,-0.738768719,0.057858497,7,-0.785479023,0.00087063,14,2,True,-,-1,0.09748109
ENSMUSG00000014195-P,1-Deoxypentitol,-0.9,0.037386073,5,,,2,-0.504524979,0.248203114,7,-0.805281015,0.000509897,14,2,True,-,-1,0.082387065
ENSMUSG00000005510-P,1-Deoxypentitol,0.6,0.28475698,5,,,2,0.684712472,0.089666453,7,0.82948345,0.000243151,14,2,True,+,1,0.067071685
ENSMUSG00000001687-P,1-Deoxypentitol,0.8,0.104088039,5,,,2,0.828862466,0.021173516,7,0.794279909,0.000691182,14,2,True,+,1,0.093141217
ENSMUSG00000022312-P,1-Deoxypentitol,-0.9,0.037386073,5,,,2,-0.414431233,0.355268944,7,-0.785479023,0.00087063,14,2,True,-,-1,0.09748109
ENSMUSG00000038084-P,1-Deoxypentitol,0.7,0.188120404,5,,,2,0.72074997,0.067634995,7,0.851485664,0.000111614,14,2,True,+,1,0.056988561
ENSMUSG00000024191-P,1-Deoxypentitol,0.9,0.037386073,5,,,2,0.95499371,0.000805535,7,0.792079687,0.000732972,14,2,True,+,1,0.09525589
ENSMUSG00000020235-P,1-Deoxypentitol,-0.6,0.28475698,5,,,2,-0.882918713,0.008450342,7,-0.871287656,4.95e-05,14,2,True,-,-1,0.042603937
ENSMUSG00000031617-P,1-Deoxypentitol,0.9,0.037386073,5,,,2,0.414431233,0.355268944,7,0.787679245,0.000822625,14,2,True,+,1,0.09748109
ENSMUSG00000020135-P,1-Hexadecanol,,,0,1.0,0.0,3,1.0,0.0,3,1.0,0.0,6,2,True,+,1,0.0
ENSMUSG00000027782-P,1-Hexadecanol,,,0,-1.0,0.0,3,-1.0,0.0,3,-1.0,0.0,6,2,True,-,-1,0.0
